Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
i;25;remember;r_ih_m_eh_m_b_ax
l;26;20th Century VIP; s_eh_n_ch_er_iy 
b;12;remember all those trends you set;r_ih_m_eh_m_b_ax ao_l dh_ow_z t_r_eh_n_d_z y_uw s_eh_t
e;28;you may have been a queen;y_uw m_ey hh_ae_v b_ih_n ah k_w_iy_n
b;6;what a heavy load to bear;w_ah_t ah hh_eh_v_iy l_ow_d t_uw b_eh_r
e;30;im sure there were a few smutty little scenes;ay_m sh_uh_r dh_eh_r w_er ah f_y_uw s_m_ah_t_p_y l_ih_t_ah_l s_iy_n_z
b;35;what a heavy load to bear;hh_w_ah_t ey hh_eh_v_iy l_ow_d t_ah b_eh_r
b;13;and now you are a housewives pet;ah_n_d n_aw y_uw aa_r ah hh_aw_s_w_ay_v_z p_eh_t
b;34;what a heavy load to bear;w_ah_t ah hh_eh_v_iy l_ow_d t_uw b_eh_r
d;22;my bloodthirsty little bow wow;m_ay b_l_ah_d_th_er_s_t_iy l_ih_t_ah_l b_aw w_aw
f;29;you may have been Nehru;y_uw m_ey hh_ae_v b_ih_n n_ey_r_uw
e;24;another family tree;ah_n_ah_dh_er f_ae_m_ax_l_ih t_r_iy
d;9;before and after human growl so foul;b_ah_f_ao_r ah_n_d ae_f_t_er hh_y_uw_m_ax_n g_r_aw_l s_ow f_aw_l
b;4;once upon a lifetime peroxide hair;w_ah_n_s ah_p_aa_n ah l_ay_f_t_ay_m p_er_aa_k_s_ay_d hh_eh_r
c;8;come on doggy doggy lets go for a stroll;k_ah_m aa_n d_ah_g_iy d_ah_g_iy w_iy_s g_ow f_ao_r ah s_t_r_ow_l
e;31;smutty little scenes;s_m_ah_t_p_y l_ih_t_ah_l s_iy_n_z
d;14;sit down bad boy don-t bow wow wow;s_ih_t d_aw_n b_ae_d b_oy d_ow_n_t b_aw w_aw w_aw
h;23;hypnotised;hh_iy_p_n_ax_t_i_z_e_d
d;15;drink this milk from the sacred cow;d_r_ih_ng_k dh_ih_s m_ih_l_k f_r_ah_m dh_ah s_ey_k_r_ah_d k_aw
b;16;look at my bow wow sitting there;l_uh_k ae_t m_ay b_aw w_aw s_ih_t_ih_ng dh_eh_r
g;1;but I want you to be a demigod;b_ah_t ay w_aa_n_t y_uw t_uw b_iy ah d_eh_m_iy_g_o_d
b;18;once upon a lifetime peroxide hair;w_ah_n_s ah_p_aa_n ah l_ay_f_t_ay_m p_er_aa_k_s_ay_d hh_eh_r
b;11;a dog in Sweden a man-s best friend;ah d_ah_g ih_n s_w_iy_d_ah_n ah m_ae_n_z b_eh_s_t f_r_eh_n_d
a;0;Iggy says I wanna be your dog;I_g_g_iy s_ih_z ay w_aa_n_ah b_iy y_uh_r d_ah_g
a;32;hey doggy doggy hey doggy doggy;hh_ey d_ah_g_iy d_ah_g_iy hh_ey d_ah_g_iy d_ah_g_iy
b;19;what a heavy load to bear;w_ah_t ah hh_eh_v_iy l_ow_d t_uw b_eh_r
c;7;alcohol drugs and rock n roll;ae_l_k_ah_hh_aa_l d_r_ah_g_z ah_n_d r_aa_k eh_n r_ow_l
e;21;what no meat;w_ah_t n_ow m_iy_t
m;27;you may have been a king;y_uw m_ey hh_ae_v b_ih_n ah k_ih_ng
b;3;sniffing scratching without a care;s_n_ih_f_ih_ng s_k_r_ae_ch_ih_ng w_ih_th_aw_t ah k_eh_r
f;33;hey doggy doggy hey hey hey;hh_ey d_ah_g_iy d_ah_g_iy hh_ey hh_ey hh_ey
b;5;what a heavy load to bear;w_ah_t ah hh_eh_v_iy l_ow_d t_uw b_eh_r
b;2;look at my bow wow sitting there;l_uh_k ae_t m_ay b_aw w_aw s_ih_t_ih_ng dh_eh_r
b;17;sniffing scratching without a care;s_n_ih_f_ih_ng s_k_r_ae_ch_ih_ng w_ih_th_aw_t ah k_eh_r
d;10;and now animal and left to howl;ah_n_d n_aw ae_n_ah_m_ah_l ah_n_d l_eh_f_t t_uw hh_aw_l
b;20;what a heavy load to bear;w_ah_t ah hh_eh_v_iy l_ow_d t_uw b_eh_r
