Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;3;my blood hits the stones right when I slice up my neck;m_ay b_l_ah_d hh_ih_t_s dh_ah s_t_ow_n_z r_ay_t w_eh_n ay s_l_ay_s ah_p m_ay n_eh_k
i;0;aye;ay
i;59;still don-t care bout no one can-t find that special one;s_t_ih_l d_ow_n_t k_eh_r b_aw_t n_ow w_ah_n k_ae_n_t f_ay_n_d dh_ae_t s_p_eh_sh_ah_l w_ah_n
h;52;im just tryna to bust a nut right here right quick;ay_m jh_ah_s_t t_r_ih_n_ah t_uw b_ah_s_t ah n_ah_t r_ay_t hh_ih_r r_ay_t k_w_ih_k
b;16;im spittin with the metaphors;ay_m s_p_ih_t_t_ih_n w_ih_dh dh_ah m_eh_t_ah_f_ao_r_z
m;8;well I got thirty bitches in a different city saying that they with me;w_eh_l ay g_aa_t th_er_d_iy b_ih_ch_ah_z ih_n ah d_ih_f_r_ax_n_t s_ih_t_iy s_ey_ih_ng dh_ae_t dh_ey w_ih_dh m_iy
l;7;you say you do this shit because you love it;y_uw s_ey y_uw d_uw dh_ih_s sh_iy_t b_ih_k_ao_z y_uw l_ah_v ih_t
q;51;i don-t really give a fuck about where she want me to jizz;ay d_ow_n_t r_ih_l_iy g_ih_v ah f_ah_k ah_b_aw_t w_eh_r sh_iy w_aa_n_t m_iy t_uw z_z
h;50;bouta getta anotha fucking bitch in my crib;b_aw_t_ae s_eh_t_ah ah_n_oh_th_ax f_ah_k_ih_ng b_ih_ch ih_n m_ay k_r_ih_b
l;32;i fuck that bitch she deserve it;ay f_ah_k dh_ae_t b_ih_ch sh_iy d_ah_z_er_v ih_t
a;17;you need to get some better bars im gone;y_uw n_iy_d t_uw g_eh_t s_ah_m b_eh_t_er b_aa_r_z ay_m g_ao_n
f;55;run when im done;r_ah_n w_eh_n ay_m d_ah_n
e;28;its time that we did some damage;ih_t_s t_ay_m dh_ae_t w_iy d_ih_d s_ah_m d_ae_m_ah_jh
h;62;i can tell its bright because the way that it glistens;ay k_ah_n t_eh_l ih_t_s b_r_ay_t b_ih_k_ao_z dh_ah w_ey dh_ae_t ih_t g_l_ih_s_ah_n_z
d;42;dry blood on my hands all day;d_r_ay b_l_ah_d aa_n m_ay hh_ae_n_d_z ao_l d_ey
d;22;you always playing always say im insane;y_uw ao_l_w_ey_z p_l_ey_ih_ng ao_l_w_ey_z s_ey ay_m ih_n_s_ey_n
g;46;short temper I need a wood;sh_ao_r_t t_eh_m_p_er ay n_iy_d ah w_uh_d
d;40;others play me fuck me lazy I just wanna be alone lately;ah_dh_er_z p_l_ey m_iy f_ah_k m_iy l_ey_z_iy ay jh_ah_s_t w_aa_n_ah b_iy ah_l_ow_n l_ey_t_l_iy
l;19;faded to the face ill never make it;f_ey_d_ah_d t_uw dh_ah f_ey_s ay_l n_eh_v_er m_ey_k ih_t
h;53;yea im tryna bust a nut right here right quick;y_ey ay_m t_r_ih_n_ah b_ah_s_t ah n_ah_t r_ay_t hh_ih_r r_ay_t k_w_ih_k
