Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
g;3;drape my hopes upon the chance to touch your arm;d_r_ey_p m_ay hh_ow_p_s ah_p_aa_n dh_iy ch_ae_n_s t_ah t_ah_ch y_uh_r aa_r_m
b;20;cremate me after you cum on my lips;k_r_iy_m_ey_t m_iy ae_f_t_er y_uw k_ah_m aa_n m_ay l_ih_p_s
c;21;honey boy place my ashes in a vase beneath your workout bench;hh_ah_n_iy b_oy p_l_ey_s m_ay ae_sh_ah_z ih_n_ch ey v_ey_s b_ah_n_iy_th y_uh_r w_er_k_aw_t b_eh_n_ch
c;7;honey boy place my ashes in a vase beneath your workout bench;hh_ah_n_iy b_oy p_l_ey_s m_ay ae_sh_ah_z ih_n_ch ey v_ey_s b_ah_n_iy_th y_uh_r w_er_k_aw_t b_eh_n_ch
d;12;kneeling down before now familiar flesh of your deformed penis;n_iy_l_ih_ng d_aw_n b_iy_f_ao_r n_aw f_ah_m_ih_l_y_er f_l_eh_sh ah_v y_uh_r d_ah_f_ao_r_m_d p_iy_n_ah_s
b;16;cremate me after you cum on my lips;k_r_iy_m_ey_t m_iy ae_f_t_er y_uw k_ah_m aa_n m_ay l_ih_p_s
h;10;a star filled night;ey s_t_aa_r f_ih_l_d n_ay_t
f;2;wrap my dreams around your thighs and;r_ae_p m_ay d_r_iy_m_z er_aw_n y_uh_r th_ay_z ah_n_d
a;5;fabulous Muscles;f_ae_b_y_ah_l_ah_s m_ah_s_ah_l_z
d;0;break my face in was the kindest touch you;b_r_ey_k m_ay f_ey_s ih_n_ch w_ah_z dh_iy k_ay_n_d_ah_s_t t_ah_ch y_uw
c;17;honey boy place my ashes in a vase beneath your workout bench;hh_ah_n_iy b_oy p_l_ey_s m_ay ae_sh_ah_z ih_n_ch ey v_ey_s b_ah_n_iy_th y_uh_r w_er_k_aw_t b_eh_n_ch
b;6;cremate me after you cum on my lips;k_r_iy_m_ey_t m_iy ae_f_t_er y_uw k_ah_m aa_n m_ay l_ih_p_s
e;1;ever gave;eh_v_er g_ey_v
a;15;fabulous Muscles;f_ae_b_y_ah_l_ah_s m_ah_s_ah_l_z
c;13;wigging out before the unfamiliar flesh of my broken neck;w_ih_g_ih_ng aw_t b_iy_f_ao_r dh_iy ah_n_f_ah_m_ih_l_y_er f_l_eh_sh ah_v m_ay b_r_ow_k_ah_n n_eh_k
a;9;no romance no sexiness but;n_ow r_ow_m_ae_n_s n_ow s_eh_k_s_ih1_n_ih2_s_s b_ah_t
a;19;fabulous Muscles;f_ae_b_y_ah_l_ah_s m_ah_s_ah_l_z
