Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;31;its better to burn out than lose it all;ih_t_s b_eh_t_er t_uw b_er_n aw_t dh_ae_n l_uw_z ih_t ao_l
c;8;i seemed to get it all;ay s_iy_m_d t_ah g_ih_t ah_t ao_l
d;30;not to fade away and lose control;n_ax_t t_uw f_ey_d ah_w_ey ah_n_d l_uw_z k_ah_n_t_r_ow_l
i;19;don-t try to break my fall;d_ow_n t_r_ay t_ah b_r_ey_k m_ay f_aa_l
c;32;it all;ih_t ao_l
d;27;look at me Im slipping slowly;l_uh_k ae_t m_iy ay_m s_l_ih_p_ih_ng s_l_ow_l_iy
a;0;all the things I had to say;ao_l dh_iy th_ih_ng_z ay hh_ae_d t_uw s_ey
a;2;made one false move once again;m_ey_d w_ah_n f_ao_l_s m_uw_v w_ah_n_s ah_g_eh_n
h;15;Will I pay for who Ive been;w_ah_l ay p_ey f_ao_r hh_uw ay_v b_ah_n
c;13;it all;ih_t ao_l
a;1;morbid schemes while reaching fame;m_ao_r_b_ah_d s_k_iy_m_z w_ay_l r_iy_ch_ih_ng f_ey_m
b;3;losing ground but still I stand;l_uw_z_ih_ng g_r_aw_n_d b_ah_t s_t_ih_l ay s_t_ae_n_d
a;5;me for making what I made;m_iy f_ao_r m_ey_k_ih_ng w_ah_t ay m_ey_d
c;24;it all;ah_t ao_l
c;9;from way behind the wall;f_er_m w_ey b_ah_hh_ay_n_d dh_iy w_ao_l
c;29;its better to burn than lose it all;ih_t_s b_eh_t_er t_uw b_er_n dh_ae_n l_uw_z ih_t ao_l
d;11;not to fade away and lose control;n_ax_t t_uw f_ey_d ah_w_ey ah_n_d l_uw_z k_ah_n_t_r_ow_l
b;17;(is) it worth while living fast;ah_z ah_t w_er_th w_ay_l l_ih_v_ih_ng f_ae_s_t
a;6;and so Ill try to seal my fate;ah_n_d s_ow ay_l t_r_ay t_ah s_iy_l m_ay f_ey_t
c;12;its better to burn out than lose it all;ih_t_s b_eh_t_er t_uw b_er_n aw_t dh_ae_n l_uw_z ih_t ao_l
a;4;i can-t soothe the thoughts that plague;ay k_ae_n_t s_uw_dh dh_ah th_ao_t_s dh_ae_t p_l_ey_g
f;18;dying young (is) for the best;d_ay_ih_ng y_ah_ng ah_z f_r_er dh_iy b_eh_s_t
c;21;its better to burn than lose it all;ih_t_s b_eh_t_er t_uw b_er_n dh_ae_n l_uw_z ih_t ao_l
c;23;its better to burn out than lose it all;ih_t_s b_eh_t_er t_uw b_er_n aw_t dh_ae_n l_uw_z ih_t ao_l
g;26;i can hardly stop it;ay k_ah_n hh_aa_r_d_l_iy s_t_aa_p ih_t
c;10;its better to burn than lose it all;ih_t_s b_eh_t_er t_uw b_er_n dh_ae_n l_uw_z ih_t ao_l
c;20;you can-t delay the stall;y_uw k_ae_n_t d_ah_l_ey dh_ah s_t_ao_l
e;25;look at me Im falling through your fingers;l_uh_k ae_t m_iy ay_m f_aa_l_ih_ng th_r_uw y_ao_r f_ih_ng_g_er_z
e;14;if this move will be a win;ah_f dh_ih_s m_uw_v w_ah_l b_iy ah w_ih_n
g;7;my aims obliterate;m_ay ey_m_z ah_b_l_ih_t_er_ey_t
d;22;not to fade away and lose control;n_ax_t t_uw f_ey_d ah_w_ey ah_n_d l_uw_z k_ah_n_t_r_ow_l
f;28;slower than a bullet leading there;s_l_ow_er dh_ae_n ah b_uh_l_ah_t l_iy_d_ih_ng dh_eh_r
