Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
o;36;so Im hoping my wish will be granted;s_ow ay_m hh_ow_p_ih_ng m_ay w_ih_sh w_ah_l b_iy g_r_aa_n_t_ih_d
h;16;i gotta have a little faith;ay g_aa_t_ah hh_ae_v ah l_ih_t_ah_l f_ey_th
l;51;itd be the ultimate forgiveness;ih_t_d b_iy dh_ah ah_l_t_ah_m_ah_t f_ax_g_ih_v_n_ax_s
l;12;it would be the ultimate forgiveness;ih_t w_uh_d b_iy dh_ah ah_l_t_ah_m_ah_t f_ax_g_ih_v_n_ax_s
h;72;a little faith;ah l_ih_t_ah_l f_ey_th
i;39;and so here we are;ah_n_d s_ow hh_ih_r w_iy aa_r
e;6;because you truly broke my heart;b_ih_k_ao_z y_uw t_r_uw_l_iy b_r_ow_k m_ay hh_aa_r_t
h;78;if I had just a little faith;ah_f ay hh_ae_d jh_ah_s_t ah l_ih_t_ah_l f_ey_th
b;37;ill be the mother of second chances;ay_l b_iy dh_ah m_ah_dh_er ah_v s_eh_k_ah_n_d ch_ae_n_s_ah_z
g;42;oh I don-t wanna get my hopes up high;ow ay d_ow_n_t w_aa_n_ah g_eh_t m_ay hh_ow_p_s ah_p hh_ay
d;19;just a little just a little just a little;jh_ah_s_t ah l_ih_t_ah_l jh_ah_s_t ah l_ih_t_ah_l jh_ah_s_t ah l_ih_t_ah_l
d;53;just a little just a little just a little;jh_ah_s_t ah l_ih_t_ah_l jh_ah_s_t ah l_ih_t_ah_l jh_ah_s_t ah l_ih_t_ah_l
h;18;i gotta have a little faith;ay g_aa_t_ah hh_ae_v ah l_ih_t_ah_l f_ey_th
n;35;my heart that can replace you;m_ay hh_aa_r_t dh_ae_t k_ah_n r_ih_p_l_ey_s y_uw
f;63;i swear I wouldn-t let go;ay s_w_eh_r ay w_uh_d_ah_n_t l_eh_t g_ow
i;71;itd be the ultimate forgiveness;ih_t_d b_iy dh_ah ah_l_t_ah_m_ah_t f_ax_g_ih_v_n_ax_s
h;46;i gotta have a little faith;ay g_aa_t_ah hh_ae_v ey l_ih_t_ah_l f_ey_th
h;65;gotta have a little have a little faith;g_aa_t_ah hh_ae_v ah l_ih_t_ah_l hh_ae_v ah l_ih_t_ah_l f_ey_th
d;48;i gotta have a little;ay g_aa_t_ah hh_ae_v ey l_ih_t_ah_l
c;60;we were just too young we messed it up;w_iy w_er jh_ah_s_t t_uw y_ah_ng w_iy m_eh_s_t ih_t ah_p
b;8;but you turned your back;b_ah_t y_uw t_er_n_d y_ao_r b_ae_k
