Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;33;just be patient while I wait here;jh_ah_s_t b_iy p_ey_sh_ah_n_t w_ay_l ay w_ey_t hh_ih_r
e;44;so go now you are forgiven;s_ow g_ow n_aw y_uw er f_ao_r_g_ih_v_ah_n
a;1;beneath the pressure of all time;b_ah_n_iy_th dh_iy p_r_eh_sh_er ah_v ao_l t_ay_m
f;26;the story of two lovers;dh_iy s_t_ao_r_iy ah_v t_uw l_ah_v_er_z
a;14;the timing wasn-t right;dh_iy t_ay_m_ih_ng w_oh_z_n_t r_ay_t
p;29;in the station you were standing;ih_n_ch dh_iy s_t_ey_sh_ah_n y_uw w_er s_t_ae_n_d_ih_ng
a;3;waiting for your hands to find;w_ey_t_ih_ng f_r_er y_uh_r hh_ae_n_d_z t_ah f_ay_n_d
c;15;and the forces that swept us both away;ah_n_d dh_ah f_ao_r_s_ah_z dh_ae_t s_w_eh_p_t ah_s b_ow_th ah_w_ey
a;41;i haven-t got things right;ay hh_ae_v_n_t g_aa_t th_ih_ng_z r_ay_t
a;23;and filled my room with light;ah_n_d f_ih_l_d m_ay r_uw_m w_ah_dh l_ay_t
h;39;one step ahead of me;hh_w_ah_n s_t_eh_p ah_hh_eh_d ah_v m_iy
b;31;and the secrets that were defending;ah_n_d dh_iy s_iy_k_r_ah_t_s dh_ah_t w_iy_r d_ah_f_eh_n_d_ih_ng
a;21;i haven-t got things right;ay hh_ae_v_n_t g_aa_t th_ih_ng_z r_ay_t
d;38;fantasy man you are always;f_ae_n_ah_s_iy m_ae_n y_uw er ao_l_w_iy_z
d;42;the sun came out this morning;dh_iy s_ah_n k_ey_m aw_t dh_ah_s m_ao_r_n_ih_ng
a;45;lets put it down to light;w_iy_s p_uh_t ah_t d_aw_n t_ah l_ay_t
i;2;that glow in hope and expectation;dh_ah_t g_l_ow ih_n_ch hh_ow_p ah_n_d eh_k_s_p_eh_k_t_ey_sh_ah_n
e;36;i need some time to think;ay n_iy_d s_ah_m t_ay_m t_ah th_ih_ng_k
g;30;not knowing what you want;n_ax_t n_ow_ih_ng hh_w_ah_t y_uw w_aa_n_t
d;40;well I never heard a warning;w_eh_l ay n_eh_v_er hh_er_d ah w_ao_r_n_ih_ng
d;20;well I never heard a warning;w_eh_l ay n_eh_v_er hh_er_d ah w_ao_r_n_ih_ng
a;47;would dance both edges of the knife;w_uh_d d_ae_n_s b_ow_th eh_jh_ah_z ah_v dh_iy n_ay_f
n;7;what it was you needed most;hh_w_ah_t ah_t w_ah_z y_uw n_iy_d_ah_d m_ow_s
h;0;this diamond-s growing in the mountains;dh_ah_s d_ay_m_ah_n_d_z g_r_ow_ih_ng ih_n_ch dh_iy m_aw_n_t_ah_n_z
l;19;one step ahead of me;hh_w_ah_n s_t_eh_p ah_hh_eh_d ah_v m_iy
m;5;and figure out the worth;ah_n_d f_ih_g_y_er aw_t dh_iy w_er_th
l;4;cause only you could reach inside me;k_aa_z ow_n_l_iy y_uw k_uh_d r_iy_ch ih_n_s_ay_d m_iy
d;18;fantasy man you are always;f_ae_n_ah_s_iy m_ae_n y_uw er ao_l_w_iy_z
a;12;and theres no more diamonds in the mine;ah_n_d dh_eh_r_s n_ow m_ao_r d_ay_m_ah_n_d_z ih_n_ch dh_iy m_ay_n
f;46;the story of two lovers;dh_iy s_t_ao_r_iy ah_v t_uw l_ah_v_er_z
a;27;would dance both edges of the knife;w_uh_d d_ae_n_s b_ow_th eh_jh_ah_z ah_v dh_iy n_ay_f
e;34;journeys out of sync;jh_er_n_iy_z aw_t ah_v s_ih_ng_k
a;43;and filled my room with light;ah_n_d f_ih_l_d m_ay r_uw_m w_ah_dh l_ay_t
a;25;lets put it down to light;w_iy_s p_uh_t ah_t d_aw_n t_ah l_ay_t
b;11;then this mountain has been leveled;dh_eh_n dh_ah_s m_aw_n_t_ah_n hh_ah_z b_ah_n l_eh_v_ah_l_d
b;9;and if everything (is) measured;ah_n_d ih_f eh_v_r_iy_th_ih_ng ah_z m_eh_zh_er_d
a;6;of a life I live providing;ah_v ey l_ay_f ay l_ay_v p_r_ah_v_ay_d_ih_ng
a;16;was too strong for us to fight;w_ah_z t_uw s_t_r_ao_ng f_r_er y_uw_eh_s t_ah f_ay_t
g;32;have become our only bond;hh_ae_v b_ih_k_ah_m aw_r ow_n_l_iy b_aa_n_d
o;13;go on now just leave it;g_ow aa_n n_aw jh_ah_s_t l_iy_v ah_t
a;10;by the hole it leaves behind;b_ay dh_iy hh_ow_l ah_t l_iy_v_z b_ah_hh_ay_n_d
d;22;the sun came out this morning;dh_iy s_ah_n k_ey_m aw_t dh_ah_s m_ao_r_n_ih_ng
e;24;so go now you are forgiven;s_ow g_ow n_aw y_uw er f_ao_r_g_ih_v_ah_n
c;35;while youre out there running in the chaos;hh_w_ay_l y_uw_r aw_t dh_eh_r r_ah_n_ih_ng ih_n_ch dh_iy k_ey_aa_s
