Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;9;how did you get here;hh_aw d_ih_d y_uw g_eh_t hh_ih_r
e;5;abandon ship fend for yourself;ah_b_ae_n_d_ah_n sh_ih_p f_eh_n_d f_r_er y_ao_r_s_eh_l_f
d;3;you never stepped in why wait for me;y_uw n_eh_v_er s_t_eh_p_t ih_n w_ay w_ey_t f_ao_r m_iy
b;22;youve got that sinking feeling and nothing else;y_uw_v g_aa_t dh_ae_t s_ih_ng_k_ih_ng f_iy_l_ih_ng ah_n_d n_ah_th_ih_ng eh_l_s
a;17;of course youre afraid;ah_v k_ao_r_s y_uw_r ah_f_r_ey_d
c;18;and all you did was break another tie;ah_n_d ao_l y_uw d_ih_d w_ah_z b_r_ey_k ah_n_ah_dh_er t_ay
b;11;now youre just following so lost again;n_aw y_uw_r jh_ah_s_t f_aa_l_ow_ih_ng s_ow l_ao_s_t ah_g_eh_n
h;16;with the resources left in your heart;w_ih_dh dh_ah r_iy_s_ao_r_s_ah_z l_eh_f_t ih_n y_ao_r hh_aa_r_t
b;6;youve got that sinking feeling and nothing else;y_uw_v g_aa_t dh_ae_t s_ih_ng_k_ih_ng f_iy_l_ih_ng ah_n_d n_ah_th_ih_ng eh_l_s
b;1;search without rescue;s_er_ch w_ih_dh_aw_t r_eh_s_k_y_uw
g;10;at first you thought you had control;ae_t f_er_s_t y_uw th_ao_t y_uw hh_ae_d k_ah_n_t_r_ow_l
b;13;abandon ship fend for yourself;ah_b_ae_n_d_ah_n sh_ih_p f_eh_n_d f_ao_r y_er_s_eh_l_f
a;0;load up the flares and fire away;l_ow_d ah_p dh_iy f_l_eh_r_z ah_n_d f_ay_r ah_w_ey
b;21;abandon ship fend for yourself;ah_b_ae_n_d_ah_n sh_ih_p f_eh_n_d f_ao_r y_er_s_eh_l_f
c;19;and all of this can break another time;ah_n_d ao_l ah_v dh_ih_s k_ah_n b_r_ey_k ah_n_ah_dh_er t_ay_m
b;14;youve got that sinking feeling and nothing else;y_uw_v g_aa_t dh_ae_t s_ih_ng_k_ih_ng f_iy_l_ih_ng ah_n_d n_ah_th_ih_ng eh_l_s
d;2;of all the times you looked out to sea;ah_v ao_l dh_iy t_ay_m_z y_uw l_uh_k_t aw_t t_ah s_iy
a;8;priorities change and hope fades away;p_r_ay_ao_r_ah_t_iy_z ch_ey_n_jh ah_n_d hh_ow_p f_ey_d_z ah_w_ey
