Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
l;16;you can see the story he created the truth;y_uw k_ah_n s_iy dh_ah s_t_ao_r_iy hh_iy k_r_iy_ey_t_ah_d dh_ah t_r_uw_th
d;24;fire baby bye bye bye bye boy;f_ay_er b_ey_b_iy b_ay b_ay b_ay b_ay b_oy
n;21;anything to keep the ogre happy (is) enough for me;eh_n_iy_th_ih_ng t_uw k_iy_p dh_ah ow_g_er hh_ae_p_iy ih_z ah_n_ah_f f_ao_r m_iy
d;40;fire baby bye bye bye bye boy;f_ay_er b_ey_b_iy b_ay b_ay b_ay b_ay b_oy
d;38;fire baby bye bye bye bye boy;f_ay_er b_ey_b_iy b_ay b_ay b_ay b_ay b_oy
c;31;tried and true hes there for you again but you don-t hear him calling;t_r_ay_d ah_n_d t_r_uw hh_iy_s dh_eh_r f_ao_r y_uw ah_g_eh_n b_ah_t y_uw d_ow_n_t hh_ih_r hh_ih_m k_ao_l_ih_ng
e;20;steady pushin barrel to the back of my head;s_t_eh_d_iy p_uh_sh_iy_n b_ae_r_ah_l t_uw dh_ah b_ae_k ah_v m_ay hh_eh_d
a;0;i break the melted popsicle sticks and start the show;ay b_r_ey_k dh_iy m_eh_l_t_ah_d p_aa_p_s_ih_k_ah_l s_t_ih_k_s ah_n_d s_t_aa_r_t dh_iy sh_ow
h;9;fire baby don-t you know who we are;f_ay_er b_ey_b_iy d_ow_n_t y_uw n_ow hh_uw w_iy aa_r
m;17;so much goes invisible seen only by you;s_ow m_ah_ch g_ow_z ih_n_v_ih_z_ah_b_ah_l s_iy_n ow_n_l_iy b_ay y_uw
h;11;fire baby don-t you know where you are;f_ay_er b_ey_b_iy d_ow_n_t y_uw n_ow w_eh_r y_uw aa_r
e;33;before you know it skin (is) wrinkled teeth are falling like your health;b_ah_f_ao_r y_uw n_ow ih_t s_k_ih_n ih_z r_ih_ng_k_ah_l_d t_iy_th aa_r f_aa_l_ih_ng l_ay_k y_ao_r hh_eh_l_th
d;26;fire baby bye bye bye bye boy;f_ay_er b_ey_b_iy b_ay b_ay b_ay b_ay b_oy
d;10;fire baby bye bye bye bye boy;f_ay_er b_ey_b_iy b_ay b_ay b_ay b_ay b_oy
c;4;show me something positive Ill show you its flaw;sh_ow m_iy s_ah_m_th_ih_ng p_aa_z_ah_t_ih_v ay_l sh_ow y_uw ih_t_s f_l_ao
d;43;fire baby bye bye bye bye boy;f_ay_er b_ey_b_iy b_ay b_ay b_ay b_ay b_oy
a;1;push me in the fire (as) you punish my soul;p_uh_sh m_iy ih_n_ch dh_iy f_ay_er eh_z y_uw p_ah_n_ih_sh m_ay s_ow_l
h;25;fire baby don-t you know where you are;f_ay_er b_ey_b_iy d_ow_n_t y_uw n_ow w_eh_r y_uw aa_r
o;30;peasants fighting through the rain theyre happy that its finally falling;p_eh_z_ah_n_t_s f_ay_t_ih_ng th_r_uw dh_iy r_ey_n dh_ey_r hh_ae_p_iy dh_ae_t ih_t_s f_ay_n_ah_l_iy f_aa_l_ih_ng
a;35;you feel the demons pulling at your body you might (as) well let go;y_uw f_iy_l dh_ah d_iy_m_ah_n_z p_uh_l_ih_ng ae_t y_ao_r b_aa_d_iy y_uw m_ay_t ae_z w_eh_l l_eh_t g_ow
d;12;fire baby bye bye bye bye boy;f_ay_er b_ey_b_iy b_ay b_ay b_ay b_ay b_oy
b;6;try bringing the heat I feel the heat on my face;t_r_ay b_r_ih_ng_ih_ng dh_ah hh_iy_t ay f_iy_l dh_ah hh_iy_t aa_n m_ay f_ey_s
c;5;try to preach your ministry Ill shatter your jaw;t_r_ay t_uw p_r_iy_ch y_ao_r m_ih_n_ah_s_t_r_iy ay_l sh_ae_t_er y_ao_r jh_ao
h;37;fire baby don-t you know who we are;f_ay_er b_ey_b_iy d_ow_n_t y_uw n_ow hh_uw w_iy aa_r
b;2;i thought it was funny when the hungry would break;ay th_ao_t ah_t w_ah_z f_ah_n_iy hh_w_ih_n dh_iy hh_ah_ng_g_r_iy w_uh_d b_r_ey_k
b;3;blew off every miracle I saw (as) a fake;b_l_uw ao_f eh_v_r_iy m_ih_r_ah_k_ah_l ay s_ao eh_z ey f_ey_k
h;23;fire baby don-t you know who we are;f_ay_er b_ey_b_iy d_ow_n_t y_uw n_ow hh_uw w_iy aa_r
h;42;fire baby don-t you know who we are;f_ay_er b_ey_b_iy d_ow_n_t y_uw n_ow hh_uw w_iy aa_r
g;29;hours later comes the thunder raining showers he delivers;aw_r_z l_ey_t_er k_ah_m_z dh_iy th_ah_n_d_er r_ey_n_ih_ng sh_aw_er_z hh_iy d_ah_l_ih_v_er_z
e;14;tighter than a snake can wrap itself round your neck;t_ay_t_er dh_ae_n ah s_n_ey_k k_ah_n r_ae_p ah_t_s_eh_l_f r_aw_n_d y_ao_r n_eh_k
a;7;don-t you start me off with a taste of the ogres;d_ow_n_t y_uw s_t_aa_r_t m_iy ao_f w_ih_dh ah t_ey_s_t ah_v dh_ah ow_g_er_z
h;39;fire baby don-t you know where you are;f_ay_er b_ey_b_iy d_ow_n_t y_uw n_ow w_eh_r y_uw aa_r
h;44;fire baby don-t you know where you are;f_ay_er b_ey_b_iy d_ow_n_t y_uw n_ow w_eh_r y_uw aa_r
f;18;you can see me cause when you stare at the sun;y_uw k_ah_n s_iy m_iy k_aa_z w_eh_n y_uw s_t_eh_r ae_t dh_ah s_ah_n
d;45;fire baby bye bye bye bye boy;f_ay_er b_ey_b_iy b_ay b_ay b_ay b_ay b_oy
e;32;pause your life for mischief and the mischief becomes life itself;p_ao_z y_ao_r l_ay_f f_ao_r m_ih_s_ch_ah_f ah_n_d dh_ah m_ih_s_ch_ah_f b_ih_k_ah_m_z l_ay_f ah_t_s_eh_l_f
g;28;i remember hearing all you voodoo doctors pray for rivers;ay r_ih_m_eh_m_b_ax hh_ih_r_ih_ng ao_l y_uw v_uw_d_uw d_aa_k_t_er_z p_r_ey f_r_er r_ih_v_er_z
f;19;all I did to figure out but who makes it run;ao_l ay d_ih_d t_uw f_ih_g_y_er aw_t b_ah_t hh_uw m_ey_k_s ih_t r_ah_n
a;34;and what to do and where to turn and who to blame and where to go;ah_n_d w_ah_t t_uw d_uw ah_n_d w_eh_r t_uw t_er_n ah_n_d hh_uw t_uw b_l_ey_m ah_n_d w_eh_r t_uw g_ow
i;15;watch a preying mantis eat a hole in your back;w_aa_ch ah p_r_ey_ih_ng m_ae_n_t_ih_s iy_t ah hh_ow_l ih_n y_ao_r b_ae_k
