Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;52;it can-t bring me down can-t bring me down yeah;ih_t k_ae_n_t b_r_ih_ng m_iy d_aw_n k_ae_n_t b_r_ih_ng m_iy d_aw_n y_ae
b;32;refrain;r_ah_f_r_ey_n
c;40;im in orbit like a jet pilot;ay_m ih_n ao_r_b_ah_t l_ay_k ah jh_eh_t p_ay_l_ah_t
e;38;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
f;21;flying at the speed of sound;f_l_ay_ih_ng ae_t dh_ah s_p_iy_d ah_v s_aw_n_d
b;30;all you needs an invitation;ao_l y_uw n_iy_d_z ae_n ih_n_v_ah_t_ey_sh_ah_n
e;56;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
f;57;flying at the speed of sound;f_l_ay_ih_ng ae_t dh_ah s_p_iy_d ah_v s_aw_n_d
h;41;ain-t no gravity to try to fight it;ey_n_t n_ow g_r_ae_v_ah_t_iy t_uw t_r_ay t_uw f_ay_t ih_t
c;34;its alright all alright;ih_t_s ao_l_r_ay_t ao_l ao_l_r_ay_t
f;39;flying at the speed of sound;f_l_ay_ih_ng ae_t dh_ah s_p_iy_d ah_v s_aw_n_d
c;47;so don-t let em tell you what to feel like;s_ow d_ow_n_t l_eh_t eh_m t_eh_l y_uw w_ah_t t_uw f_iy_l l_ay_k
c;33;its alright;ih_t_s ao_l_r_ay_t
e;54;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
h;13;turn it up so I can feel it;t_er_n ih_t ah_p s_ow ay k_ah_n f_iy_l ih_t
c;9;its alright;ih_t_s ao_l_r_ay_t
f;61;we ain-t never coming down;w_iy ey_n_t n_eh_v_er k_ah_m_ih_ng d_aw_n
f;66;flying at the speed of sound;f_l_ay_ih_ng ae_t dh_ah s_p_iy_d ah_v s_aw_n_d
g;51;but money can-t finish what we started;b_ah_t m_ah_n_iy k_ae_n_t f_ih_n_ih_sh w_ah_t w_iy s_t_aa_r_t_ah_d
c;10;its alright;ih_t_s ao_l_r_ay_t
d;15;baby-s in that slower motion;b_ey_b_iy_z ih_n dh_ae_t s_l_ow_er m_ow_sh_ah_n
m;45;away from the crowds where you realize;ah_w_ey f_r_ah_m dh_ah k_r_aw_d_z w_eh_r y_uw r_ia_l_ay_z
f;64;feet ain-t even touching ground;f_iy_t ey_n_t iy_v_ah_n t_ah_ch_ih_ng g_r_aw_n_d
e;18;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
f;37;feet ain-t even touching ground;f_iy_t ey_n_t iy_v_ah_n t_ah_ch_ih_ng g_r_aw_n_d
f;70;we ain-t never coming down;w_iy ey_n_t n_eh_v_er k_ah_m_ih_ng d_aw_n
e;60;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
f;55;feet ain-t even touching ground;f_iy_t ey_n_t iy_v_ah_n t_ah_ch_ih_ng g_r_aw_n_d
e;36;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
f;19;feet ain-t even touching ground;f_iy_t ey_n_t iy_v_ah_n t_ah_ch_ih_ng g_r_aw_n_d
c;11;its alright all alright;ih_t_s ao_l_r_ay_t ao_l ao_l_r_ay_t
e;20;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
c;46;the herds insecure or the free mind;dh_ah hh_er_d_z ih_n_s_ah_k_y_er ao_r dh_ah f_r_iy m_ay_n_d
g;49;money gonna run away hardest;m_ah_n_iy g_aa_n_ah r_ah_n ah_w_ey hh_aa_r_d_ah_s_t
e;63;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
e;42;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
h;68;ain-t no gravity to try to fight it;ey_n_t n_ow g_r_ae_v_ah_t_iy t_uw t_r_ay t_uw f_ay_t ih_t
f;43;we ain-t never coming down;w_iy ey_n_t n_eh_v_er k_ah_m_ih_ng d_aw_n
h;0;ok lets do it;ow_k_ey w_iy_s d_uw ih_t
i;27;don-t you need someone to lean on;d_ow_n_t y_uw n_iy_d s_ah_m_w_ah_n t_uw l_iy_n aa_n
e;69;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
h;14;loud enough so I can get near it;l_aw_d ah_n_ah_f s_ow ay k_ah_n g_eh_t n_ih_r ih_t
f;25;we ain-t never coming down;w_iy ey_n_t n_eh_v_er k_ah_m_ih_ng d_aw_n
b;7;refrain;r_ah_f_r_ey_n
e;48;they can-t bring me down can-t bring me down yeah;dh_ey k_ae_n_t b_r_ih_ng m_iy d_aw_n k_ae_n_t b_r_ih_ng m_iy d_aw_n y_ae
h;3;turn it up so I can be near it;t_er_n ih_t ah_p s_ow ay k_ah_n b_iy n_ih_r ih_t
e;65;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
c;67;im in orbit like a jet pilot;ay_m ih_n ao_r_b_ah_t l_ay_k ah jh_eh_t p_ay_l_ah_t
d;16;moonwalking on the ocean;m_uw_n_ha_w_ao_k_ih_ng aa_n dh_ah ow_sh_ah_n
c;22;im in orbit like a jet pilot;ay_m ih_n ao_r_b_ah_t l_ay_k ah jh_eh_t p_ay_l_ah_t
n;50;money gonna leave you (broken-hearted);m_ah_n_iy g_aa_n_ah l_iy_v y_uw b_r_ow_k_ax_n_hh_aa_r_t_ah_d
a;28;don-t you need that taste of freedom;d_ow_n_t y_uw n_iy_d dh_ae_t t_ey_s_t ah_v f_r_iy_d_ah_m
a;4;baby says she-s got that feeling;b_ey_b_iy s_eh_z s_hh_iy_z g_aa_t dh_ah_t f_iy_l_ih_ng
c;58;im in orbit like a jet pilot;ay_m ih_n ao_r_b_ah_t l_ay_k ah jh_eh_t p_ay_l_ah_t
h;59;ain-t no gravity to try to fight it;ey_n_t n_ow g_r_ae_v_ah_t_iy t_uw t_r_ay t_uw f_ay_t ih_t
h;2;turn it up so I can feel it;t_er_n ih_t ah_p s_ow ay k_ah_n f_iy_l ih_t
h;23;ain-t no gravity to try to fight it;ey_n_t n_ow g_r_ae_v_ah_t_iy t_uw t_r_ay t_uw f_ay_t ih_t
c;8;its alright;ih_t_s ao_l_r_ay_t
a;5;moonwalking on the ceiling;m_uw_n_ha_w_ao_k_ih_ng aa_n dh_iy s_iy_l_ih_ng
e;24;its how we float yeah;ih_t_s hh_aw w_iy f_l_ow_t y_ae
l;29;it don-t take no education;ih_t d_ow_n_t t_ey_k n_ow eh_jh_uh_k_ey_sh_n
