Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;56;im thirsty for your touch;ay_m th_er_s_t_iy f_ao_r y_ao_r t_ah_ch
n;44;girl stop acting foolish;g_er_l s_t_aa_p ae_k_t_ih_ng f_uw_l_ih_sh
r;10;you say you see my goodness;y_uw s_ey y_uw s_iy m_ay g_uh_d_n_ah_s
n;94;but we skipped school;b_ah_t w_iy s_k_ih_p_t s_k_uw_l
bb;71;X3;
l;78;i wish I died the hero;ay w_ih_sh ay d_ay_d dh_ah hh_ih_r_ow
p;61;slow motion;s_l_ow m_ow_sh_ah_n
h;35;trying to keep above the pressure of another;t_r_ay_ih_ng t_uw k_iy_p ah_b_ah_v dh_ah p_r_eh_sh_er ah_v ah_n_ah_dh_er
f;31;from my memory;f_r_ah_m m_ay m_eh_m_ax_r_iy
l;93;party life of some college kids;p_aa_r_t_iy l_ay_f ah_v s_ah_m k_aa_l_ih_jh k_ih_d_z
aa;54;but It-s all I could imagine;b_ah_t ih_t_s ao_l ay k_uh_d ih_m_ae_jh_ah_n
h;13;i ain-t say that I was spending money;ay ey_n_t s_ey dh_ah_t ay w_ah_z s_p_eh_n_d_ih_ng m_ah_n_iy
a;53;and showed me just how awful;ah_n_d sh_ow_d m_iy jh_ah_s_t hh_aw aa_f_ah_l
d;110;i won-t hit the ground;ay w_ow_n_t hh_ih_t dh_ah g_r_aw_n_d
g;37;i thought I could fly but I just hit the floor;ay th_ao_t ay k_uh_d f_l_ay b_ah_t ay jh_ah_s_t hh_ih_t dh_iy f_l_ao_r
q;41;you say you can save me;y_uw s_ey y_uw k_ae_n s_ey_v m_iy
h;33;everything I have to give a lover;eh_v_r_iy_th_ih_ng ay hh_ae_v t_uw g_ih_v ey l_ah_v_er
e;95;for that party shit;f_ao_r dh_ae_t p_aa_r_t_iy sh_iy_t
d;48;ill just ignore the sound;ay_l jh_ah_s_t ih_g_n_ao_r dh_ah s_aw_n_d
x;38;so baby tell me what are you waiting for;s_ow b_ey_b_iy t_eh_l m_iy hh_w_ah_t er y_uw w_ey_t_ih_ng f_r_er
g;92;all year long;ao_l y_ih_r l_ao_ng
e;82;to drown out my feelings;t_uw d_r_aw_n aw_t m_ay f_iy_l_ih_ng_z
y;52;and they paved the way for you;ah_n_d dh_ey p_ey_v_d dh_ah w_ey f_ao_r y_uw
e;28;to try and keep up with this fake shit;t_uw t_r_ay ah_n_d k_iy_p ah_p w_ih_dh dh_ih_s f_ey_k sh_iy_t
c;91;doing keg stands;d_uw_ih_ng k_eh_g s_t_ae_n_d_z
