Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;6;youre all that I need and Ill know youll always be;y_uw_r ao_l dh_ae_t ay n_iy_d ah_n_d ay_l n_ow y_uw_l ao_l_w_ey_z b_iy
c;22;yes its true forever forever in my heart;y_eh_s ih_t_s t_r_uw f_er_eh_v_er f_er_eh_v_er ih_n m_ay hh_aa_r_t
c;32;youll be forever forever in my heart;y_uw_l b_iy f_er_eh_v_er f_er_eh_v_er ih_n m_ay hh_aa_r_t
f;9;i could spend all of my days with you;ay k_uh_d s_p_eh_n_d ao_l ah_v m_ay d_ey_z w_ih_dh y_uw
e;34;forever in my heart youre the only one Im thinking of;f_er_eh_v_er ih_n m_ay hh_aa_r_t y_uw_r dh_ah ow_n_l_iy w_ah_n ay_m th_ih_ng_k_ah_ng ah_v
g;13;with trust and understanding;w_ih_dh t_r_ah_s_t ah_n_d ah_n_d_er_s_t_ae_n_d_ih_ng
a;12;youve shown me love in a special way;y_uw_v sh_ow_n m_iy l_ah_v ih_n ah s_p_eh_sh_ah_l w_ey
c;10;yes its true forever forever in my heart;y_eh_s ih_t_s t_r_uw f_er_eh_v_er f_er_eh_v_er ih_n m_ay hh_aa_r_t
f;21;i could spend all of my days with you;ay k_uh_d s_p_eh_n_d ao_l ah_v m_ay d_ey_z w_ih_dh y_uw
b;30;when were apart it seems like forever;w_eh_n w_iy_r ah_p_aa_r_t ih_t s_iy_m_z l_ay_k f_er_eh_v_er
a;5;your light shines thru and heals all my pain;y_ao_r l_ay_t sh_ay_n_z th_r_uw ah_n_d hh_iy_l_z ao_l m_ay p_ey_n
e;8;forever in my heart youre the only one Im thinking of;f_er_eh_v_er ih_n m_ay hh_aa_r_t y_uw_r dh_ah ow_n_l_iy w_ah_n ay_m th_ih_ng_k_ah_ng ah_v
a;17;your light shines thru and heals all my pain;y_ao_r l_ay_t sh_ay_n_z th_r_uw ah_n_d hh_iy_l_z ao_l m_ay p_ey_n
f;14;my life was so empty until I layed eyes on you on you;m_ay l_ay_f w_ah_z s_ow eh_m_p_t_ih ah_n_t_ih_l ay l_ey_er_d ay_z aa_n y_uw aa_n y_uw
g;26;talking;t_ao_k_ih_ng
c;2;i couldn-t deny the feelings inside my heart my heart;ay k_uh_d_n_t d_ah_n_ay dh_iy f_iy_l_ih_ng_z ih_n_s_ay_d m_ay hh_aa_r_t m_ay hh_aa_r_t
d;18;youre all that I need and Ill know youll always be;y_uw_r ao_l dh_ae_t ay n_iy_d ah_n_d ay_l n_ow y_uw_l ao_l_w_ey_z b_iy
c;24;yes its true forever forever in my heart;y_eh_s ih_t_s t_r_uw f_er_eh_v_er f_er_eh_v_er ih_n m_ay hh_aa_r_t
e;35;i could spend all of my days with you;ay k_uh_d s_p_eh_n_d ao_l ah_v m_ay d_ey_z w_ih_dh y_uw
c;36;yes its true forever forever in my heart;y_eh_s ih_t_s t_r_uw f_er_eh_v_er f_er_eh_v_er ih_n m_ay hh_aa_r_t
b;1;my life was changed forever;m_ay l_ay_f w_ah_z ch_ey_n_jh_d f_er_eh_v_er
e;23;youre the only one Im thinking of;y_uw_r dh_ah ow_n_l_iy w_ah_n ay_m th_ih_ng_k_ah_ng ah_v
a;16;like the rainbow after the rain;l_ay_k dh_ah r_ey_n_b_ow ae_f_t_er dh_ah r_ey_n
a;0;from the moment I saw your face;f_r_ah_m dh_ah m_ow_m_ah_n_t ay s_ao y_ao_r f_ey_s
b;28;when theres a time when theres a time when were together when were;w_eh_n dh_eh_r_s ah t_ay_m w_eh_n dh_eh_r_s ah t_ay_m hh_w_ih_n w_iy_r t_ah_g_eh_dh_er w_eh_n w_iy_r
b;29;together;t_ah_g_eh_dh_er
e;20;forever in my heart youre the only one Im thinking of;f_er_eh_v_er ih_n m_ay hh_aa_r_t y_uw_r dh_ah ow_n_l_iy w_ah_n ay_m th_ih_ng_k_ah_ng ah_v
a;4;like the rainbow after the rain;l_ay_k dh_iy r_ey_n_b_ow ae_f_t_er dh_ah r_ey_n
