Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;9;cuz It-S easy for dre to stray away;k_ah_z ih_t_s iy_z_iy f_ao_r d_r_eh t_uw s_t_r_ey ah_w_ey
a;17;since the month that I found him He-s been (somethin-) (astoundin-);s_ih_n_s dh_ah m_ah_n_th dh_ae_t ay f_aw_n_d hh_ih_m hh_iy_z b_ah_n s_ah_m_th_iy_n_eh ah_s_t_aw_n_d_iy_n_eh
h;14;thanks cuz My days are A-Okay;th_ae_ng_k_s k_ah_z m_ay d_ey_z er 
c;6;how much hes done throughout my life;hh_aw m_ah_ch hh_iy_s d_ah_n th_r_uw_aw_t m_ay l_ay_f
i;16;Id be nothin without him;ay_d b_iy n_ah_th_ah_n w_ih_th_aw_t hh_ih_m
c;7;hes keeping evil out of my house at night;hh_iy_s k_iy_p_ih_ng iy_v_ah_l aw_t ah_v m_ay hh_aw_s ae_t n_ay_t
d;10;i Don-T wan na see these days just fade to grey;ay d_ow_n_t w_aa_n n_aa s_iy dh_iy_z d_ey_z jh_ah_s_t f_ey_d t_uw g_r_ey
a;0;id give my life in less than a second just to stand in His presence;ay_d g_ih_v m_ay l_ay_f ih_n l_eh_s dh_ae_n ey s_eh_k_ah_n jh_ah_s_t t_ah s_t_ae_n_d ih_n hh_ih_z p_r_eh_z_ah_n_s
b;19;I-D rather spread his love to hundreds of thousands;ay_d r_ae_dh_er s_p_r_eh_d hh_ih_z l_ah_v t_uw hh_ah_n_d_r_ax_d_z ah_v th_aw_z_ah_n_d_z
a;18;im Never fussin and poutin or cussin and (shoutin-);ay_m n_eh_v_er f_ah_s_iy_n ah_n_d p_aw_t_iy_n ao_r k_ah_s_iy_n ah_n_d sh_aw_t_iy_n_eh
a;20;and let-em all know he built the structures around em;ah_n_d l_m_er ao_l n_ow hh_iy b_ih_l_t dh_ah s_t_r_ah_k_ch_er_z er_aw_n_d eh_m
d;15;his glory Helped me pave a way to grace;hh_ah_z g_l_ao_r_iy hh_eh_l_p_t m_iy p_ey_v ey w_ey t_ah g_r_ey_s
e;23;its sad cuz y-all rather praise a couple medallions;ih_t_s s_ae_d k_ah_z y_ao_l r_ae_dh_er p_r_ey_z ah k_ah_p_ah_l m_ah_d_ae_l_y_ah_n_z
d;12;me So every day hes gained my praise;m_iy s_ow eh_v_er_iy d_ey hh_iy_s g_ey_n_d m_ay p_r_ey_z
b;21;the sun to ground the ice that covers the mountains;dh_ah s_ah_n t_uw g_r_aw_n_d dh_ah ay_s dh_ae_t k_ah_v_er_z dh_ah m_aw_n_t_ah_n_z
d;13;i try my hardest but there Ain-t no way to say;ay t_r_ay m_ay hh_aa_r_d_ah_s_t b_ah_t dh_eh_r ey_n_t n_ow w_ey t_ah s_ey
e;22;hes the one who helped me discover my talents;hh_iy_s dh_iy hh_w_ah_n hh_uw hh_eh_l_p_t m_iy d_ih_s_k_ah_v_er m_ay t_ae_l_ah_n_t_s
a;2;i heed his message and lessons and I will never forget them;ay hh_iy_d hh_ih_z m_eh_s_ah_jh ah_n_d l_eh_s_ah_n_z ah_n_d ay w_ah_l n_eh_v_er f_ax_g_eh_t dh_eh_m
b;5;hes blessed me so much On both hands I couldn-t count;hh_iy_s b_l_eh_s_t m_iy s_ow m_ah_ch aa_n b_ow_th hh_ae_n_d_z ay k_uh_d_n_t k_aw_n_t
b;4;i love God in untangible Amounts;ay l_ah_v g_aa_d ih_n ah_n_t_ae_n_jh_ah_b_ah_l ah_m_aw_n_t_s
g;3;cuz When I rest in the heavens I know Ill rest in peace;k_ah_z w_eh_n ay r_eh_s_t ih_n dh_ah hh_eh_v_ah_n_z ay n_ow ay_l r_eh_s_t ih_n p_iy_s
d;8;and day every chance I may I pray you stay;ah_n_d d_ey eh_v_er_iy ch_ae_n_s ay m_ey ay p_r_ey y_uw s_t_ey
f;1;he has never been second to anything;hh_iy hh_ah_z n_eh_v_er b_ah_n s_eh_k_ah_n t_uw eh_n_iy_th_ih_ng
d;11;and I know his son J was slain to save;ah_n_d ay n_ow hh_ih_z s_ah_n jh_ey w_ah_z s_l_ey_n t_uw s_ey_v
