Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;18;mad clicks watch there actions;m_ae_d k_l_ih_k_s w_aa_ch dh_eh_r ae_k_sh_ah_n_z
e;9;and every time you fuck your ho she play actress;ah_n_d eh_v_r_iy t_ay_m y_uw f_ah_k y_uh_r hh_ow sh_iy p_l_ey ae_k_t_r_ah_s
d;5;class clown who wanna laugh now;k_l_ae_s k_l_aw_n hh_uw w_aa_n_ah l_ae_f n_aw
c;3;another white boy killin shit;ah_n_ah_dh_er w_ay_t b_oy k_ih_l_ih_n sh_iy_t
i;33;you dislexis I said it;y_uw d_ih_s_l_eh_k_s_ih_s ay s_eh_d ih_t
a;16;murk any whack click with crack spits;m_er_k eh_n_iy w_ae_k k_l_ih_k w_ih_dh k_r_ae_k s_p_ih_t_s
e;8;you whack faggit;y_uw hh_w_ae_k f_ae_g_iy_t
a;10;you should go back to suckin man dick;y_uw sh_uh_d g_ow b_ae_k t_ah s_ah_k_iy_n m_ae_n d_ih_k
m;24;let me cut loose fuck you;l_eh_t m_iy k_ah_t l_uw_s f_ah_k y_uw
f;12;smack em if they step outta line;s_m_ae_k eh_m ih_f dh_ey s_t_eh_p uw_t_ah l_ay_n
a;0;runnin from the ho cops then I hit a roadblock of robots that blow cock till;r_ah_iy_n f_er_m dh_iy hh_ow k_aa_p_s dh_eh_n ay hh_ih_t ey r_ow_d_b_l_aa_k ah_v r_ow_b_aa_t_s dh_ah_t b_l_ow k_aa_k t_ih_l
b;2;oh god;ow g_aa_d
g;38;are you having a bad day;aa_r y_uw hh_ae_v_ih_ng ah b_ae_d d_ey
e;22;droppin bombs on every poprapper in the magazines;d_r_aa_p_p_ih_n b_aa_m_z aa_n eh_v_er_iy p_aa_p_r_ae1_p_r ih_n dh_ah m_ae_g_ah_z_iy_n_z
e;21;pass me the matches please and the gasoline;p_ae_s m_iy dh_ah m_ae_ch_ah_z p_l_iy_z ah_n_d dh_ah g_ae_s_ah_l_iy_n
a;28;get bent bitch;g_eh_t b_eh_n_t b_ih_ch
b;1;they dome rots;dh_ey d_ow_m r_aa_t_s
e;35;im the devils mandate;ih_m dh_ah d_eh_v_ah_l_z m_ae_n_d_ey_t
a;26;fuck with me death wish;f_ah_k w_ih_dh m_iy d_eh_th w_ih_sh
d;7;or ill do you like your CHICK ass out;er ih_l d_uw y_uw l_ay_k y_uh_r ch_ih_k ae_s aw_t
d;6;put you in a headlock tap out;p_uh_t y_uw ih_n_ch ey hh_eh_d_l_aa_k t_ae_p aw_t
n;27;rippin out a dumb brauds extension;r_ih_p_iy_n aw_t ah d_ah_m b_r_ao_d_z ih_k_s_t_eh_n_sh_ah_n
b;13;ill school you columbine;ih_l s_k_uw_l y_uw k_aa_l_ah_m_b_ay_n
a;31;that leaves necks slit;dh_ae_t l_iy_v_z n_eh_k_s s_l_ih_t
l;20;lyrical skills a little better than average;l_ih_r_ih_k_ah_l s_k_ih_l_z ah l_ih_t_ah_l b_eh_t_er dh_ae_n ae_v_ax_r_ih_jh
q;32;we ain-t friends if;w_iy ey_n_t f_r_eh_n_d_z ah_f
i;19;steal a car your in and crash it;s_t_iy_l ah k_aa_r y_ao_r ih_n ah_n_d k_r_ae_sh ih_t
f;14;and you ain-t hard why you gotta lie;ah_n_d y_uw ey_n_t hh_aa_r_d w_ay y_uw g_aa_t_ah l_ay
g;37;cuz all your fans gay damn wait;k_ah_z ao_l y_ao_r f_ae_n_z g_ey d_ae_m w_ey_t
f;15;im the hottest unsigned white guy;ih_m dh_ah hh_aa_t_ah_s_t ah_n_s_ay_n_d w_ay_t g_ay
g;39;say all that to ya damn face;s_ey ao_l dh_ae_t t_uw y_aa d_ae_m f_ey_s
r;34;i wreck clicks cuz my flows infectious;ay r_eh_k k_l_ih_k_s k_ah_z m_ay f_l_ow_z ih_n_f_eh_k_sh_ah_s
a;4;runnin with the illest click;r_ah_iy_n w_ah_dh dh_iy ih_l_l_eh_s_t k_l_ih_k
o;29;middle fingers aimed in every direction;m_ih_d_ah_l f_ih_ng_g_er_z ey_m_d ih_n eh_v_er_iy d_ih_r_eh_k_sh_n
e;11;im killin whack mcs in the masses;ih_m k_ih_l_ih_n hh_w_ae_k m_ih_k_s ih_n_ch dh_iy m_ae_s_ah_z
h;17;get chris brown on my ad libs;g_eh_t k_r_ih_s b_r_aw_n aa_n m_ay ae_d l_ih_b_z
c;25;you needa 9 to protect shit;y_uw n_iy_d_ae ah_ae t_uw p_r_ax_t_eh_k_t sh_iy_t
p;30;fuckin with a xorzist;f_ah_k_iy_n w_ih_dh ah x_oh_r_z_ax_s_t
g;36;on a rampage destroy your fan base;aa_n ah r_ae_m_p_ey_jh d_ah_s_t_r_oy y_ao_r f_ae_n b_ey_s
