Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;6;eiguli shunle manush bhabe dekho chele ta (be-adob);eh_ih_g_u_l_iy sh_l_er m_ey_n_ah_s_ae b_b_er d_er_k_hh_ax ch_eh_l_f_ae t_aa b_iy_aa_d_aa_b
c;9;shotto koite dorai na oto tuk shahosh dise allah;sh_aa_t_oh k_oy_t_ow_ae d_er_e n_aa ao_t_oh t_uw_k sh_aa_aa_sh d_ay_s aa_l_ah
a;0;let me give you a simple example of my daily day;l_eh_t m_iy g_ih_v y_uw ey s_ih_m_p_ah_l ih_g_z_ae_m_p_ah_l ah_v m_ay d_ey_l_iy d_ey
d;14;you have to understand There (is) generation gap;y_uw hh_ae_v t_uw ah_n_d_er_s_t_ae_n_d dh_eh_r ih_z jh_eh_n_er_ey_sh_ah_n g_ae_p
e;7;Tara amare bhoy dekhay bole mathay naki porbe gojob;t_eh_r_ah aa_m_eh_r b_hh_oh_ax d_eh_k_hh_ae_ax b_ow_l m_ae_t_hh_ey k_iy p_b_er 
c;8;gojob porle poruk ga er jonno ki shotto komu na; p_l_er p_ao_r_uw_k g_ae er jh_aa_n_oh k_iy sh_aa_t_oh k_ow_m_iy_ae n_aa
d;15;so much pain You give youre still my mom and dad;s_ow m_ah_ch p_ey_n y_uw g_ih_v y_uw_r s_t_ih_l m_ay m_aa_m ah_n_d d_ae_d
b;4;14 bochor koira porashuna you I ain-t smart enough; b_aa_k_oh_r k_oy_r_ae p_ao_r_ah_sh_uw_n_ax y_uw ay ey_n_t s_m_aa_r_t ah_n_ah_f
d;10;shara din Nana pressure e jibon ta amar tej pata;sh_aa_r_ah d_ih_n n_ae_n_ah p_r_eh_sh_er iy jh_ih_b_oh_n t_aa ah_m_aa_r t_iy_ae p_ae_t_ae
d;12;you want my future to be good Yes I do know that;y_uw w_aa_n_t m_ay f_y_uw_ch_er t_uw b_iy g_uh_d y_eh_s ay d_uw n_ow dh_ae_t
b;5;bba korei boro chakri you think I dont know thats a bluff;b_iy_b_iy_s_iy_ae k_ao_r_iy_ah_ae b_er_ow ch_ae_k_r_ax y_uw th_ih_ng_k ay d_aa_n_b n_ow dh_ae_t_s ah b_l_ah_f
e;11;jodi togo o ei obostha taile amr loge matha jhaka;jh_ow_d_iy t_ow_g_ow ow ay ao_b_oh_s_th_ax t_ey_l aa_m_er l_ow_jh m_ae_th_ae k_ae
d;13;but it ain-t helping cus All u give (is) bullcrap;b_ah_t ih_t ey_n_t hh_eh_l_p_ih_ng k_ah ao_l ih_k g_ih_v ih_z b_uh_l_k_r_ae_p
a;2;and I just hate it When a sun ray hits my face;ah_n_d ay jh_ah_s_t hh_ey_t ah_t w_eh_n ey s_ah_n r_ey hh_ih_t_s m_ay f_ey_s
a;3;cus I got ta wake up and deal bullshit all day;k_ah_s ay g_aa_t t_aa w_ey_k ah_p ah_n_d d_iy_l b_uh_l_sh_ih_t ao_l d_ey
a;1;peoples Life (is) full of colors my one-s just grey;p_iy_p_ah_l_z l_ay_f ah_z f_uh_l ah_v k_ah_l_er_z m_ay w_ah_n_z jh_ah_s_t g_r_ey
