Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;22;oh-oh oh-oh oh-oh;oh_hh_hh oh_hh_hh oh_hh_hh
g;13;little vision come shake me up shake me up;l_ih_t_ah_l v_ih_zh_ah_n k_ah_m sh_ey_k m_iy ah_p sh_ey_k m_iy ah_p
a;0;baby I just don-t understand;b_ey_b_iy ay jh_ah_s_t d_ow_n ah_n_d_er_s_t_ae_n_d
g;10;little vision come shake me up shake me up;l_ih_t_ah_l v_ih_zh_ah_n k_ah_m sh_ey_k m_iy ah_p sh_ey_k m_iy ah_p
d;15;said your heart was a swarm of bees;s_eh_d y_uh_r hh_aa_r_t w_ah_z ey s_w_ao_r_m ah_v b_iy_z
h;19;and now its just you and me;ah_n_d n_aw ih_t_s jh_ah_s_t y_uw ah_n_d m_iy
g;26;a little vision come come and shake me up;ey l_ih_t_ah_l v_ih_zh_ah_n k_ah_m k_ah_m ah_n_d sh_ey_k m_iy ah_p
g;30;ghost pressure come shake me up shake me up;g_ow_s_t p_r_eh_sh_er k_ah_m sh_ey_k m_iy ah_p sh_ey_k m_iy ah_p
f;29;Dan Boeckner x2;d_ae_n B_ao_eh_k_k_n_er_r eh_k_s_ae
g;24;a little vision come come and shake me up;ey l_ih_t_ah_l v_ih_zh_ah_n k_ah_m k_ah_m ah_n_d sh_ey_k m_iy ah_p
g;12;little vision come shake me up shake me up;l_ih_t_ah_l v_ih_zh_ah_n k_ah_m sh_ey_k m_iy ah_p sh_ey_k m_iy ah_p
f;8;she said;sh_iy s_eh_d
e;6;i know theyre dancing there invisibly;ay n_ow dh_ey_r d_ae_n_s_ih_ng dh_eh_r ih_n_v_ih_z_ah_b_l_iy
g;27;a little vision come come and shake me up;ey l_ih_t_ah_l v_ih_zh_ah_n k_ah_m k_ah_m ah_n_d sh_ey_k m_iy ah_p
b;2;and I kissed you there on Orchard Road;ah_n_d ay k_ih_s_t y_uw dh_eh_r aa_n ao_r_ch_er_d r_ow_d
b;21;and you just had to know;ah_n_d y_uw jh_ah_s_t hh_ae_d t_uw n_ow
d;4;pulled the car from the empty street;p_uh_l_d dh_iy k_aa_r f_er_m dh_iy eh_m_t_iy s_t_r_iy_t
a;1;make me feel like another man;m_ey_k m_iy f_iy_l l_ay_k ah_n_ah_dh_er m_ae_n
e;20;well I could do a little mystery;w_eh_l ay k_uh_d d_uw ah l_ih_t_ah_l m_ih_s_t_er_iy
e;17;i hear them buzzing there invisibly;ay hh_ih_r dh_ah_m b_ah_z_ih_ng dh_eh_r ih_n_v_ih_z_ah_b_l_iy
d;5;empty room and empty sea;eh_m_t_iy r_uw_m ah_n_d eh_m_t_iy s_iy
g;32;ghost pressure come shake me up shake me up;g_ow_s_t p_r_eh_sh_er k_ah_m sh_ey_k m_iy ah_p sh_ey_k m_iy ah_p
c;7;oh-oh oh-oh oh-oh;oh_hh_hh oh_hh_hh oh_hh_hh
g;25;a little vision come come and shake me up;ey l_ih_t_ah_l v_ih_zh_ah_n k_ah_m k_ah_m ah_n_d sh_ey_k m_iy ah_p
d;16;and they don-t and they will never leave;ah_n_d dh_ey d_ow_n ah_n_d dh_ey w_ih_l n_eh_v_er l_iy_v
g;11;little vision come shake me up shake me up;l_ih_t_ah_l v_ih_zh_ah_n k_ah_m sh_ey_k m_iy ah_p sh_ey_k m_iy ah_p
c;18;oh-oh oh-oh oh-oh;oh_hh_hh oh_hh_hh oh_hh_hh
c;3;oh-oh oh-oh oh-oh;oh_hh_hh oh_hh_hh oh_hh_hh
