Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
g;2;the green packs are better BX yeah that;dh_iy g_r_iy_n p_ae_k_s er b_eh_t_er  y_ae dh_ah_t
a;7;piggy;p_ih_g_iy
e;29;long (as) money spinning weed yeah man;l_ao_ng ae_z m_ah_n_iy s_p_ih_n_ih_ng w_iy_d y_ae m_ae_n
m;12;my blood hands-ll hurt you;m_ay b_l_ah_d hh_l_ae hh_er_t y_uw
d;21;please I need G-s;p_l_iy_z ay n_iy_d jh_iy_z
c;13;niggas that wanna be that I murk you its murda;n_ih_g_ae_s dh_ah_t w_aa_n_ah b_iy dh_ah_t ay m_er_k y_uw ih_t_s m_er_d_iy_ae
h;3;bl Mr Lucc 354 DL;b_iy_l m_ih_s_t_er   
b;24;word to my nigga Skeme I need mine the C R E A M;w_er_d t_uw m_ay n_ih_g_ae S_k_er_m_ax ay n_iy_d m_ay_n dh_ah s_iy aa_r iy ah eh_m
a;18;light up the room I need the keys and the hammers bitch;l_ay_t ah_p dh_ah r_uw_m ay n_iy_d dh_ah k_iy_z ah_n_d dh_ah hh_ae_m_er_z b_ih_ch
e;0;bad Lucc;b_ae_d 
o;27;bags of money your shit I need centss;b_ae_g_z ah_v m_ah_n_iy y_ao_r sh_iy_t ay n_iy_d s_eh_n_t_s_s
d;22;rule nigga fuckin for cheese I need ease;r_uw_l n_ih_g_ae f_ah_k_iy_n f_ao_r ch_iy_z ay n_iy_d iy_z
a;15;pigg;p_ih_g
l;10;who tryna do us don-t do it;hh_uw t_r_ih_n_ah d_uw ah_s d_ow_n_t d_uw ih_t
p;28;i need mines got ASAP capische;ay n_iy_d m_ay_n_z g_aa_t  
n;14;turn fist fights to funerals services-ll merge ya;t_er_n f_ih_s_t f_ay_t_s t_uw f_y_uw_n_er_ah_l_z s_l_eh m_er_jh y_aa
d;23;high outta my mind pisses the palm trees;hh_ay uw_t_ah m_ay m_ay_n_d p_ih_s_er_s dh_ah p_aa_m t_r_iy_z
g;4;mmm i-mma G See em like don-t push em I need that;m_ah_d_ae_m_m iy_ax_ jh_iy s_iy eh_m l_ay_k d_ow_n p_uh_sh eh_m ay n_iy_d dh_ah_t
d;17;fuck it im on my candle shit;f_ah_k ih_t ay_m aa_n m_ay k_ae_n_d_ah_l sh_iy_t
b;6;i need that McLaren for what youre wearing;ay n_iy_d dh_ah_t m_ah_k_l_eh_r_ah_n f_r_er hh_w_ah_t y_uw_r w_eh_r_ih_ng
d;20;i get high and start putting my hands on shit;ay g_eh_t hh_ay ah_n_d s_t_aa_r_t p_ah_t_ih_ng m_ay hh_ae_n_d_z aa_n sh_iy_t
f;1;i need mine;ay n_iy_d m_ay_n
a;5;ay ay put the kush in I need that steering;ay ay p_uh_t dh_iy k_uh_sh ih_n_ch ay n_iy_d dh_ah_t s_t_ih_r_ih_ng
i;9;i see you my nigga I need that cannon for the boosters;ay s_iy y_uw m_ay n_ih_g_ae ay n_iy_d dh_ae_t k_ae_n_ah_n f_ao_r dh_ah b_uw_s_t_er_z
a;19;need me a pack and the roll up a candle stick;n_iy_d m_iy ah p_ae_k ah_n_d dh_ah r_ow_l ah_p ah k_ae_n_d_ah_l s_t_ih_k
a;26;the hard top bad bitches;dh_ah hh_aa_r_d t_aa_p b_ae_d b_ih_ch_ah_z
c;11;i need me a reason to turn a nigga into a circle;ay n_iy_d m_iy ey r_iy_z_ah_n t_ah t_er_n ey n_ih_g_ae ih_n_t_ah ey s_er_k_ah_l
