Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;54;girl I want you more;g_er_l ay w_aa_n_t y_uw m_ao_r
b;40;girl I want you more;g_er_l ay w_aa_n_t y_uw m_ao_r
a;57;tell me why my heart feels so low;t_eh_l m_iy w_ay m_ay hh_aa_r_t f_iy_l_z s_ow l_ow
a;52;girl I need you so;g_er_l ay n_iy_d y_uw s_ow
a;19;tell me why my heart feels so low;t_eh_l m_iy w_ay m_ay hh_aa_r_t f_iy_l_z s_ow l_ow
a;38;girl I need you so;g_er_l ay n_iy_d y_uw s_ow
b;16;girl I want you more;g_er_l ay w_aa_n_t y_uw m_ao_r
b;58;girl I want you more;g_er_l ay w_aa_n_t y_uw m_ao_r
b;48;(as) the sun rise on the hills and the rain will pour;ae_z dh_ah s_ah_n r_ay_z aa_n dh_ah hh_ih_l_z ah_n_d dh_ah r_ey_n w_ah_l p_ao_r
b;29;bottle and body dressed in black like a mourner;b_aa_t_ah_l ah_n_d b_aa_d_iy d_r_eh_s_t ih_n b_l_ae_k l_ay_k ah m_ao_r_n_er
a;15;tell me why my heart feels so low;t_eh_l m_iy w_ay m_ay hh_aa_r_t f_iy_l_z s_ow l_ow
b;55;please don-t leave me standing at the door;p_l_iy_z d_ow_n_t l_iy_v m_iy s_t_ae_n_d_ih_ng ae_t dh_ah d_ao_r
b;41;please don-t leave me standing at the door;p_l_iy_z d_ow_n_t l_iy_v m_iy s_t_ae_n_d_ih_ng ae_t dh_ah d_ao_r
e;31;i think that must-ve torn her;ay th_ih_ng_k dh_ae_t m_ah_s_t_ih_v t_ao_r_n hh_er
c;25;teardrops are clear so I hid behind this armour;t_eh_r_d_r_aa_p_s aa_r k_l_ih_r s_ow ay hh_ih_d b_ah_hh_ay_n_d dh_ih_s aa_r_m_er
a;43;now you say yes its best that I go;n_aw y_uw s_ey y_eh_s ih_t_s b_eh_s_t dh_ae_t ay g_ow
b;2;girl I want you more;g_er_l ay w_aa_n_t y_uw m_ao_r
a;14;girl I need you so;g_er_l ay n_iy_d y_uw s_ow
a;5;on these nights when we fight I go to bed lonely;aa_n dh_iy_z n_ay_t_s hh_w_ih_n w_iy f_ay_t ay g_ow t_ah b_eh_d l_ow_n_l_iy
d;47;but girl I learned my love (is) (as) secure;b_ah_t g_er_l ay l_er_n_d m_ay l_ah_v ih_z ae_z s_ih_k_y_uh_r
c;24;Will never forget her she was my nirvana;w_ah_l n_eh_v_er f_ax_g_eh_t hh_er sh_iy w_ah_z m_ay n_ih_r_v_aa_n_ah
a;34;girl I need you so;g_er_l ay n_iy_d y_uw s_ow
d;6;im worrying while wondering if youll phone me;ay_m w_er_iy_ih_ng w_ay_l w_ah_n_d_er_ih_ng ah_f y_uw_l f_ow_n m_iy
b;45;i walked from your door once before;ay w_ao_k_t f_r_ah_m y_ao_r d_ao_r w_ah_n_s b_ah_f_ao_r
a;35;tell me why my heart feels so low;t_eh_l m_iy w_ay m_ay hh_aa_r_t f_iy_l_z s_ow l_ow
b;27;sitting on a corner;s_ih_t_ih_ng aa_n ah k_ao_r_n_er
f;46;tired and unsure of what we were fighting for;t_ay_r_d ah_n_d ah_n_sh_uh_r ah_v w_ah_t w_iy w_er f_ay_t_ih_ng f_ao_r
b;37;please don-t leave me standing at the door;p_l_iy_z d_ow_n_t l_iy_v m_iy s_t_ae_n_d_ih_ng ae_t dh_ah d_ao_r
b;32;i only cried her name when she disappeared around the corner;ay ow_n_l_iy k_r_ay_d hh_er n_ey_m w_eh_n sh_iy d_ih_s_ah_p_ih_r_d er_aw_n_d dh_ah k_ao_r_n_er
b;20;girl I want you more;g_er_l ay w_aa_n_t y_uw m_ao_r
c;23;feeling down and lonely after all of the drama;f_iy_l_ih_ng d_aw_n ah_n_d l_ow_n_l_iy ae_f_t_er ao_l ah_v dh_ah d_r_aa_m_ah
b;3;please don-t leave me standing at the door;p_l_iy_z d_ow_n l_iy_v m_iy s_t_ae_n_d_ih_ng ae_t dh_iy d_ao_r
b;21;please don-t leave me standing at the door;p_l_iy_z d_ow_n_t l_iy_v m_iy s_t_ae_n_d_ih_ng ae_t dh_ah d_ao_r
b;44;but I don-t care what you say Im standing at the door;b_ah_t ay d_ow_n_t k_eh_r w_ah_t y_uw s_ey ay_m s_t_ae_n_d_ih_ng ae_t dh_ah d_ao_r
a;56;girl I need you so;g_er_l ay n_iy_d y_uw s_ow
a;1;tell me why my heart feels so low;t_eh_l m_iy hh_w_ay m_ay hh_aa_r_t f_iy_l_z s_ow l_ow
a;0;girl I need you so;g_er_l ay n_iy_d y_uw s_ow
d;11;so much foundation to act like you don-t know me;s_ow m_ah_ch f_aw_n_d_ey_sh_ah_n t_uw ae_k_t l_ay_k y_uw d_ow_n_t n_ow m_iy
d;10;can-t kiss the phone and the phone cannot hold me;k_ae_n_t k_ih_s dh_ah f_ow_n ah_n_d dh_ah f_ow_n k_ae_n_aa_t hh_ow_l_d m_iy
a;39;tell me why my heart feels so low;t_eh_l m_iy w_ay m_ay hh_aa_r_t f_iy_l_z s_ow l_ow
a;9;love on the phone line killing us slowly;l_ah_v aa_n dh_ah f_ow_n l_ay_n k_ih_l_ih_ng ah_s s_l_ow_l_iy
a;7;wish I wasn-t alone this breeze (is) blowing coldly;w_ih_sh ay w_oh_z_n_t ah_l_ow_n dh_ih_s b_r_iy_z ih_z b_l_ow_ih_ng k_ow_l_d_l_iy
b;49;solid (as) a rock with an iron core;s_aa_l_ah_d ae_z ah r_aa_k w_ih_dh ae_n ay_er_n k_ao_r
b;50;i don-t wanna feel that heartburn no more;ay d_ow_n_t w_aa_n_ah f_iy_l dh_ae_t hh_aa_r_t_b_er_n n_ow m_ao_r
b;17;please don-t leave me standing at the door;p_l_iy_z d_ow_n_t l_iy_v m_iy s_t_ae_n_d_ih_ng ae_t dh_ah d_ao_r
a;53;tell me why my heart feels so low;t_eh_l m_iy w_ay m_ay hh_aa_r_t f_iy_l_z s_ow l_ow
d;8;tell me why this lonliness surrounds me;t_eh_l m_iy w_ay dh_ih_s l_aa_n_l_ay1_n_s_s s_er_aw_n_d_z m_iy
e;30;she came back (no-one) warned her;sh_iy k_ey_m b_ae_k n_aa_w_ah_n w_ao_r_n_d hh_er
d;12;girl thats only phony put your arms around me;g_er_l dh_ae_t_s ow_n_l_iy f_ow_n_iy p_uh_t y_ao_r aa_r_m_z er_aw_n_d m_iy
b;59;please don-t leave me standing at the door;p_l_iy_z d_ow_n_t l_iy_v m_iy s_t_ae_n_d_ih_ng ae_t dh_ah d_ao_r
a;18;girl I need you so;g_er_l ay n_iy_d y_uw s_ow
b;36;girl I want you more;g_er_l ay w_aa_n_t y_uw m_ao_r
c;26;trying to feel better smoke more marijuana;t_r_ay_ih_ng t_uw f_iy_l b_eh_t_er s_m_ow_k m_ao_r m_eh_r_ah_w_aa_n_ah
b;28;drinking Johnny Walker;d_r_ih_ng_k_ih_ng jh_aa_n_iy w_ao_k_er
