Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
l;42;thinking you the shit you and the girls get the tongue in;th_ih_ng_k_ah_ng y_uw dh_ah sh_iy_t y_uw ah_n_d dh_ah g_er_l_z g_eh_t dh_ah t_ah_ng ih_n
c;71;it hurts baby;ih_t hh_er_t_s b_ey_b_iy
l;50;here dont come over here;hh_ih_r d_aa_n_b k_ah_m ow_v_er hh_ih_r
o;67;i beg you just be you could you;ay b_eh_g y_uw jh_ah_s_t b_iy y_uw k_uh_d y_uw
h;24;i can-t deal with you hoe ass hoes;ay k_ae_n_t d_iy_l w_ih_dh y_uw hh_ow ae_s hh_ow_z
c;4;stay up for the night baby;s_t_ey ah_p f_r_er dh_iy n_ay_t b_ey_b_iy
e;8;all so hungry;ao_l s_ow hh_ah_ng_g_r_iy
m;7;no you don-t even care cus youre just doing you and youre;n_ow y_uw d_ow_n_t iy_v_ah_n k_eh_r k_ah y_uw_r jh_ah_s_t d_uw_ih_ng y_uw ah_n_d y_uw_r
e;39;you show up with your friends in the front like its nothing;y_uw sh_ow ah_p w_ih_dh y_ao_r f_r_eh_n_d_z ih_n dh_ah f_r_ah_n_t l_ay_k ih_t_s n_ah_th_ih_ng
p;30;get all up out it;g_eh_t ao_l ah_p aw_t ih_t
a;57;please;p_l_iy_z
g;32;you saw it on tv you wouldn-t know better;y_uw s_ao ih_t aa_n t_iy_v_iy y_uw w_uh_d_ah_n_t n_ow b_eh_t_er
e;43;and that was just a Sunday;ah_n_d dh_ae_t w_ah_z jh_ah_s_t ah s_ah_n_d_ey
t;66;i sit so silently;ay s_ih_t s_ow s_ay_l_ah_n_t_l_iy
c;5;theres a guy in the club looking for the right lady;dh_eh_r_s ah g_ay ih_n dh_ah k_l_ah_b l_uh_k_ih_ng f_ao_r dh_ah r_ay_t l_ey_d_iy
c;72;it burns baby;ih_t b_er_n_z b_ey_b_iy
