Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;26;if only to say this to myself;ah_f ow_n_l_iy t_uw s_ey dh_ih_s t_uw m_ay_s_eh_l_f
f;15;go easy;g_ow iy_z_iy
g;20;funny how my mind counts each day;f_ah_n_iy hh_aw m_ay m_ay_n_d k_aw_n_t_s iy_ch d_ey
f;37;go easy;g_ow iy_z_iy
c;8;if only to say this to you now;ah_f ow_n_l_iy t_uw s_ey dh_ih_s t_uw y_uw n_aw
a;35;but go;b_ah_t g_ow
d;18;you were like those flowers on the hills;y_uw w_er l_ay_k dh_ow_z f_l_aw_er_z aa_n dh_iy hh_ih_l_z
f;34;go easy;g_ow iy_z_iy
b;2;collapsing into the meadowlands;k_ah_l_ae_p_s_ih_ng ih_n_t_ah dh_iy m_eh_d_ow_l_ae_n_d_z
c;6;i only hear a ringing sound;ay ow_n_l_iy hh_ih_r ah r_ih_ng_ih_ng s_aw_n_d
m;25;i love you still and I always will;ay l_ah_v y_uw s_t_ih_l ah_n_d ay ao_l_w_ey_z w_ah_l
l;12;i will always love you;ay w_ih_l ao_l_w_iy_z l_ah_v y_uw
a;0;i watch the evening grow old;ay w_aa_ch dh_iy iy_v_n_ih_ng g_r_ow ow_l_d
b;10;if only to say this to myself;ih_f ow_n_l_iy t_ah s_ey dh_ah_s t_ah m_ay_s_eh_l_f
h;1;and I watch the sun grow tired;ah_n_d ay w_aa_ch dh_iy s_ah_n g_r_ow t_ay_r_d
h;28;i will always love you;ay w_ah_l ao_l_w_ey_z l_ah_v y_uw
l;21;by the times Ive thought of you;b_ay dh_ah t_ay_m_z ay_v th_ao_t ah_v y_uw
f;31;go easy;g_ow iy_z_iy
e;13;so go easy on yourself;s_ow g_ow iy_z_iy aa_n y_ao_r_s_eh_l_f
d;9;i love you still and I always will;ay l_ah_v y_uw s_t_ih_l ah_n_d ay ao_l_w_iy_z w_ih_l
c;5;sometimes its like its so loud;s_ah_m_t_ay_m_z ih_t_s l_ay_k ih_t_s s_ow l_aw_d
f;32;go easy;g_ow iy_z_iy
i;4;funny how I still hear that voice;f_ah_n_iy hh_aw ay s_t_ih_l hh_ih_r dh_ah_t v_oy_s
c;24;if only to say this to you now;ih_f ow_n_l_iy t_ah s_ey dh_ah_s t_ah y_uw n_aw
g;22;funny how the numbers sway;f_ah_n_iy hh_aw dh_iy n_ah_m_b_er_z s_w_ey
l;27;i will always love you;ay w_ah_l ao_l_w_ey_z l_ah_v y_uw
l;11;i will always love you;ay w_ih_l ao_l_w_iy_z l_ah_v y_uw
b;29;so go easy on yourself;s_ow g_ow iy_z_iy aa_n y_er_s_eh_l_f
f;33;go easy;g_ow iy_z_iy
f;16;go easy;g_ow iy_z_iy
e;19;and the sunlight in the fall even the coyotes call;ah_n_d dh_iy s_ah_n_l_ay_t ih_n_ch dh_iy f_aa_l iy_v_ah_n dh_iy k_ay_ow_t_iy_s k_ao_l
