Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;2;swing a war axe make it rain hail;s_w_ih_ng ey w_ao_r ae_k_s m_ey_k ah_t r_ey_n hh_ey_l
m;86;my piston sends;m_ay p_ih_s_t_ah_n s_eh_n_d_z
e;34;come one come all if you wanna brawl;k_ah_m w_ah_n k_ah_m ao_l ah_f y_uw w_aa_n_ah b_r_ao_l
f;61;sun;s_ah_n
aa;65;i wrote a dream for your subconscious;ay r_ow_t ah d_r_iy_m f_ao_r y_ao_r s_ah_b_k_aa_n_sh_ah_s
l;49;can-t stop slicing y-all can-t stop lightning;k_ae_n_t s_t_aa_p s_l_ay_s_ih_ng y_ao_l k_ae_n_t s_t_aa_p l_ay_t_n_ih_ng
a;0;the king on horseback draped;dh_iy k_ih_ng aa_n hh_ao_r_s_b_ae_k d_r_ey_p_t
e;79;the manticore with cancer jaws striking rappers with panther paws;dh_ah m_ah_n_t_ih_k_o_r_er w_ih_dh k_ae_n_s_er jh_ao_z s_t_r_ay_k_ih_ng r_ae_p_er_z w_ih_dh p_ae_n_th_er p_ao_z
u;47;exploding (shock-waves) are unbelievable;ih_k_s_p_l_ow_d_ih_ng sh_aa_k_w_ey_v_z aa_r ah_n_b_ah_l_iy_v_ah_b_ah_l
l;27;the war sniper your fake hard rocks like formica;dh_ah w_ao_r s_n_ay_p_er y_ao_r f_ey_k hh_aa_r_d r_aa_k_s l_ay_k f_ao_r_m_ay_k_ah
s;23;care if theres ten of you;k_eh_r ah_f dh_eh_r_s t_eh_n ah_v y_uw
i;44;i slash through that ass its the masterous shogun;ay s_l_ae_sh th_r_uw dh_ae_t ae_s ih_t_s dh_ah m_ah_s_t_eh_r_oh_ax_s sh_ow_g_ah_n
n;71;gust of wind will crush your skin;g_ah_s_t ah_v w_ih_n_d w_ah_l k_r_ah_sh y_ao_r s_k_ih_n
e;54;im deadly thoughts will shift the sands supporting California;ay_m d_eh_d_l_iy th_ao_t_s w_ah_l sh_ih_f_t dh_ah s_ae_n_d_z s_ah_p_ao_r_t_ih_ng k_ae_l_ah_f_ao_r_n_y_ah
e;40;im the mighty Thor whos ready for war;ay_m dh_ah m_ay_t_iy th_ao_r hh_uw_s r_eh_d_iy f_ao_r w_ao_r
g;32;when the God of Thunder storms into the room;w_eh_n dh_ah g_aa_d ah_v th_ah_n_d_er s_t_ao_r_m_z ih_n_t_uw dh_ah r_uw_m
i;90;virtuoso my chokeholds worldwide youll die local;v_er_ch_uw_ow_s_ow m_ay ch_ow_k_hh_ow_l_d_z w_er_l_d_w_ay_d y_uw_l d_ay l_ow_k_ah_l
w;48;your heads and necks rolling chop blades thats (unsheathe-able);y_ao_r hh_eh_d_z ah_n_d n_eh_k_s r_ow_l_ih_ng ch_aa_p b_l_ey_d_z dh_ae_t_s ah_n_sh_iy_dh_ey_b_l
a;87;thundering (shock-waves) to rock graves of soft knaves;th_ah_n_d_er_ih_ng sh_aa_k_w_ey_v_z t_uw r_aa_k g_r_ey_v_z ah_v s_aa_f_t n_ey_v_z
e;39;come one come all if you wanna brawl;k_ah_m w_ah_n k_ah_m ao_l ah_f y_uw w_aa_n_ah b_r_ao_l
s;24;send your crew and tell all your men to bring a friend or two;s_eh_n_d y_ao_r k_r_uw ah_n_d t_eh_l ao_l y_ao_r m_eh_n t_uw b_r_ih_ng ah f_r_eh_n_d ao_r t_uw
z;63;my style of quotes will beam a vial of dopamine I choke your team;m_ay s_t_ay_l ah_v k_w_ow_t_s w_ah_l b_iy_m ah v_ay_ah_l ah_v d_aa_p_ah_m_ay_n ay ch_ow_k y_ao_r t_iy_m
a;77;and swing it leaving your thoughts slayed;ah_n_d s_w_ih_ng ih_t l_iy_v_ih_ng y_ao_r th_ao_t_s s_l_ey_er_d
o;82;when I swing mjolnir;w_eh_n ay s_w_ih_ng 
d;66;in which the big gorilla spills the blazing wax;ih_n w_ih_ch dh_ah b_ih_g g_er_ih_l_ah s_p_ih_l_z dh_ah b_l_ey_z_ih_ng w_ae_k_s
m;58;attack your squad vicious on a Pegasus;ah_t_ae_k y_ao_r s_k_w_aa_d v_ih_sh_ah_s aa_n ah p_eh_g_ah_s_ah_s
a;75;virt read a thesaurus in the fourth grade;v_er_t r_iy_d ah th_ah_s_ao_r_ah_s ih_n dh_ah f_ao_r_th g_r_ey_d
m;55;collapse the continents perhaps my dominance (is) past your common sense;k_ah_l_ae_p_s dh_ah k_aa_n_t_ah_n_ah_n_t_s p_er_hh_ae_p_s m_ay d_aa_m_ah_n_ah_n_s ih_z p_ae_s_t y_ao_r k_aa_m_ah_n s_eh_n_s
g;9;stabbing the sun with a harpoon;s_t_ae_b_ih_ng dh_ah s_ah_n w_ih_dh ah hh_aa_r_p_uw_n
f;59;convince Hera to bear a son;k_ah_n_v_ih_n_s hh_ih_r_ah t_uw b_eh_r ah s_ah_n
