Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;38;reverberate and then its all gone;r_ih_v_er_b_er_ey_t ah_n_d dh_eh_n ih_t_s ao_l g_ao_n
c;57;you climb and you fall;y_uw k_l_ay_m ah_n_d y_uw f_aa_l
a;27;you have silver bones;y_uw hh_ae_v s_ih_l_v_er b_ow_n_z
b;2;weve learned to treasure;w_iy_v l_er_n_d t_uw t_r_eh_zh_er
f;52;won-t you come with me;w_ow_n_t y_uw k_ah_m w_ih_dh m_iy
a;26;you are gold;y_uw er g_ow_l_d
c;31;you rise and you fall;y_uw r_ay_z ah_n_d y_uw f_aa_l
a;29;you are gold;y_uw aa_r g_ow_l_d
a;3;you are gold;y_uw aa_r g_ow_l_d
d;14;this (is) how a human heart sounds;dh_ih_s ih_z hh_aw ah hh_y_uw_m_ax_n hh_aa_r_t s_aw_n_d_z
d;35;this (is) how a human heart sounds;dh_ih_s ih_z hh_aw ah hh_y_uw_m_ax_n hh_aa_r_t s_aw_n_d_z
c;45;into Nirvana;ih_n_t_ah n_ih_r_v_aa_n_ah
c;18;into Nirvana;ih_n_t_uw n_ih_r_v_aa_n_ah
c;37;you rise and you fall;y_uw r_ay_z ah_n_d y_uw f_aa_l
b;28;youve yearned for pleasure;y_uw_v y_er_n_d f_ao_r p_l_eh_zh_er
b;7;youve yearned for pleasure;y_uw_v y_er_n_d f_ao_r p_l_eh_zh_er
d;41;this (is) how a human heart sounds;dh_ih_s ih_z hh_aw ah hh_y_uw_m_ax_n hh_aa_r_t s_aw_n_d_z
c;32;reverberate and then its all gone;r_ih_v_er_b_er_ey_t ah_n_d dh_eh_n ih_t_s ao_l g_ao_n
e;19;carry your ana;k_ae_r_iy y_ao_r ae_n_ah
c;48;into Nirvana;ih_n_t_ah n_ih_r_v_aa_n_ah
a;24;you are gold;y_uw aa_r g_ow_l_d
e;17;carry your ana;k_ae_r_iy y_ao_r ae_n_ah
d;58;this (is) how a human heart sounds;dh_ih_s ih_z hh_aw ah hh_y_uw_m_ax_n hh_aa_r_t s_aw_n_d_z
c;11;reverberate and then its all gone;r_ih_v_er_b_er_ey_t ah_n_d dh_eh_n ih_t_s ao_l g_ao_n
c;13;you climb and you fall;y_uw k_l_ay_m ah_n_d y_uw f_aa_l
c;54;you rise and you fall;y_uw r_ay_z ah_n_d y_uw f_aa_l
c;40;you climb and you fall;y_uw k_l_ay_m ah_n_d y_uw f_aa_l
a;5;you are gold;y_uw aa_r g_ow_l_d
c;16;into Nirvana;ih_n_t_uw n_ih_r_v_aa_n_ah
a;21;you are gold;y_uw aa_r g_ow_l_d
b;23;youve learned to treasure;y_uw_v l_er_n_d t_uw t_r_eh_zh_er
c;43;into Nirvana;ih_n_t_uw n_ih_r_v_aa_n_ah
c;34;you climb and you fall;y_uw k_l_ay_m ah_n_d y_uw f_aa_l
a;8;you are gold;y_uw aa_r g_ow_l_d
f;22;you are gold and all;y_uw aa_r g_ow_l_d ah_n_d ao_l
a;6;you have sylver bones;y_uw hh_ae_v s_ih_l_v_er_r b_ow_n_z
a;1;you are diamond stone;y_uw er d_ay_m_ah_n_d s_t_ow_n
c;50;into Nirvana;ih_n_t_uw n_ih_r_v_aa_n_ah
c;46;carry your ana;k_ae_r_iy y_uh_r aa_n_ah
a;0;you are gold;y_uw er g_ow_l_d
e;44;carry your ana;k_ae_r_iy y_ao_r ae_n_ah
c;10;you rise and you fall;y_uw r_ay_z ah_n_d y_uw f_aa_l
c;55;reverberate and then its all gone;r_ih_v_er_b_er_ey_t ah_n_d dh_eh_n ih_t_s ao_l g_ao_n
