Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;38;the good times don-t have to end;dh_ah g_uh_d t_ay_m_z d_ow_n_t hh_ae_v t_uw eh_n_d
e;30;we can hit the rewind and do it all over again;w_iy k_ae_n hh_ih_t dh_iy r_iy_w_ay_n_d ah_n_d d_uw ih_t ao_l ow_v_er ah_g_eh_n
d;7;im with you and thats where I wanna be;ay_m w_ih_dh y_uw ah_n_d dh_ae_t_s w_eh_r ay w_aa_n_ah b_iy
e;29;the good times don-t have to end;dh_ah g_uh_d t_ay_m_z d_ow_n_t hh_ae_v t_uw eh_n_d
e;20;again;ah_g_eh_n
e;42;lets do it all over again;l_eh_t_s d_uw ih_t ao_l ow_v_er ah_g_eh_n
e;39;we can hit the rewind and do it all over again;w_iy k_ah_n hh_ih_t dh_ah r_iy_w_ay_n_d ah_n_d d_uw ih_t ao_l ow_v_er ah_g_eh_n
f;15;then Im gonna call a couple friends SWD and hippy hop;dh_eh_n ay_m g_aa_n_ah k_ao_l ah k_ah_p_ah_l f_r_eh_n_d_z  ah_n_d hh_ih_p_iy hh_aa_p
b;14;well go ahead and hit that rewind button;w_eh_l g_ow ah_hh_eh_d ah_n_d hh_ih_t dh_ah_t r_iy_w_ay_n_d b_ah_t_ah_n
e;43;again again again again;ah_g_eh_n ah_g_eh_n ah_g_eh_n ah_g_eh_n
d;6;so tell me where you wanna go what you wanna see;s_ow t_eh_l m_iy w_eh_r y_uw w_aa_n_ah g_ow w_ah_t y_uw w_aa_n_ah s_iy
c;5;and theyre floating in a sea of possibility;ah_n_d dh_ey_r f_l_ow_t_ih_ng ih_n ah s_iy ah_v p_aa_s_ah_b_ih_l_ah_t_iy
b;4;all the stars are brighter suddenly;ao_l dh_ah s_t_aa_r_z aa_r b_r_ay_t_er s_ah_d_ah_n_l_iy
a;0;im alive;ay_m ah_l_ay_v
a;1;and thats all that I can ask for tonight;ah_n_d dh_ae_t_s ao_l dh_ae_t ay k_ah_n ae_s_k f_ao_r t_ah_n_ay_t
e;34;we can hit the rewind and do it all over again;w_iy k_ah_n hh_ih_t dh_ah r_iy_w_ay_n_d ah_n_d d_uw ih_t ao_l ow_v_er ah_g_eh_n
e;9;the good times don-t have to end;dh_ah g_uh_d t_ay_m_z d_ow_n_t hh_ae_v t_uw eh_n_d
b;22;the stars are brighter suddenly;dh_ah s_t_aa_r_z aa_r b_r_ay_t_er s_ah_d_ah_n_l_iy
c;23;and theyre floating in a sea of possibility;ah_n_d dh_ey_r f_l_ow_t_ih_ng ih_n ah s_iy ah_v p_aa_s_ah_b_ih_l_ah_t_iy
g;19;i keep it so right on so radical far out and crazy they all want to do it;ay k_iy_p ih_t s_ow r_ay_t aa_n s_ow r_ae_d_ah_k_ah_l f_aa_r aw_t ah_n_d k_r_ey_z_iy dh_ey ao_l w_aa_n_t t_uw d_uw ih_t
e;33;the good times don-t have to end;dh_ah g_uh_d t_ay_m_z d_ow_n_t hh_ae_v t_uw eh_n_d
e;10;we can hit the rewind and do it all over again;w_iy k_ah_n hh_ih_t dh_ah r_iy_w_ay_n_d ah_n_d d_uw ih_t ao_l ow_v_er ah_g_eh_n
e;27;the good times don-t have to end;dh_ah g_uh_d t_ay_m_z d_ow_n_t hh_ae_v t_uw eh_n_d
e;28;we can hit the rewind and do it all over again;w_iy k_ah_n hh_ih_t dh_ah r_iy_w_ay_n_d ah_n_d d_uw ih_t ao_l ow_v_er ah_g_eh_n
e;11;the good times don-t have to end;dh_ah g_uh_d t_ay_m_z d_ow_n_t hh_ae_v t_uw eh_n_d
a;2;take a dive;t_ey_k ah d_ay_v
f;18;do it again take a mulligan like were golfing;d_uw ih_t ah_g_eh_n t_ey_k ah m_ah_l_ih_g_ah_n l_ay_k w_iy_r g_aa_l_f_ih_ng
g;12;we can hit the rewind and do it all over again;w_iy k_ah_n hh_ih_t dh_ah r_iy_w_ay_n_d ah_n_d d_uw ih_t ao_l ow_v_er ah_g_ey_n
e;44;lets do it all over again;l_eh_t_s d_uw ih_t ao_l ow_v_er ah_g_eh_n
d;24;so tell me where you wanna go what you wanna see;s_ow t_eh_l m_iy w_eh_r y_uw w_aa_n_ah g_ow w_ah_t y_uw w_aa_n_ah s_iy
f;17;or I keep it real chill make you feel like youre swimming with dolphin;ao_r ay k_iy_p ih_t r_iy_l ch_ih_l m_ey_k y_uw f_iy_l l_ay_k y_uw_r s_w_ih_m_ih_ng w_ih_dh d_aa_l_f_ah_n
e;36;the good times don-t have to end;dh_ah g_uh_d t_ay_m_z d_ow_n_t hh_ae_v t_uw eh_n_d
a;3;were never gonna know unless we try;w_iy_r n_eh_v_er g_aa_n_ah n_ow ah_n_l_eh_s w_iy t_r_ay
e;32;we can hit the rewind and do it all over again;w_iy k_ah_n hh_ih_t dh_ah r_iy_w_ay_n_d ah_n_d d_uw ih_t ao_l ow_v_er ah_g_eh_n
e;37;we can hit the rewind and do it all over again;w_iy k_ah_n hh_ih_t dh_ah r_iy_w_ay_n_d ah_n_d d_uw ih_t ao_l ow_v_er ah_g_eh_n
e;31;the good times don-t have to end;dh_ah g_uh_d t_ay_m_z d_ow_n_t hh_ae_v t_uw eh_n_d
e;41;again again again again;ah_g_eh_n ah_g_eh_n ah_g_eh_n ah_g_eh_n
d;25;im with you and thats where I wanna be;ay_m w_ih_dh y_uw ah_n_d dh_ae_t_s w_eh_r ay w_aa_n_ah b_iy
e;16;what a blend gonna be an (all-nighter) if I attend;w_ah_t ah b_l_eh_n_d g_aa_n_ah b_iy ae_n ao_l_n_ay_t_er ah_f ay ah_t_eh_n_d
