Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;3;then disposed of his guts;dh_eh_n d_ih_s_p_ow_z_d ah_v hh_ah_z g_ah_t_s
a;16;George Grossman;jh_ao_r_jh g_r_ow_s_m_ah_n
e;21;then prepared it to eat;dh_eh_n p_r_iy_p_eh_r_d ah_t t_ah iy_t
a;18;old George Karl Grossman;ow_l_d jh_ao_r_jh k_aa_r_l g_r_ow_s_m_ah_n
g;11;cut in four;k_ah_t ih_n_ch f_ao_r
a;0;old George Karl Grossman;ow_l_d jh_ao_r_jh k_aa_r_l g_r_ow_s_m_ah_n
b;15;cleaver with ham;k_l_iy_v_er w_ah_dh hh_ae_m
h;12;with a knife;w_ah_dh ey n_ay_f
b;1;he made money from his ham;hh_iy m_ey_d m_ah_n_iy f_er_m hh_ah_z hh_ae_m
c;7;tits and butt;t_ih_t_s ah_n_d b_ah_t
d;13;George has a ball;jh_ao_r_jh hh_ah_z ey b_ao_l
f;6;sliced up cunt;s_l_ay_s_t ah_p k_y_uw_n_iy_t
b;19;he made his money from his ham;hh_iy m_ey_d hh_ah_z m_ah_n_iy f_er_m hh_ah_z hh_ae_m
d;10;sleazy whore;s_l_iy_z_iy hh_ao_r
b;14;ugly old man;ah_g_l_iy ow_l_d m_ae_n
c;2;he chopped up some sluts;hh_iy ch_aa_p_t ah_p s_ah_m s_l_ah_t_s
b;22;old George the cannibal man;ow_l_d jh_ao_r_jh dh_iy k_ae_n_ah_b_ah_l m_ae_n
b;4;old George the butcher man;ow_l_d jh_ao_r_jh dh_iy b_uh_ch_er m_ae_n
d;9;on your fork;aa_n y_uh_r f_ao_r_k
d;8;human pork;y_uw_m_ah_n p_ao_r_k
e;20;he diced up some meat;hh_iy d_ay_s_t ah_p s_ah_m m_iy_t
