Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;82;hes s charismatic addict;hh_iy_s eh_s k_eh_r_ah_z_m_ae_t_ih_k ah_d_ih_k_t
a;66;can you hear me say Stuart;k_ah_n y_uw hh_ih_r m_iy s_ey s_t_uw_er_t
e;85;stuart Little Stuart Little;s_t_y_uw_ax_t l_ih_t_ah_l s_t_uw_er_t l_ih_t_ah_l
a;64;say Stuart;s_ey s_t_uw_er_t
b;52;if you know what I mean;ah_f y_uw n_ow w_ah_t ay m_iy_n
m;40;hell do anything I ask him to;hh_iy_l d_uw eh_n_iy_th_ih_ng ay ae_s_k hh_ih_m t_uw
e;13;nobodys ever been down for me like him;n_ow_b_aa_d_iy_z eh_v_er b_ih_n d_aw_n f_ao_r m_iy l_ay_k hh_ih_m
a;62;say Stuart;s_ey s_t_uw_er_t
a;44;little rules little rules;l_ih_t_ah_l r_uw_l_z l_ih_t_ah_l r_uw_l_z
a;0;he rules;hh_iy r_uw_l_z
b;51;hes got plenty of cheese;hh_iy_s g_aa_t p_l_eh_n_t_iy ah_v ch_iy_z
d;25;hes a brother like no other;hh_iy_s ah b_r_ah_dh_er l_ay_k n_ow ah_dh_er
c;5;and hes all that;ah_n_d hh_iy_s ao_l dh_ae_t
d;19;unless you wanna get roughed up;ah_n_l_eh_s y_uw w_aa_n_ah g_eh_t r_ah_f_t ah_p
g;38;sometimes we just act crazy;s_ah_m_t_ay_m_z w_iy jh_ah_s_t ae_k_t k_r_ey_z_iy
a;69;in the middle say Stuart;ih_n dh_ah m_ih_d_ah_l s_ey s_t_uw_er_t
b;32;and (as) fly (as) can be;ah_n_d ae_z f_l_ay ae_z k_ah_n b_iy
a;73;little rules little rules;l_ih_t_ah_l r_uw_l_z l_ih_t_ah_l r_uw_l_z
a;1;little rules little rules;l_ih_t_ah_l r_uw_l_z l_ih_t_ah_l r_uw_l_z
a;78;he rules;hh_iy r_uw_l_z
a;21;he rules;hh_iy r_uw_l_z
e;39;cause were just kids just kids;k_aa_z w_iy_r jh_ah_s_t k_ih_d_z jh_ah_s_t k_ih_d_z
b;81;if you know what I mean;ah_f y_uw n_ow w_ah_t ay m_iy_n
f;14;he calls the shots every where he goes;hh_iy k_ao_l_z dh_ah sh_aa_t_s eh_v_er_iy w_eh_r hh_iy g_ow_z
c;46;sharp (as) a tack;sh_aa_r_p ae_z ah t_ae_k
c;75;sharp (as) a tack;sh_aa_r_p ae_z ah t_ae_k
f;15;hes the kind of mouse everybody wants to know;hh_iy_s dh_ah k_ay_n_d ah_v m_aw_s eh_v_r_iy_b_aa_d_iy w_aa_n_t_s t_uw n_ow
b;23;hes (as) cute (as) can be;hh_iy_s ae_z k_y_uw_t ae_z k_ah_n b_iy
b;74;hes (as) cute (as) can be;hh_iy_s ae_z k_y_uw_t ae_z k_ah_n b_iy
c;26;and hes all that;ah_n_d hh_iy_s ao_l dh_ae_t
a;50;little rules little rules;l_ih_t_ah_l r_uw_l_z l_ih_t_ah_l r_uw_l_z
h;57;he can do no wrong in their eyes;hh_iy k_ah_n d_uw n_ow r_ao_ng ih_n dh_eh_r ay_z
a;28;little rules little rules;l_ih_t_ah_l r_uw_l_z l_ih_t_ah_l r_uw_l_z
f;36;he never leaves my side no matter where I go;hh_iy n_eh_v_er l_iy_v_z m_ay s_ay_d n_ow m_ae_t_er w_eh_r ay g_ow
g;16;i know you think Im crazy;ay n_ow y_uw th_ih_ng_k ay_m k_r_ey_z_iy
d;76;hes a brother like no other;hh_iy_s ah b_r_ah_dh_er l_ay_k n_ow ah_dh_er
b;8;hes got plenty of cheese;hh_iy_s g_aa_t p_l_eh_n_t_iy ah_v ch_iy_z
l;37;hes a brother I always wanted and more;hh_iy_s ah b_r_ah_dh_er ay ao_l_w_ey_z w_oh_n_t_ih_d ah_n_d m_ao_r
b;30;if you know what I mean;ah_f y_uw n_ow w_ah_t ay m_iy_n
a;7;little rules little rules;l_ih_t_ah_l r_uw_l_z l_ih_t_ah_l r_uw_l_z
c;41;and he don-t even care what it (is) yeah yeah;ah_n_d hh_iy d_ow_n_t iy_v_ah_n k_eh_r w_ah_t ih_t ih_z y_ae y_ae
c;24;sharp (as) a tack;sh_aa_r_p ae_z ah t_ae_k
a;56;little has the world in the palm in his hands ooh;l_ih_t_ah_l hh_ah_z dh_ah w_er_l_d ih_n dh_ah p_aa_m ih_n hh_ih_z hh_ae_n_d_z uw
a;35;thats how we do;dh_ae_t_s hh_aw w_iy d_uw
b;83;and (as) fly (as) can be;ah_n_d ae_z f_l_ay ae_z k_ah_n b_iy
c;58;everybody needs a Stuart Little yeah;eh_v_r_iy_b_aa_d_iy n_iy_d_z ah s_t_uw_er_t l_ih_t_ah_l y_ae
b;45;hes (as) cute (as) can be;hh_iy_s ae_z k_y_uw_t ae_z k_ah_n b_iy
i;34;we keep it all in the family;w_iy k_iy_p ih_t ao_l ih_n dh_ah f_ae_m_ax_l_ih
a;67;on the right say Stuart;aa_n dh_ah r_ay_t s_ey s_t_uw_er_t
b;80;hes got plenty of cheese;hh_iy_s g_aa_t p_l_eh_n_t_iy ah_v ch_iy_z
d;47;hes a brother like no other;hh_iy_s ah b_r_ah_dh_er l_ay_k n_ow ah_dh_er
e;53;hes s charismatic addict;hh_iy_s eh_s k_eh_r_ah_z_m_ae_t_ih_k ah_d_ih_k_t
h;59;hell have you laughing all the time;hh_iy_l hh_ae_v y_uw l_ae_f_ih_ng ao_l dh_ah t_ay_m
d;17;but hes my blood my blood;b_ah_t hh_iy_s m_ay b_l_ah_d m_ay b_l_ah_d
a;22;little rules little rules;l_ih_t_ah_l r_uw_l_z l_ih_t_ah_l r_uw_l_z
a;6;he rules;hh_iy r_uw_l_z
a;27;he rules;hh_iy r_uw_l_z
b;11;and (as) fly (as) can be;ah_n_d ae_z f_l_ay ae_z k_ah_n b_iy
a;49;he rules;hh_iy r_uw_l_z
a;79;little rules little rules;l_ih_t_ah_l r_uw_l_z l_ih_t_ah_l r_uw_l_z
c;77;and hes all that;ah_n_d hh_iy_s ao_l dh_ae_t
c;3;sharp (as) a tack;sh_aa_r_p ae_z ah t_ae_k
a;43;he rules;hh_iy r_uw_l_z
i;70;come on Little Stuart come on whoo;k_ah_m aa_n l_ih_t_ah_l s_t_uw_er_t k_ah_m aa_n hh_uw_oh
e;31;hes s charismatic addict;hh_iy_s eh_s k_eh_r_ah_z_m_ae_t_ih_k ah_d_ih_k_t
b;9;if you know what I mean;ah_f y_uw n_ow w_ah_t ay m_iy_n
a;68;on the left say Stuart;aa_n dh_ah l_eh_f_t s_ey s_t_uw_er_t
d;61;uh uh uh uh;ah ah ah ah
d;4;hes a brother like no other;hh_iy_s ah b_r_ah_dh_er l_ay_k n_ow ah_dh_er
d;18;you cats better not mess with us;y_uw k_ae_t_s b_eh_t_er n_ax_t m_eh_s w_ih_dh ah_s
b;29;hes got plenty of cheese;hh_iy_s g_aa_t p_l_eh_n_t_iy ah_v ch_iy_z
c;48;and hes all that;ah_n_d hh_iy_s ao_l dh_ae_t
b;2;hes (as) cute (as) can be;hh_iy_s ae_z k_y_uw_t ae_z k_ah_n b_iy
a;72;he rules;hh_iy r_uw_l_z
b;54;and (as) fly (as) can be;ah_n_d ae_z f_l_ay ae_z k_ah_n b_iy
e;10;hes s charismatic addict;hh_iy_s eh_s k_eh_r_ah_z_m_ae_t_ih_k ah_d_ih_k_t
