Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;13;and I know Id be better off;ah_n_d ay n_ow ay_d b_iy b_eh_t_er ao_f
b;4;and I know Id be doing fine;ah_n_d ay n_ow ay_d b_iy d_uw_ih_ng f_ay_n
c;26;thats how love should be;dh_ae_t_s hh_aw l_ah_v sh_uh_d b_iy
c;8;see;s_iy
c;17;see;s_iy
d;16;once you stick around then thats when Ill show you happiness the world can;w_ah_n_s y_uw s_t_ih_k er_aw_n_d dh_eh_n dh_ae_t_s w_eh_n ay_l sh_ow y_uw hh_ae_p_iy_n_ah_s dh_ah w_er_l_d k_ah_n
c;18;thats how love should be;dh_ae_t_s hh_aw l_ah_v sh_uh_d b_iy
d;24;once you stick around then thats when Ill show you happiness the world can;w_ah_n_s y_uw s_t_ih_k er_aw_n_d dh_eh_n dh_ae_t_s w_eh_n ay_l sh_ow y_uw hh_ae_p_iy_n_ah_s dh_ah w_er_l_d k_ah_n
d;21;im being honest baby if youre right at home why move it on;ay_m b_iy_ih_ng aa_n_ah_s_t b_ey_b_iy ah_f y_uw_r r_ay_t ae_t hh_ow_m w_ay m_uw_v ih_t aa_n
c;25;see;s_iy
b;3;but Im not dancing round this one tonight;b_ah_t ay_m n_ax_t d_ae_n_s_ih_ng r_aw_n_d dh_ih_s w_ah_n t_ah_n_ay_t
d;7;once you stick around then thats when Ill show you happiness the world can;w_ah_n_s y_uw s_t_ih_k er_aw_n_d dh_eh_n dh_ae_t_s w_eh_n ay_l sh_ow y_uw hh_ae_p_iy_n_ah_s dh_ah w_er_l_d k_ah_n
a;1;if you leave me what else can I do;ih_f y_uw l_iy_v m_iy hh_w_ah_t eh_l_s k_ae_n ay d_uw
f;20;i know Im ready but for whats the hard part;ay n_ow ay_m r_eh_d_iy b_ah_t f_ao_r w_ah_t_s dh_ah hh_aa_r_d p_aa_r_t
c;12;but Im not quite the knight I used (*) to be;b_ah_t ay_m n_ax_t k_w_ay_t dh_ah n_ay_t ay y_uw_z_d ah_ae t_uw b_iy
c;23;without you believin in always picking up and thinking bout leaving;w_ih_th_aw_t y_uw b_ah_l_ay_v_ih_n ih_n ao_l_w_ey_z p_ih_k_ih_ng ah_p ah_n_d th_ih_ng_k_ah_ng b_aw_t l_iy_v_ih_ng
c;11;im not asking Im not on my knees;ay_m n_ax_t ae_s_k_ih_ng ay_m n_ax_t aa_n m_ay n_iy_z
c;15;without you believin in always picking up and thinking bout leaving;w_ih_th_aw_t y_uw b_ah_l_ay_v_ih_n ih_n ao_l_w_ey_z p_ih_k_ih_ng ah_p ah_n_d th_ih_ng_k_ah_ng b_aw_t l_iy_v_ih_ng
a;0;mobile woman buckle down your boots;m_ow_b_ah_l w_uh_m_ah_n b_ah_k_ah_l d_aw_n y_uh_r b_uw_t_s
b;2;ive been a dancer Ive been a dancer all my life;ay_v b_ih_n ah d_ae_n_s_er ay_v b_ih_n ah d_ae_n_s_er ao_l m_ay l_ay_f
c;6;without you believin in always picking up and thinking bout leaving;w_ih_th_aw_t y_uw b_ah_l_ay_v_ih_n ih_n ao_l_w_ey_z p_ih_k_ih_ng ah_p ah_n_d th_ih_ng_k_ah_ng b_aw_t l_iy_v_ih_ng
c;9;thats how love should be;dh_ae_t_s hh_aw l_ah_v sh_uh_d b_iy
