Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;18;remind myself Even wen I feel all hope (is) (gon-);r_iy_m_ay_n_d m_ay_s_eh_l_f iy_v_ah_n w_eh_n ay f_iy_l ao_l hh_ow_p ah_z g_aa_n_eh
h;29;despite whats upon me;d_ih_s_p_ay_t w_ah_t_s ah_p_aa_n m_iy
e;14;got me feeling like a pawn that these bishops pray upon;g_aa_t m_iy f_iy_l_ih_ng l_ay_k ah p_ao_n dh_ae_t dh_iy_z b_ih_sh_ah_p_s p_r_ey ah_p_aa_n
c;7;my goal (is) to reach happiness and touch fans;m_ay g_ow_l ih_z t_uw r_iy_ch hh_ae_p_iy_n_ah_s ah_n_d t_ah_ch f_ae_n_z
i;19;and Im feeling by myself Im never truly alone;ah_n_d ay_m f_iy_l_ih_ng b_ay m_ay_s_eh_l_f ay_m n_eh_v_er t_r_uw_l_iy ah_l_ow_n
f;30;and burdens pressing on me I am somebody;ah_n_d b_er_d_ah_n_z p_r_eh_s_ih_ng aa_n m_iy ay ae_m s_ah_m_b_aa_d_iy
f;13;but it feels like these burdens on my shoulder weight a ton;b_ah_t ih_t f_iy_l_z l_ay_k dh_iy_z b_er_d_ah_n_z aa_n m_ay sh_ow_l_d_er w_ey_t ah t_ah_n
c;21;cause I am a brother a son a man;k_aa_z ay ae_m ah b_r_ah_dh_er ah s_ah_n ah m_ae_n
c;5;and I am a brother a son a man;ah_n_d ay ae_m ah b_r_ah_dh_er ey s_ah_n ey m_ae_n
b;2;cause I can prepare the dish but I can-t make them eat;k_aa_z ay k_ae_n p_r_iy_p_eh_r dh_iy d_ih_sh b_ah_t ay k_ae_n_t m_ey_k dh_eh_m iy_t
g;28;got Mama up at the courts;g_aa_t m_aa_m_ah ah_p ae_t dh_iy k_ao_r_t_s
a;0;(is) this my 7 p m Is (is) my time to shine;ah_z dh_ah_s m_ay ah_ae p_iy eh_m ih_z ah_z m_ay t_ay_m t_ah sh_ay_n
d;22;a nephew a cousin and somebody-s best friend;ah n_eh_f_y_uw ah k_ah_z_ah_n ah_n_d s_ah_m_b_ax_d_ih_z b_eh_s_t f_r_eh_n_d
e;16;feel like its dawn my light (is) fading to darkness;f_iy_l l_ay_k ih_t_s d_ao_n m_ay l_ay_t ih_z f_ey_d_ih_ng t_uw d_aa_r_k_n_ah_s
b;23;ignore haters when they say I never will succeed;ih_g_n_ao_r hh_ey_t_er_z w_eh_n dh_ey s_ey ay n_eh_v_er w_ah_l s_ah_k_s_iy_d
g;17;try to stay strong despite things going wrong;t_r_ay t_uw s_t_ey s_t_r_ao_ng d_ih_s_p_ay_t th_ih_ng_z g_ow_ih_ng r_ao_ng
g;26;even when eating off food stamps and lack of support;iy_v_ah_n w_eh_n iy_t_ih_ng ao_f f_uw_d s_t_ae_m_p_s ah_n_d l_ae_k ah_v s_ah_p_ao_r_t
e;12;not even close to perfection but strive to go beyond;n_ax_t iy_v_ah_n k_l_ow_s t_uw p_er_f_eh_k_sh_ah_n b_ah_t s_t_r_ay_v t_uw g_ow b_ih_aa_n_d
d;6;a nephew a cousin and somebody-s best friend;ey n_eh_f_y_uw ey k_ah_z_ah_n ah_n_d s_ah_m_b_ax_d_ih_z b_eh_s_t f_r_eh_n_d
d;11;im only a human being far from a paragon;ay_m ow_n_l_iy ah hh_y_uw_m_ax_n b_iy_ih_ng f_aa_r f_r_ah_m ah p_eh_r_ah_g_aa_n
a;1;or (is) writing and rehearsing these rhymes a waste of time;er ah_z r_ay_t_ih_ng ah_n_d r_ah_hh_er_s_ih_ng dh_iy_z r_ay_m_z ey w_ey_s_t ah_v t_ay_m
g;27;and my pops owing ten thousand in child support;ah_n_d m_ay p_aa_p_s ow_ih_ng t_eh_n th_aw_z_ah_n_d ih_n_ch ch_ay_l_d s_ah_p_ao_r_t
c;9;help the ignorant understand;hh_eh_l_p dh_ah ih_g_n_er_ah_n_t ah_n_d_er_s_t_ae_n_d
h;3;just like I can-t be someone else thats why this (is) me;jh_ah_s_t l_ay_k ay k_ae_n_t b_iy s_ah_m_w_ah_n eh_l_s dh_ae_t_s w_ay dh_ih_s ah_z m_iy
c;8;like my movie got hands;l_ay_k m_ay m_uw_v_iy g_aa_t hh_ae_n_d_z
b;24;they just insecure trying to boost their self esteem;dh_ey jh_ah_s_t ih_n_s_ah_k_y_er t_r_ay_ih_ng t_uw b_uw_s_t dh_eh_r s_eh_l_f ah_s_t_iy_m
