Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;35;every day;eh_v_er_iy d_ey
g;56;that with an iron fist and led zeppelin;dh_ae_t w_ih_dh ae_n ay_er_n f_ih_s_t ah_n_d l_eh_d z_eh_p_ah_l_ah_n
n;59;and that it will at last stand forth upon the dust;ah_n_d dh_ae_t ih_t w_ah_l ae_t l_ae_s_t s_t_ae_n_d f_ao_r_th ah_p_aa_n dh_ah d_ah_s_t
g;53;sister says;s_ih_s_t_er s_eh_z
g;30;to have and hold in sickness and in health;t_uw hh_ae_v ah_n_d hh_ow_l_d ih_n_ch s_ih_k_n_ah_s ah_n_d ih_n hh_eh_l_th
e;45;every day;eh_v_er_iy d_ey
a;3;i pledge allegiance to the flag;ay p_l_eh_jh ah_l_iy_jh_ah_n_s t_ah dh_iy f_l_ae_g
m;58;but (as) for me I know that heavy metal lives;b_ah_t ae_z f_ao_r m_iy ay n_ow dh_ae_t hh_eh_v_iy m_eh_t_ah_l l_ih_v_z
d;70;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
d;44;i rock n roll;ay r_aa_k eh_n r_ow_l
f;21;its gonna help to see me through;ih_t_s g_aa_n_ah hh_eh_l_p t_uw s_iy m_iy th_r_uw
d;17;i lose control;ay l_uw_z k_ah_n_t_r_ow_l
b;54;oh would that my words were written down;ow w_uh_d dh_ae_t m_ay w_er_d_z w_er r_ih_t_ah_n d_aw_n
o;60;that I myself shall see;dh_ae_t ay m_ay_s_eh_l_f sh_ae_l s_iy
e;14;every day;eh_v_er_iy d_ey
d;71;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
f;40;im told exactly what to do;ay_m t_ow_l_d ih_g_z_ae_k_t_l_iy w_ah_t t_uw d_uw
e;16;every day;eh_v_er_iy d_ey
c;64;this (is) the word of the rocker;dh_ih_s ih_z dh_ah w_er_d ah_v dh_ah r_aa_k_er
c;62;and from my flesh I shall see it rock;ah_n_d f_r_ah_m m_ay f_l_eh_sh ay sh_ae_l s_iy ih_t r_aa_k
d;19;i rock n roll;ay r_aa_k eh_n r_ow_l
g;33;together until death comes to yourself;t_ah_g_eh_dh_er ah_n_t_ih_l d_eh_th k_ah_m_z t_uw y_er_s_eh_l_f
a;0;oh yeah;ow y_ae
b;2;check it out;ch_eh_k ah_t aw_t
d;73;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
c;38;im dealt the cards;ay_m d_eh_l_t dh_ah k_aa_r_d_z
e;43;every day;eh_v_er_iy d_ey
a;8;with liberty and justice for all lands;w_ah_dh l_ih_b_er_t_iy ah_n_d jh_ah_s_t_ah_s f_r_er ao_l l_ae_n_d_z
d;66;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
p;61;my own ears not another-s shall behold it;m_ay ow_n ih_r_z n_ax_t ah_n_ah_dh_er_z sh_ae_l b_ah_hh_ow_l_d ah_t
d;7;yes even god loves rock n roll;y_eh_s iy_v_ah_n g_aa_d l_ah_v_z r_aa_k eh_n r_ow_l
e;41;every day;eh_v_er_iy d_ey
d;24;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
e;20;every day;eh_v_er_iy d_ey
e;10;every day;eh_v_er_iy d_ey
e;18;every day;eh_v_er_iy d_ey
d;42;i lose control;ay l_uw_z k_ah_n_t_r_ow_l
d;48;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
d;26;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
d;72;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
f;28;do you take this music;d_uw y_uw t_ey_k dh_ih_s m_y_uw_z_ih_k
e;39;every day;eh_v_er_iy d_ey
g;57;they were cut in the rock forever;dh_ey w_er k_ah_t ih_n dh_ah r_aa_k f_er_eh_v_er
d;49;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
c;11;i work so hard;ay w_er_k s_ow hh_aa_r_d
e;12;every day;eh_v_er_iy d_ey
d;50;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
h;31;for richer or for poorer;f_r_er r_ih_ch_er ao_r f_r_er p_uh_r_er
a;5;and to the point of view for which it stands;ah_n_d t_ah dh_iy p_oy_n_t ah_v v_y_uw f_r_er hh_w_ih_ch ah_t s_t_ae_n_d_z
d;68;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
d;67;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
h;63;my inmost being (is) consumed with longing;m_ay ih_n_m_ow_s_t b_iy_ih_ng ih_z k_ah_n_s_uw_m_d w_ih_dh l_ao_ng_ih_ng
f;15;im told exactly what to do;ay_m t_ow_l_d ih_g_z_ae_k_t_l_iy w_ah_t t_uw d_uw
c;6;one music under one god;hh_w_ah_n m_y_uw_z_ih_k ah_n_d_er hh_w_ah_n g_aa_d
f;46;its gonna help to see me through;ih_t_s g_aa_n_ah hh_eh_l_p t_uw s_iy m_iy th_r_uw
c;29;to be your lawfully wedded rock;t_uw b_iy y_ao_r l_ao_f_ah_l_iy w_eh_d_ah_d r_aa_k
d;23;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
e;37;every day;eh_v_er_iy d_ey
d;51;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
i;32;for better or for worse;f_r_er b_eh_t_er ao_r f_ao_r w_er_s
c;13;im dealt the cards;ay_m d_eh_l_t dh_ah k_aa_r_d_z
d;25;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
c;4;of the united states of rock;ah_v dh_iy y_uw_n_ay_t_ah_d s_t_ey_t_s ah_v r_aa_k
l;55;would that they were inscribed on a record;w_uh_d dh_ae_t dh_ey w_er ih_n_s_k_r_ay_b_d aa_n ah r_eh_k_ao_d
d;69;i believe in rock n roll;ay b_ah_l_iy_v ih_n r_aa_k eh_n r_ow_l
c;36;i work so hard;ay w_er_k s_ow hh_aa_r_d
