Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;7;i know it can-t be good for me;ay n_ow ih_t k_ae_n_t b_iy g_uh_d f_ao_r m_iy
c;21;i don-t care if you need me;ay d_ow_n k_eh_r ih_f y_uw n_iy_d m_iy
b;10;i wrote a letter on the floor;ay r_ow_t ah l_eh_t_er aa_n dh_ah f_l_ao_r
a;2;we made love till the morninglight;w_iy m_ey_d l_ah_v t_ih_l dh_ah m_ao_r_n_ih_ng_ha_l_ay_t
b;18;anymore;eh_n_iy_m_ao_r
b;11;cause I don-t love you anymore;k_aa_z ay d_ow_n_t l_ah_v y_uw eh_n_iy_m_ao_r
c;4;i don-t care if you love me;ay d_ow_n_t k_eh_r ah_f y_uw l_ah_v m_iy
c;12;i don-t care if you love me;ay d_ow_n_t k_eh_r ah_f y_uw l_ah_v m_iy
c;6;i don-t care if you need me;ay d_ow_n_t k_eh_r ah_f y_uw n_iy_d m_iy
b;20;cause I don-t love you anymore;k_aa_z ay d_ow_n l_ah_v y_uw eh_n_iy_m_ao_r
b;13;cause I don-t love you anymore;k_aa_z ay d_ow_n_t l_ah_v y_uw eh_n_iy_m_ao_r
b;5;cause I don-t love you anymore;k_aa_z ay d_ow_n_t l_ah_v y_uw eh_n_iy_m_ao_r
c;19;i don-t care if you love me;ay d_ow_n k_eh_r ih_f y_uw l_ah_v m_iy
c;22;i know it can-t be good for me;ay n_ow ah_t k_ae_n_t b_iy g_uh_d f_ao_r m_iy
e;16;i don-t care if you love;ay d_ow_n k_eh_r ih_f y_uw l_ah_v
f;17;cause I don-t love you;k_aa_z ay d_ow_n l_ah_v y_uw
b;8;the love left at the break of dawn;dh_ah l_ah_v l_eh_f_t ae_t dh_ah b_r_ey_k ah_v d_ao_n
c;14;i don-t care if you need me;ay d_ow_n_t k_eh_r ah_f y_uw n_iy_d m_iy
a;3;and you did everything just right;ah_n_d y_uw d_ih_d eh_v_r_iy_th_ih_ng jh_ah_s_t r_ay_t
c;15;i know it can-t be good for me;ay n_ow ih_t k_ae_n_t b_iy g_ah_d f_r_er m_iy
c;1;the one who spends the night with me;dh_ah w_ah_n hh_uw s_p_eh_n_d_z dh_ah n_ay_t w_ih_dh m_iy
d;9;while you were sleeping sleeping on;w_ay_l y_uw w_er s_l_iy_p_ih_ng s_l_iy_p_ih_ng aa_n
c;23;it can-t be good for me;ih_t k_ae_n_t b_iy g_uh_d f_ao_r m_iy
c;0;you told me its a dream to be;y_uw t_ow_l_d m_iy ih_t_s ah d_r_iy_m t_uw b_iy
