Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;5;i should dumb it down to nothing Maybe that will make you listen;ay sh_uh_d d_ah_m ih_t d_aw_n t_uw n_ah_th_ih_ng m_ey_b_iy dh_ae_t w_ah_l m_ey_k y_uw l_ih_s_ah_n
a;6;i should rap about guns I should rap using gimmicks;ay sh_uh_d r_ae_p ah_b_aw_t g_ah_n_z ay sh_uh_d r_ae_p y_uw_z_ih_ng g_ih_m_ih_k_s
e;37;maybe be a big fraud like rick ross;m_ey_b_iy b_iy ah b_ih_g f_r_ao_d l_ay_k r_ih_k r_aa_s
b;41;but I will never change and I don-t need the sales;b_ah_t ay w_ah_l n_eh_v_er ch_ey_n_jh ah_n_d ay d_ow_n_t n_iy_d dh_ah s_ey_l_z
a;11;or I should rap about my hoes my kicks my wealth and my cribs;ao_r ay sh_uh_d r_ae_p ah_b_aw_t m_ay hh_ow_z m_ay k_ih_k_s m_ay w_eh_l_th ah_n_d m_ay k_r_ih_b_z
e;28;or nicki minaj and spaz out when Im spitting my bars;ao_r n_ih_k_iy m_iy_n_ah_ae ah_n_d s_p_aa_z aw_t w_eh_n ay_m s_p_ih_t_ih_ng m_ay b_aa_r_z
d;21;they don-t want that lyrical miracle Spiritual crap;dh_ey d_ow_n_t w_aa_n_t dh_ae_t l_ih_r_ih_k_ah_l m_ih_r_ah_k_ah_l s_p_ih_r_ih_ch_ah_w_ah_l k_r_ae_p
a;19;near;n_ih_r
h;14;(y-know) suck My nuts youre all sluts bet you theyd play me;w_ay_n_ow s_ah_k m_ay n_ah_t_s y_uw_r ao_l s_l_ah_t_s b_eh_t y_uw dh_ey_d p_l_ey m_iy
a;12;or I can start beef Expose a clique compel them to quit;ao_r ay k_ah_n s_t_aa_r_t b_iy_f ih_k_s_p_ow_z ah k_l_iy_k k_ah_m_p_eh_l dh_eh_m t_uw k_w_ih_t
e;36;kill yo family fam with the blammy blam;k_ih_l y_ow f_ae_m_ax_l_ih f_ae_b_m w_ih_dh dh_ah b_l_ae_m_y b_l_aa_m
e;27;i should I follow other rappers like kendrick lemar;ay sh_uh_d ay f_aa_l_ow ah_dh_er r_ae_p_er_z l_ay_k k_eh_n_d_r_ih_k l_ih_m_aa_r
c;25;zip blah blah blah pause punchline;z_ih_p b_l_aa b_l_aa b_l_aa p_ao_z p_ah_n_ch_l_ay_n
a;4;i should rap about money I should rap about women;ay sh_uh_d r_ae_p ah_b_aw_t m_ah_n_iy ay sh_uh_d r_ae_p ah_b_aw_t w_ih_m_ah_n
a;34;put melodics In my tunes like Im a great singer;p_uh_t m_ah_l_aa_d_ih_k_s ih_n m_ay t_uw_n_z l_ay_k ay_m ah g_r_ey_t s_ih_ng_er
e;38;man I know I was a cop but I spit bars;m_ae_n ay n_ow ay w_ah_z ah k_aa_p b_ah_t ay s_p_ih_t b_aa_r_z
f;39;i can make a cool dance like soldier boy;ay k_ah_n m_ey_k ah k_uw_l d_ae_n_s l_ay_k s_ow_l_jh_er b_oy
a;2;i should rap about chains I should rap about Killing;ay sh_uh_d r_ae_p ah_b_aw_t ch_ey_n_z ay sh_uh_d r_ae_p ah_b_aw_t k_ih_l_ih_ng
a;33;or I could do it like a drake single;ao_r ay k_uh_d d_uw ih_t l_ay_k ah d_r_ey_k s_ih_ng_g_ah_l
a;15;its crazy but hey see thats what everybody wants to hear;ih_t_s k_r_ey_z_iy b_ah_t hh_ey s_iy dh_ae_t_s w_ah_t eh_v_r_iy_b_aa_d_iy w_aa_n_t_s t_uw hh_ih_r
f;40;maybe then Ill get a chance and Ill be over joyed;m_ey_b_iy dh_eh_n ay_l g_eh_t ah ch_ae_n_s ah_n_d ay_l b_iy ow_v_er jh_oy_d
a;9;i should rap about the dough I get from selling them Bricks;ay sh_uh_d r_ae_p ah_b_aw_t dh_ah d_ow ay g_eh_t f_r_ah_m s_eh_l_ih_ng dh_eh_m b_r_ih_k_s
b;30;and try to kill a rape ya in the rhymes I put on paper;ah_n_d t_r_ay t_uw k_ih_l ah r_ey_p y_aa ih_n dh_ah r_ay_m_z ay p_uh_t aa_n p_ey_p_er
i;24;spliffs blah blah blah blah blah blah gun rhyme;s_p_l_iy_f_s b_l_aa b_l_aa b_l_aa b_l_aa b_l_aa b_l_aa g_ah_n r_ay_m
a;0;i should rap about money I should rap about women;ay sh_uh_d r_ae_p ah_b_aw_t m_ah_n_iy ay sh_uh_d r_ae_p ah_b_aw_t w_ih_m_ah_n
a;7;but ill never be the one That-S dumb enough to change My lyrics;b_ah_t ay_l n_eh_v_er b_iy dh_iy hh_w_ah_n dh_ae_t_s d_ah_m ah_n_ah_f t_uw ch_ey_n_jh m_ay l_ih_r_ih_k_s
b;32;or I don-t have to make sense lil wayne;ao_r ay d_ow_n_t hh_ae_v t_uw m_ey_k s_eh_n_s l_ih_l w_ey_n
g;3;i should try to sound the same so that most of you will feel it;ay sh_uh_d t_r_ay t_ah s_aw_n_d dh_iy s_ey_m s_ow dh_ae_t m_ow_s_t ah_v y_uw w_ah_l f_iy_l ih_t
d;35;yeah Or I can be like cammy cam;y_ae ao_r ay k_ah_n b_iy l_ay_k k_ae_m_iy k_ae_m
c;18;that sucks for real Ive bust with skills For months and years but nothing;dh_ae_t s_ah_k_s f_ao_r r_iy_l ay_v b_ah_s_t w_ih_dh s_k_ih_l_z f_ao_r m_ah_n_th_s ah_n_d y_ih_r_z b_ah_t n_ah_th_ih_ng
g;42;refuse to be a shame I rather be myself;r_ih_f_y_uw_z t_uw b_iy ah sh_ey_m ay r_ae_dh_er b_iy m_ay_s_eh_l_f
d;20;respected They want that one syllable rap;r_ih_s_p_eh_k_t_ih_d dh_ey w_aa_n_t dh_ae_t w_ah_n s_ih_l_ah_b_ah_l r_ae_p
d;23;clips blah blah blah blah blah blah crack;k_l_ih_p_s b_l_aa b_l_aa b_l_aa b_l_aa b_l_aa b_l_aa k_r_ae_k
a;1;i should dumb it down to nothing Maybe that will make you listen;ay sh_uh_d d_ah_m ah_t d_aw_n t_ah n_ah_th_ih_ng m_ey_b_iy dh_ah_t w_ih_l m_ey_k y_uw l_ih_s_ah_n
a;17;chugging beers getting drunk and punchin queers with nothing feared;ch_ah_g_ih_ng b_ih_r_z g_eh_t_ih_ng d_r_ah_ng_k ah_n_d p_ah_n_ch_iy_n k_w_ih_r_z w_ih_dh n_ah_th_ih_ng f_ih_r_d
d;22;they want this blah blah blah blah blah gats;dh_ey w_aa_n_t dh_ih_s b_l_aa b_l_aa b_l_aa b_l_aa b_l_aa g_ae_t_s
b;31;or I don-t have to make any sense Like lil wayne;ao_r ay d_ow_n_t hh_ae_v t_uw m_ey_k eh_n_iy s_eh_n_s l_ay_k l_ih_l w_ey_n
b;29;i should style up my flavor like tyler the creator;ay sh_uh_d s_t_ay_l ah_p m_ay f_l_ey_v_er l_ay_k t_ay_l_er dh_ah k_r_iy_ey_t_er
a;10;i should rap about the foes I hit with shells from the clip;ay sh_uh_d r_ae_p ah_b_aw_t dh_ah f_ow_z ay hh_ih_t w_ih_dh sh_eh_l_z f_r_ah_m dh_ah k_l_ih_p
b;13;i could make a couple nice songs just for ladies;ay k_uh_d m_ey_k ah k_ah_p_ah_l n_ay_s s_ao_ng_z jh_ah_s_t f_ao_r l_ey_d_iy_z
a;16;its tough and weird They want tracks about custom wheels chucks and gear;ih_t_s t_ah_f ah_n_d w_ih_r_d dh_ey w_aa_n_t t_r_ae_k_s ah_b_aw_t k_ah_s_t_ah_m w_iy_l_z ch_ah_k_s ah_n_d g_ih_r
