Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;27;that you say makes me wan na gouge out my eyes with a power drill;dh_ae_t y_uw s_ey m_ey_k_s m_iy w_aa_n n_aa g_aw_jh aw_t m_ay ay_z w_ih_dh ah p_aw_er d_r_ih_l
a;0;if this tour doesn-t kill you then I will;ih_f dh_ah_s t_uh_r d_ah_z_ah_n k_ih_l y_uw dh_eh_n ay w_ih_l
e;7;every memory of you;eh_v_er_iy m_eh_m_ax_r_iy ah_v y_uw
e;29;if This tour doesn-t kill you;ah_f dh_ih_s t_uh_r d_ah_z_n_t k_ih_l y_uw
b;17;why can-t we just get along;w_ay k_ae_n_t w_iy jh_ah_s_t g_eh_t ah_l_ao_ng
f;12;and If this tour doesn-t kill you buddy Im on it;ah_n_d ah_f dh_ih_s t_uh_r d_ah_z_n_t k_ih_l y_uw b_ah_d_iy ay_m aa_n ih_t
b;2;seeing your face every morning;s_iy_ih_ng y_uh_r f_ey_s eh_v_r_iy m_ao_r_n_ih_ng
c;5;counting down the (miles-til) We leave the state;k_aw_n_ih_ng d_aw_n dh_iy m_ay_l_z_t_ih_l w_iy l_iy_v dh_iy s_t_ey_t
a;26;syllable;s_ih_l_ah_b_ah_l
a;1;i hate your guts and it makes me ill;ay hh_ey_t y_uh_r g_ah_t_s ah_n_d ah_t m_ey_k_s m_iy ih_l
d;11;everything You do makes me wan na vomit;eh_v_r_iy_th_ih_ng y_uw d_uw m_ey_k_s m_iy w_aa_n n_aa v_aa_m_ah_t
g;19;you think youre so original;y_uw th_ih_ng_k y_uw_r s_ow er_ih_jh_ah_n_ah_l
c;4;if This tour doesn-t kill you I may;ih_f dh_ih_s t_uh_r d_ah_z_ah_n k_ih_l y_uw ay m_ey
c;6;im counting down the (minutes-til) I can erase;ay_m k_aw_n_t_ih_ng d_aw_n dh_ah m_ih_n_ih_t_s_t_ih_l ay k_ah_n ih_r_ey_s_ah
b;14;why can-t we just get along;w_ay k_ae_n_t w_iy jh_ah_s_t g_eh_t ah_l_ao_ng
e;30;if This tour doesn-t kill you then I will;ah_f dh_ih_s t_uh_r d_ah_z_n_t k_ih_l y_uw dh_eh_n ay w_ah_l
c;3;one more month and (twenty-two) days;hh_w_ah_n m_ao_r m_ah_n_th ah_n_d t_w_eh_n_t_ih_t_uw d_ey_z
d;25;im trying not to let you get in my head but every line every goddamn;ay_m t_r_ay_ih_ng n_ax_t t_uw l_eh_t y_uw g_eh_t ih_n m_ay hh_eh_d b_ah_t eh_v_er_iy l_ay_n eh_v_er_iy g_aa_d_d_ae_m
e;28;if this tour doesn-t kill you;ah_f dh_ih_s t_uh_r d_ah_z_n_t k_ih_l y_uw
b;16;why Can-T we just get along;w_ay k_ae_n_t w_iy jh_ah_s_t g_eh_t ah_l_ao_ng
d;9;for a second lets be honest;f_ao_r ah s_eh_k_ah_n_d w_iy_s b_iy aa_n_ah_s_t
b;15;why Can-T we just get along;w_ay k_ae_n_t w_iy jh_ah_s_t g_eh_t ah_l_ao_ng
b;23;don-t wish You were dead I wish youd never been born at all;d_ow_n_t w_ih_sh y_uw w_er d_eh_d ay w_ih_sh y_uw_d n_eh_v_er b_ih_n b_ao_r_n ae_t ao_l
g;21;i can-t wait for your funeral;ay k_ae_n_t w_ey_t f_ao_r y_ao_r f_y_uw_n_er_ah_l
d;10;nothing will clean your filthy conscience;n_ah_th_ih_ng w_ah_l k_l_iy_n y_ao_r f_ih_l_th_iy k_aa_n_sh_ah_n_s
