Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
n;34;let it drip down you;l_eh_t ah_t d_r_ih_p d_aw_n y_uw
f;29;and in the shadows;ah_n_d ih_n dh_ah sh_ae_d_ow_z
a;15;and there I go;ah_n_d dh_eh_r ay g_ow
a;8;where it never shows;w_eh_r ih_t n_eh_v_er sh_ow_z
a;3;i don-t want to know;ay d_ow_n w_aa_n_t t_ah n_ow
a;40;and then you go down that old regarded road;ah_n_d dh_eh_n y_uw g_ow d_aw_n dh_ae_t ow_l_d r_ah_g_aa_r_d_ah_d r_ow_d
a;41;and im not the one to say I told you so;ah_n_d ay_m n_ax_t dh_ah w_ah_n t_uw s_ey ay t_ow_l_d y_uw s_ow
g;0;eyes above me;ay_z ah_b_ah_v m_iy
i;7;a hunted world;ah hh_ah_n_t_ih_d w_er_l_d
d;27;we never let it in;w_iy n_eh_v_er l_eh_t ih_t ih_n
h;5;the ground (is) shaking;dh_ah g_r_aw_n_d ih_z sh_ey_k_ih_ng
d;14;let it bury me in;l_eh_t ih_t b_eh_r_iy m_iy ih_n
d;22;if its in your nature youll never win;ah_f ih_t_s ih_n y_ao_r n_ey_ch_er y_uw_l n_eh_v_er w_ih_n
a;1;eyes are blown;ay_z er b_l_ow_n
g;36;like it was born for you;l_ay_k ah_t w_ah_z b_ao_r_n f_r_er y_uw
l;17;its coming down;ih_t_s k_ah_m_ih_ng d_aw_n
b;26;but now the end becomes us again;b_ah_t n_aw dh_ah eh_n_d b_ih_k_ah_m_z ah_s ah_g_eh_n
a;2;and now just when the wall becomes a hole;ah_n_d n_aw jh_ah_s_t hh_w_ih_n dh_iy w_ao_l b_ih_k_ah_m_z ey hh_ow_l
m;18;like a sharp;l_ay_k ah sh_aa_r_p
e;19;curve in the sky;k_er_v ih_n dh_ah s_k_ay
c;11;i feel it forming;ay f_iy_l ih_t f_ao_r_m_ih_ng
c;35;run off run off;r_ah_n ao_f r_ah_n ao_f
c;25;the war was brought;dh_ah w_ao_r w_ah_z b_r_ao_t
a;9;i don-t want to go;ay d_ow_n_t w_aa_n_t t_uw g_ow
d;12;through the skin;th_r_uw dh_ah s_k_ih_n
e;31;its getting deeper for the fight;ih_t_s g_ih_t_ih_ng d_iy_p_er f_r_er dh_iy f_ay_t
a;13;swallow me whole;s_w_aa_l_ow m_iy hh_ow_l
a;43;oh you know;ow y_uw n_ow
b;6;out of realm;aw_t ah_v r_eh_l_m
c;33;so run off run off;s_ow r_ah_n ao_f r_ah_n ao_f
a;42;and you know;ah_n_d y_uw n_ow
e;20;and I don-t even know why;ah_n_d ay d_ow_n_t iy_v_ah_n n_ow w_ay
d;38;if its in your nature youll never win;ih_f ih_t_s ih_n y_ao_r n_ey_ch_er y_uw_l n_eh_v_er w_ih_n
d;45;if its in your nature youll never win;ah_f ih_t_s ih_n y_ao_r n_ey_ch_er y_uw_l n_eh_v_er w_ih_n
e;30;a burning light;ah b_er_n_ih_ng l_ay_t
f;24;it used to be that;ih_t y_uw_z_d t_uw b_iy dh_ae_t
