Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
o;28;singing songs;s_ih_ng_ih_ng s_ao_ng_z
b;50;guns in the little hands;g_ah_n_z ih_n_ch dh_iy l_ih_t_ah_l hh_ae_n_d_z
a;19;and the lost names;ah_n_d dh_iy l_ao_s_t n_ey_m_z
b;1;yes man;y_eh_s m_ae_n
m;90;scream for me;s_k_r_iy_m f_r_er m_iy
a;31;in the name;ih_n_ch dh_iy n_ey_m
d;84;my world was crying;m_ay w_er_l_d w_ah_z k_r_ay_ih_ng
h;69;guess whos lonely;g_eh_s hh_uw_s l_ow_n_l_iy
e;61;have fe stop this war ita go break we to to pieces;hh_ae_v f_ey s_t_aa_p dh_ih_s w_ao_r ay_t_ah g_ow b_r_ey_k w_iy t_uw t_ah p_iy_s_ah_z
b;24;no one just an empty money can;n_ow w_ah_n jh_ah_s_t ah_n eh_m_t_iy m_ah_n_iy k_ae_n
d;49;tears in eyes;t_ih_r_z ih_n_ch ay_z
m;98;scream for me;s_k_r_iy_m f_ao_r m_iy
e;75;do you know what I mean;d_uw y_uw n_ow w_ah_t ay m_iy_n
g;53;empty eyes what youve done to his mother;eh_m_t_iy ay_z hh_w_ah_t y_uw_v d_ah_n t_uw hh_ih_z m_ah_dh_er
m;108;respect respect respect me;r_ah_s_p_eh_k_t r_iy_s_p_eh_k_t r_ih_s_p_eh_k_t m_iy
e;103;freedom;f_r_iy_d_ah_m
g;39;fugitives running;f_y_uw_jh_ah_t_ih_v_z r_ah_n_ih_ng
c;107;of my dignity;ah_v m_ay d_ih_g_n_ah_t_iy
h;42;but the street still not crying no;b_ah_t dh_iy s_t_r_iy_t s_t_ih_l n_ax_t k_r_ay_ih_ng n_ow
b;27;the old man stands;dh_iy ow_l_d m_ae_n s_t_ae_n_d_z
e;102;my freedom;m_ay f_r_iy_d_ah_m
i;25;dropping bombs on my fellow men;d_r_aa_p_ih_ng b_aa_m_z aa_n m_ay f_eh_l_ow m_eh_n
h;70;guess whos lonely;g_eh_s hh_uw_s l_ow_n_l_iy
h;89;tears my beauty open;t_eh_r_z m_ay b_y_uw_t_iy ow_p_ah_n
e;62;tired fe see the youth wit wolipa stichies;t_ay_r_d f_ey s_iy dh_ah y_uw_th w_ih_t w_ao_l_iy_p_ax s_t_ih_ch_iy_ax_s
d;3;there bout ya along side;dh_eh_r b_aw_t y_aa ah_l_ao_ng s_ay_d
d;111;my screaming child;m_ay s_k_r_iy_m_ih_ng ch_ay_l_d
e;11;world people;w_er_l_d p_iy_p_ah_l
i;34;in the name of my men;ih_n_ch dh_iy n_ey_m ah_v m_ay m_eh_n
a;81;the eyes that hate;dh_iy ay_z dh_ah_t hh_ey_t
b;56;in the name of a man;ih_n dh_ah n_ey_m ah_v ah m_ae_n
b;7;yes man;y_eh_s m_ae_n
a;29;of a freedom in the name;ah_v ey f_r_iy_d_ah_m ih_n_ch dh_iy n_ey_m
m;4;sweet Noise ya ear me;s_w_iy_t n_oy_z y_aa iy_r m_iy
f;52;grave of his father;g_r_ey_v ah_v hh_ah_z f_aa_dh_er
a;55;in the name;ih_n dh_ah n_ey_m
b;104;in the name in the name of my man;ih_n_ch dh_iy n_ey_m ih_n_ch dh_iy n_ey_m ah_v m_ay m_ae_n
m;97;scream for me;s_k_r_iy_m f_r_er m_iy
g;51;missing brother;m_ih_s_ih_ng b_r_ah_dh_er
m;109;respect respect respect me;r_ah_s_p_eh_k_t r_iy_s_p_eh_k_t r_ih_s_p_eh_k_t m_iy
d;8;watch we now style;w_aa_ch w_iy n_aw s_t_ay_l
b;48;saw a child being trained to be a killer man;s_ao ey ch_ay_l_d b_iy_ih_ng t_r_ey_n_d t_ah b_iy ey k_ih_l_er m_ae_n
f;14;babylon them have fe fall;b_ae_b_ah_l_aa_n dh_ah_m hh_ae_v f_ey f_aa_l
l;37;but wicked man thema killing community;b_ah_t w_ih_k_ah_d m_ae_n dh_eh_m_ae k_ih_l_ih_ng k_ah_m_y_uw_n_ah_t_iy
c;74;not that fucked up dirty will to kill;n_ax_t dh_ae_t f_ah_k_t ah_p d_er_t_iy w_ah_l t_uw k_ih_l
f;78;their exploding cars;dh_eh_r ih_k_s_p_l_ow_d_ih_ng k_aa_r_z
a;106;i demand freedom in the name;ay d_ih_m_ae_n_d f_r_iy_d_ah_m ih_n dh_ah n_ey_m
g;21;love;l_ah_v
q;73;for the love and pain and a killing will;f_ao_r dh_ah l_ah_v ah_n_d p_ey_n ah_n_d ah k_ih_l_ih_ng w_ah_l
e;94;scream;s_k_r_iy_m
f;79;their waiting bombs;dh_eh_r w_ey_t_ih_ng b_aa_m_z
d;40;true rebel dying;t_r_uw r_eh_b_ah_l d_ay_ih_ng
a;47;following The dead trace;f_aa_l_ow_ih_ng dh_ah d_eh_d t_r_ey_s
g;88;the exploding gun;dh_iy ih_k_s_p_l_ow_d_ih_ng g_ah_n
h;22;the lost soul;dh_iy l_ao_s_t s_ow_l
i;65;i gave this little moment to my self;ay g_ey_v dh_ih_s l_ih_t_ah_l m_ow_m_ah_n_t t_uw m_ay s_eh_l_f
l;41;they slaughter beauty;dh_ey s_l_ao_t_er b_y_uw_t_iy
b;32;in the name of a man;ih_n_ch dh_iy n_ey_m ah_v ey m_ae_n
d;86;screaming child;s_k_r_iy_m_ih_ng ch_ay_l_d
d;46;nations blind;n_ey_sh_ah_n_z b_l_ay_n_d
c;2;this (is) Teba straight outa Afrika cape Town city;dh_ah_s ah_z T_er_b_ax s_t_r_ey_t ow_t_ah A_f_r_iy_k_ax k_ey_p t_aw_n s_ih_t_iy
i;58;in the name of my men;ih_n dh_ah n_ey_m ah_v m_ay m_eh_n
a;33;in the name;ih_n_ch dh_iy n_ey_m
e;96;scream;s_k_r_iy_m
d;87;screaming for the lie;s_k_r_iy_m_ih_ng f_r_er dh_iy l_ay
d;13;we ya chose non of them why;w_iy y_aa ch_ow_z n_aa_n ah_v dh_ah_m hh_w_ay
n;23;whos above you;hh_uw_s ah_b_ah_v y_uw
b;17;i dig this dirt for a woman and man;ay d_ih_g dh_ah_s d_er_t f_r_er ey w_uh_m_ah_n ah_n_d m_ae_n
i;66;this precious little time just for myself;dh_ih_s p_r_eh_sh_ah_s l_ih_t_ah_l t_ay_m jh_ah_s_t f_ao_r m_ay_s_eh_l_f
f;82;i saw man kill in the name of god;ay s_ao m_ae_n k_ih_l ih_n_ch dh_iy n_ey_m ah_v g_aa_d
d;15;sweet Noise and Teba na go cry;s_w_iy_t n_oy_z ah_n_d T_er_b_ax n_aa g_ow k_r_ay
p;67;and I drop this angry burning words;ah_n_d ay d_r_aa_p dh_ih_s ae_ng_g_r_iy b_er_n_ih_ng w_er_d_z
d;68;on a red doted line;aa_n ah r_eh_d d_ow_t_p l_ay_n
d;92;my child;m_ay ch_ay_l_d
d;20;pride;p_r_ay_d
m;95;scream for me;s_k_r_iy_m f_r_er m_iy
e;9;ita gwaan so ey;ay_t_iy_ey g_w_a_n s_ow iy_ae
e;91;scream;s_k_r_iy_m
l;36;u N I T Y (is) fe unity;ih_k eh_n ay t_iy w_ay ah_z f_ey y_uw_n_ah_t_iy
b;80;the bleeding land;dh_iy b_l_iy_d_ih_ng l_ae_n_d
b;72;ill dig this dirt for the woman and a man;ay_l d_ih_g dh_ih_s d_er_t f_ao_r dh_ah w_uh_m_ah_n ah_n_d ah m_ae_n
d;12;6 million ways to die;ah_ae m_ih_l_y_ah_n w_ey_z t_ah d_ay
d;26;and a screaming child;ah_n_d ey s_k_r_iy_m_ih_ng ch_ay_l_d
b;5;yes man;y_eh_s m_ae_n
d;115;my child;m_ay ch_ay_l_d
a;45;spit on the holly graves;s_p_ih_t aa_n dh_iy hh_aa_l_iy g_r_ey_v_z
b;105;in the name in the name of my man;ih_n dh_ah n_ey_m ih_n dh_ah n_ey_m ah_v m_ay m_ae_n
i;44;i see the president;ay s_iy dh_iy p_r_eh_z_ah_d_eh_n_t
m;114;and Ill tear this world apart for you;ah_n_d ay_l t_eh_r dh_ih_s w_er_l_d ah_p_aa_r_t f_ao_r y_uw
m;110;scream for me;s_k_r_iy_m f_ao_r m_iy
d;99;my child;m_ay ch_ay_l_d
g;83;so high above;s_ow hh_ay ah_b_ah_v
h;76;you know;y_uw n_ow
a;57;in the name;ih_n dh_ah n_ey_m
a;0;a music revolution taking place;ah m_y_uw_z_ih_k r_eh_v_ah_l_uw_sh_ah_n t_ey_k_ih_ng p_l_ey_s
m;113;scream for me;s_k_r_iy_m f_ao_r m_iy
a;18;i dig this dirt for a silent blame;ay d_ih_g dh_ah_s d_er_t f_r_er ey s_ay_l_ah_n_t b_l_ey_m
m;6;a serious business we ya deal wit musically ya ear me;ey s_ih_r_iy_ah_s b_ih_z_n_ah_s w_iy y_aa d_iy_l w_ih_t m_y_uw_z_ih_k_l_iy y_aa iy_r m_iy
e;60;hey homosepiens hey human species;hh_ey  hh_ey hh_y_uw_m_ax_n s_p_iy_sh_iy_z
e;63;babylon suck we blood just like stichies;b_ae_b_ah_l_aa_n s_ah_k w_iy b_l_ah_d jh_ah_s_t l_ay_k s_t_ih_ch_iy_ax_s
e;101;freedom;f_r_iy_d_ah_m
