Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;17;so hold on tight;s_ow hh_ow_l_d aa_n t_ay_t
e;7;ive decided that tonight (is) the night that I let love aside;ay_v d_ah_s_ay_d_ah_d dh_ae_t t_ah_n_ay_t ih_z dh_ah n_ay_t dh_ae_t ay l_eh_t l_ah_v ah_s_ay_d
h;34;pain has never been so brilliant;p_ey_n hh_ah_z n_eh_v_er b_ih_n s_ow b_r_ih_l_y_ah_n_t
b;21;where the flames grew (as) high (as) trees;w_eh_r dh_ah f_l_ey_m_z g_r_uw ae_z hh_ay ae_z t_r_iy_z
c;8;full speed ahead this seems to be the place;f_uh_l s_p_iy_d ah_hh_eh_d dh_ih_s s_iy_m_z t_uw b_iy dh_ah p_l_ey_s
b;3;and its time for us to leave;ah_n_d ih_t_s t_ay_m f_ao_r ah_s t_uw l_iy_v
e;16;shut your eyes;sh_ah_t y_ao_r ay_z
l;22;and the world stopped it stopped for you and me;ah_n_d dh_iy w_er_l_d s_t_aa_p_t ih_t s_t_aa_p_t f_ao_r y_uw ah_n_d m_iy
h;32;i thought it would be so much quicker than this;ay th_ao_t ih_t w_uh_d b_iy s_ow m_ah_ch k_w_ih_k_er dh_ae_n dh_ih_s
e;15;kiss me one last time;k_ih_s m_iy w_ah_n l_ae_s_t t_ay_m
e;25;endless nights of dreaming of life;eh_n_d_l_ah_s n_ay_t_s ah_v d_r_iy_m_ih_ng ah_v l_ay_f
b;1;ive been drowning in my sleep;ay_v b_ih_n d_r_aw_n_ih_ng ih_n m_ay s_l_iy_p
a;9;ive seen this once before;ay_v s_iy_n dh_ih_s w_ah_n_s b_ah_f_ao_r
h;26;and the days we should have spent here;ah_n_d dh_ah d_ey_z w_iy sh_uh_d hh_ae_v s_p_eh_n_t hh_ih_r
d;6;and the gas (is) running out;ah_n_d dh_ah g_ae_s ih_z r_ah_n_ih_ng aw_t
c;20;the people will all gather to remember such a day;dh_ah p_iy_p_ah_l w_ah_l ao_l g_ae_dh_er t_uw r_ih_m_eh_m_b_ax s_ah_ch ah d_ey
b;10;planned perfection sought in my dreams;p_l_ae_n_d p_er_f_eh_k_sh_ah_n s_ao_t ih_n m_ay d_r_iy_m_z
f;11;hoping this would take you home;hh_ow_p_ih_ng dh_ih_s w_uh_d t_ey_k y_uw hh_ow_m
h;37;hand in hand with him;hh_ae_n_d ih_n hh_ae_n_d w_ih_dh hh_ih_m
c;2;ive prayed for your safe place;ay_v p_r_ey_d f_ao_r y_ao_r s_ey_f p_l_ey_s
a;0;ive been up at this all night long;ay_v b_ih_n ah_p ae_t dh_ih_s ao_l n_ay_t l_ao_ng
g;19;around this turn where the cross will cast your shadow;er_aw_n_d dh_ih_s t_er_n w_eh_r dh_ah k_r_ao_s w_ah_l k_ae_s_t y_ao_r sh_ae_d_ow
i;5;time (is) running its running on empty;t_ay_m ih_z r_ah_n_ih_ng ih_t_s r_ah_n_ih_ng aa_n eh_m_p_t_ih
g;36;now you can walk hand in hand;n_aw y_uw k_ah_n w_ao_k hh_ae_n_d ih_n hh_ae_n_d
b;28;drowning in my sleep Im drowning in my sleep;d_r_aw_n_ih_ng ih_n m_ay s_l_iy_p ay_m d_r_aw_n_ih_ng ih_n m_ay s_l_iy_p
h;35;i made sure you were buckled in;ay m_ey_d sh_uh_r y_uw w_er b_ah_k_ah_l_d ih_n
e;13;my knuckles have turned to white;m_ay n_ah_k_ah_l_z hh_ae_v t_er_n_d t_uw w_ay_t
e;14;theres no turning back tonight;dh_eh_r_s n_ow t_er_n_ih_ng b_ae_k t_ah_n_ay_t
d;31;i thought wed be there by now;ay th_ao_t w_iy_d b_iy dh_eh_r b_ay n_aw
f;24;i will now bring new meaning to the word alone;ay w_ah_l n_aw b_r_ih_ng n_y_uw m_iy_n_ih_ng t_uw dh_ah w_er_d ah_l_ow_n
a;30;glass shatters and comes to a halt;g_l_ae_s sh_ae_t_er_z ah_n_d k_ah_m_z t_uw ah hh_ao_l_t
