Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;2;this (is) my heart my purpose in life;dh_ih_s ih_z m_ay hh_aa_r_t m_ay p_er_p_ah_s ih_n l_ay_f
e;35;to all my soldiers I hold you down;t_ah ao_l m_ay s_ow_l_jh_er_z ay hh_ow_l_d y_uw d_aw_n
m;51;(is) out ridin their bikes doin wheelies for blocks;ih_z aw_t r_ih_d_iy_n dh_eh_r b_ay_k_s d_uw_iy_n w_iy_l_er_s f_ao_r b_l_aa_k_s
h;30;used to see my Mama strugglin-  worn from work;y_uw_z_d t_uw s_iy m_ay m_aa_m_ah  s_t_r_ah_g_ah_l_ih_ng_ae w_ao_r_n f_r_ah_m w_er_k
c;49;since you look up in the hood now things done changed;s_ih_n_s y_uw l_uh_k ah_p ih_n dh_ah hh_uh_d n_aw th_ih_ng_z d_ah_n ch_ey_n_jh_d
a;5;stronger TRUE;s_t_r_oh_ng_g_ax t_r_uw
m;54;old timers in the back playin dominoes;ow_l_d t_ay_m_er_z ih_n dh_ah b_ae_k p_l_ey_iy_n d_aa_m_ah_n_ow_z
q;12;growin up didn-t want to have nothing to do wit you;g_r_ow_iy_n ah_p d_ih_d_n_t w_aa_n_t t_uw hh_ae_v n_ah_th_ih_ng t_uw d_uw w_ih_t y_uw
a;8;i know this much (is) true;ay n_ow dh_ih_s m_ah_ch ih_z t_r_uw
b;24;said Lynisse please do something with your life;s_eh_d L_ih_n_iy_s_ax p_l_iy_z d_uw s_ah_m_th_ih_ng w_ih_dh y_ao_r l_ay_f
p;4;which brings me to realise that the tough life that I had only made me;w_ih_ch b_r_ih_ng_z m_iy t_uw r_iy_l_ay_z dh_ae_t dh_ah t_ah_f l_ay_f dh_ah_t ay hh_ae_d ow_n_l_iy m_ey_d m_iy
a;59;all I know (is) this much (is) true TRUE;ao_l ay n_ow ih_z dh_ih_s m_ah_ch ih_z t_r_uw t_r_uw
i;32;i used to wish at night that my brothers in the street;ay y_uw_z_d t_uw w_ih_sh ae_t n_ay_t dh_ae_t m_ay b_r_ah_dh_er_z ih_n dh_ah s_t_r_iy_t
b;23;and Mama bless her heart she used to give me strife;ah_n_d m_aa_m_ah b_l_eh_s hh_er hh_aa_r_t sh_iy y_uw_z_d t_uw g_ih_v m_iy s_t_r_ay_f
a;61;you know its TRUE;y_uw n_ow ih_t_s t_r_uw
a;58;and how its gon play out I don-t have a clue;ah_n_d hh_aw ih_t_s g_aa_n p_l_ey aw_t ay d_ow_n_t hh_ae_v ah k_l_uw
n;0;yeah its 97 going into 98;y_ae ih_t_s  g_ow_ih_ng ih_n_t_uw 
c;44;ive opened up my eyes to a brighter day;ay_v ow_p_ah_n_d ah_p m_ay ay_z t_uw ah b_r_ay_t_er d_ey
c;7;a ha ha ha ha;ah hh_ah hh_ah ey_ch_ey ey_ch_ey
