Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;46;i say pop it my nigga;ay s_ey p_aa_p ih_t m_ay n_ih_g_ae
g;62;woo;w_uw
e;53;man I came through with a bad bitch;m_ae_n ay k_ey_m th_r_uw w_ih_dh ah b_ae_d b_ih_ch
l;57;look;l_uh_k
g;14;woo;w_uw
a;31;jumpman jumpman;jh_ah_m_p_m_ae_n jh_ah_m_p_m_ae_n
g;18;woo;w_uw
g;30;lu;l_uw
a;87;im probably with Mark Hardy Yung Rudd;ay_m p_r_aa_b_ah_b_l_iy w_ih_dh m_aa_r_k hh_aa_r_d_iy y_ah_ng r_ah_d
a;64;jumpman jumpman;jh_ah_m_p_m_ae_n jh_ah_m_p_m_ae_n
o;81;don-t let these radio singles fool you;d_ow_n_t l_eh_t dh_iy_z r_ey_d_iy_ow s_ih_ng_g_ah_l_z f_uw_l y_uw
a;90;ha I told y-all we were up to something;hh_ah ay t_ow_l_d y_ao_l w_iy w_er ah_p t_uw s_ah_m_th_ih_ng
e;48;you flopping my nigga;y_uw f_l_aa_p_ih_ng m_ay n_ih_g_ae
o;11;one just gave you Rebirth other gave you Pumpin- ;w_ah_n jh_ah_s_t g_ey_v y_uw r_iy_b_er_th ah_dh_er g_ey_v y_uw  P_uw_m_p_ax_n
e;39;i done popped a pill I done popped a pill;ay d_ah_n p_aa_p_t ah p_ih_l ay d_ah_n p_aa_p_t ah p_ih_l
o;88;and we Pumpin- ;ah_n_d w_iy  P_uw_m_p_ax_n
g;73;woo;w_uw
b;78;yet they want to crucify me like that saviour;y_eh_t dh_ey w_aa_n_t t_uw k_r_uw_s_ah_f_ay m_iy l_ay_k dh_ae_t s_ey_v_y_er
n;4;meet the gods;m_iy_t dh_iy g_aa_d_z
h;19;some say that we suck Nah thats them girls who on their;s_ah_m s_ey dh_ae_t w_iy s_ah_k n_aa dh_ae_t_s dh_eh_m g_er_l_z hh_uw aa_n dh_eh_r
c;5;too much vibes;t_uw m_ah_ch v_ay_b_z
h;61;if she does well oh well;ah_f sh_iy d_ah_z w_eh_l ow w_eh_l
i;22;fleas;f_l_iy_z
r;34;we don-t live in a free town like Mohammed and;w_iy d_ow_n_t l_ay_v ih_n ah f_r_iy t_aw_n l_ay_k m_ow_hh_ae_m_ah_d ah_n_d
i;60;hope grandmoms don-t hear this shit;hh_ow_p g_r_ae_n_d_m_aa1_m_s d_ow_n_t hh_ih_r dh_ih_s sh_iy_t
a;10;them boys up to something;dh_eh_m b_oy_z ah_p t_uw s_ah_m_th_ih_ng
c;6;too much vibes;t_uw m_ah_ch v_ay_b_z
b;105;my bretheren brushed your girl yet he says hes a saint;m_ay b_r_eh_th_ea1_r_n b_r_ah_sh_t y_ao_r g_er_l y_eh_t hh_iy s_eh_z hh_iy_s ah s_ey_n_t
g;77;woo;w_uw
e;52;just to show I can-t fuck with you niggas;jh_ah_s_t t_uw sh_ow ay k_ae_n_t f_ah_k w_ih_dh y_uw n_ih_g_ae_s
e;84;its 35 a show and all my niggas lit;ih_t_s  ah sh_ow ah_n_d ao_l m_ay n_ih_g_ae_s l_ih_t
g;37;woo;w_uw
e;50;back From Hell soon will be dropping my nigga;b_ae_k f_r_ah_m hh_eh_l s_uw_n w_ah_l b_iy d_r_aa_p_ih_ng m_ay n_ih_g_ae
r;32;we need cars and clothes and grade and;w_iy n_iy_d k_aa_z ah_n_d k_l_ow_dh_z ah_n_d g_r_ey_d ah_n_d
e;42;give your hoe the D then bank like Uncle Phil;g_ih_v y_ao_r hh_ow dh_ah d_iy dh_eh_n b_ae_ng_k l_ay_k ah_ng_k_ah_l f_ih_l
a;85;jumpman jumpman;jh_ah_m_p_m_ae_n jh_ah_m_p_m_ae_n
a;25;niggas say theyre good Yeah they be good for nothing;n_ih_g_ae_s s_ey dh_ey_r g_uh_d y_ae dh_ey b_iy g_uh_d f_ao_r n_ah_th_ih_ng
e;40;she know that Im a god because a nigga ill;sh_iy n_ow dh_ae_t ay_m ah g_aa_d b_ih_k_ao_z ey n_ih_g_ae ih_l
a;97;jumpman jumpman jumpman;jh_ah_m_p_m_ae_n jh_ah_m_p_m_ae_n jh_ah_m_p_m_ae_n
a;49;this (is) a warm up;dh_ih_s ih_z ah w_ao_r_m ah_p
h;74;jumpman jumpman red man winning like elections;jh_ah_m_p_m_ae_n jh_ah_m_p_m_ae_n r_eh_d m_ae_n w_ih_n_ih_ng l_ay_k ah_l_eh_k_sh_ah_n_z
h;36;petit Valley where Im from and always repping;p_eh_t_iy v_ae_l_iy w_eh_r ay_m f_r_ah_m ah_n_d ao_l_w_ey_z r_eh_p_ih_ng
b;104;listen to this picture I paint;l_ih_s_ah_n t_uw dh_ih_s p_ih_k_ch_er ay p_ey_n_t
g;28;crews;k_r_uw_z
o;99;one just gave you Rebirth other gave you Pumpin- ;w_ah_n jh_ah_s_t g_ey_v y_uw r_iy_b_er_th ah_dh_er g_ey_v y_uw  P_uw_m_p_ax_n
g;16;woo;w_uw
a;51;switching it up;s_w_ih_ch_ih_ng ih_t ah_p
a;86;team Saint-s Team Saint-s something something;t_iy_m s_ey_n_t_s t_iy_m s_ey_n_t_s s_ah_m_th_ih_ng s_ah_m_th_ih_ng
b;2;team SAINT;t_iy_m s_ey_n_t
d;8;yeah;y_ae
e;12;all this ice and cream youd swear we worked for Munch Kings;ao_l dh_ih_s ay_s ah_n_d k_r_iy_m y_uw_d s_w_eh_r w_iy w_er_k_t f_ao_r m_ah_n_ch k_ih_ng_z
y;101;jumpman jumpman jumpman them boys asklfaljfljs;jh_ah_m_p_m_ae_n jh_ah_m_p_m_ae_n jh_ah_m_p_m_ae_n dh_eh_m b_oy_z ae_s_k_l_f_ax_l_j_f_l_j_s
a;0;Lil Saint amp Yung Rudd;l_ih_l s_ey_n_t ae_m_p y_ah_ng r_ah_d
h;76;rapping earning hustling and Im reinvesting;r_ae_p_ih_ng er_n_ih_ng hh_ah_s_ah_l_ih_ng ah_n_d ay_m r_iy_ih_n_v_eh_s_t_ih_ng
