Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;3;when they see the money cars and clothes they be always;hh_w_ih_n dh_ey s_iy dh_iy m_ah_n_iy k_aa_r_z ah_n_d k_l_ow_dh_z dh_ey b_iy ao_l_w_iy_z
c;12;reservation for four sitting down to plated food;r_eh_z_er_v_ey_sh_ah_n f_ao_r f_ao_r s_ih_t_ih_ng d_aw_n t_uw p_l_ey_t_ah_d f_uw_d
g;27;two times for that over due Three times for this new jerk;t_uw t_ay_m_z f_ao_r dh_ae_t ow_v_er d_uw th_r_iy t_ay_m_z f_ao_r dh_ih_s n_y_uw jh_er_k
c;32;whipping round it that old school;w_ih_p_ih_ng r_aw_n_d ih_t dh_ae_t ow_l_d s_k_uw_l
a;9;im living it up;ay_m l_ih_v_ih_ng ih_t ah_p
m;24;shades up all on this faces hiding out til that green grow VonBock;sh_ey_d_z ah_p ao_l aa_n dh_ih_s f_ey_s_ah_z hh_ay_d_ih_ng aw_t t_ih_l dh_ae_t g_r_iy_n g_r_ow 
e;19;roll around with that strong team that strong team got the honnies cliquey;r_ow_l er_aw_n_d w_ih_dh dh_ae_t s_t_r_ao_ng t_iy_m dh_ah_t s_t_r_ao_ng t_iy_m g_aa_t dh_ah hh_aa_n_n_iy_s k_l_iy_k_iy
i;44;i just tell Im;ay jh_ah_s_t t_eh_l ay_m
a;7;im living it up;ay_m l_ih_v_ih_ng ih_t ah_p
c;5;changing up they attitudes tryna get a badder dude;ch_ey_n_jh_ih_ng ah_p dh_ey ae_t_ah_t_uw_d_z t_r_ih_n_ah g_ih_t ey b_ae_d_er d_uw_d
h;36;im loyal too ain-t shit change;ay_m l_oy_ah_l t_uw ey_n_t sh_iy_t ch_ey_n_jh
a;8;living it up;l_ih_v_ih_ng ih_t ah_p
a;42;giving it up;g_ih_v_ih_ng ih_t ah_p
e;16;thats pimp shit when your making money really come so easy;dh_ae_t_s p_ih_m_p sh_iy_t w_eh_n y_ao_r m_ey_k_ih_ng m_ah_n_iy r_ih_l_iy k_ah_m s_ow iy_z_iy
