Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
l;11;Will you remember me;w_ah_l y_uw r_ih_m_eh_m_b_ax m_iy
a;10;when all your friends are photographers;w_eh_n ao_l y_ao_r f_r_eh_n_d_z aa_r f_ah_t_aa_g_r_ah_f_er_z
l;28;Will you remember me;w_ah_l y_uw r_ih_m_eh_m_b_ax m_iy
f;22;walking by your window I called you for the first time;w_ao_k_ih_ng b_ay y_ao_r w_ih_n_d_ow ay k_ao_l_d y_uw f_ao_r dh_ah f_er_s_t t_ay_m
m;13;i refuse;ay r_ih_f_y_uw_z
i;6;ill swim the St Laurent cause I lost her and I succumb;ay_l s_w_ih_m dh_ah s_t_r_iy_t l_ao_r_ah_n_t k_aa_z ay l_ao_s_t hh_er ah_n_d ay s_ah_k_ah_m
c;8;when all your nights are starry blurs;w_eh_n ao_l y_ao_r n_ay_t_s aa_r s_t_aa_r_iy b_l_er_z
b;18;oh no fear the plateau;ow n_ow f_ih_r dh_ah p_l_ae_t_ow
h;2;the local swan my amazon;dh_iy l_ow_k_ah_l s_w_aa_n m_ay ae_m_ah_z_aa_n
e;20;costars and Hollywood tsars they flood my mind and I drown;k_ow_s_t_aa_r_z ah_n_d hh_aa_l_iy_w_uh_d z_aa_r_z dh_ey f_l_ah_d m_ay m_ay_n_d ah_n_d ay d_r_aw_n
b;3;with coathanger shoulders;w_ah_dh k_ow_t_ha_hh_ae_ng_er sh_ow_l_d_er_z
e;19;theres no up or down;dh_eh_r_s n_ow ah_p ao_r d_aw_n
a;0;in Montreal-s tiny pond;ih_n_ch m_aa_n_t_r_iy_aa_l_z t_ay_n_iy p_aa_n_d
g;33;when all you need (is) a hiding place;w_eh_n ao_l y_uw n_iy_d ih_z ah hh_ay_d_ih_ng p_l_ey_s
n;17;are they bruise or cicatrice;aa_r dh_ey b_r_uw_z ao_r 
l;30;Will you remember me;w_ah_l y_uw r_ih_m_eh_m_b_ax m_iy
l;9;Will you remember me;w_ah_l y_uw r_ih_m_eh_m_b_ax m_iy
c;27;when all your nights are starry blurs;w_eh_n ao_l y_ao_r n_ay_t_s aa_r s_t_aa_r_iy b_l_er_z
f;23;yeah the one who spilled my drink on you last night;y_ae dh_iy hh_w_ah_n hh_uw s_p_ih_l_d m_ay d_r_ih_ng_k aa_n y_uw l_ae_s n_ay_t
d;15;needle cracks and tape hiss;n_iy_d_ah_l k_r_ae_k_s ah_n_d t_ey_p hh_ih_s
o;32;on every silver screen;aa_n eh_v_er_iy s_ih_l_v_er s_k_r_iy_n
a;29;when all your friends are photographers;w_eh_n ao_l y_ao_r f_r_eh_n_d_z aa_r f_ah_t_aa_g_r_ah_f_er_z
h;34;Will you remember me;w_ah_l y_uw r_ih_m_eh_m_b_ax m_iy
b;5;my god its a mirage she-s booking to go;m_ay g_aa_d ih_t_s ah m_er_aa_zh s_hh_iy_z b_uh_k_ih_ng t_uw g_ow
b;1;she and I we smoulder;sh_iy ah_n_d ay w_iy s_m_ow_l_d_er
g;31;the scene (is) set to see your face;dh_ah s_iy_n ih_z s_eh_t t_uw s_iy y_ao_r f_ey_s
d;16;blue tattoos of the things I miss;b_l_uw t_ae_t_uw_z ah_v dh_ah th_ih_ng_z ay m_ih_s
d;14;to reminisce;t_uw r_eh_m_ah_n_ih_s
g;25;ive painted you a hundred times and still can-t sign my name;ay_v p_ey_n_ah_d y_uw ey hh_ah_n_d_er_d t_ay_m_z ah_n_d s_t_ih_l k_ae_n_t s_ay_n m_ay n_ey_m
g;24;and in my underlit apartment you let me paint you by the flame;ah_n_d ih_n m_ay ah_n_d_er_l_ih_t ah_p_aa_r_t_m_ah_n_t y_uw l_eh_t m_iy p_ey_n_t y_uw b_ay dh_ah f_l_ey_m
