Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;10;he asked me to stay back so he can mummify;hh_iy ae_s_k_t m_iy t_uw s_t_ey b_ae_k s_ow hh_iy k_ah_n m_ah_m_ah_f_ay
c;22;one at a time every time;w_ah_n ae_t ah t_ay_m eh_v_er_iy t_ay_m
a;0;i found a magic ladder;ay f_aw_n_d ey m_ae_jh_ih_k l_ae_d_er
a;1;i see the pharaohs feast on vagabonds;ay s_iy dh_iy f_eh_r_ow_z f_iy_s_t aa_n v_ae_g_ah_b_aa_n_d_z
a;9;i have a magic ladder;ay hh_ae_v ey m_ae_jh_ih_k l_ae_d_er
e;12;love me like the very day you met me;l_ah_v m_iy l_ay_k dh_iy v_eh_r_iy d_ey y_uw m_eh_t m_iy
b;4;it takes me where I want and when I want;ah_t t_ey_k_s m_iy hh_w_eh_r ay w_aa_n_t ah_n_d hh_w_ih_n ay w_aa_n_t
c;19;one at a time I will climb;w_ah_n ae_t ah t_ay_m ay w_ah_l k_l_ay_m
f;14;from the lepers on your bed;f_er_m dh_iy l_eh_p_er_z aa_n y_uh_r b_eh_d
e;15;love me like the very way you left me Love me;l_ah_v m_iy l_ay_k dh_iy v_eh_r_iy w_ey y_uw l_eh_f_t m_iy l_ah_v m_iy
a;3;i have a magic ladder;ay hh_ae_v ey m_ae_jh_ih_k l_ae_d_er
e;16;or at the very least transcend me;er ae_t dh_iy v_eh_r_iy l_iy_s_t t_r_ae_n_s_eh_n_d m_iy
e;13;or at the very least protect me;er ae_t dh_iy v_eh_r_iy l_iy_s_t p_er_t_eh_k_t m_iy
c;21;one at a time Ill refine;w_ah_n ae_t ah t_ay_m ay_l r_ah_f_ay_n
c;20;one at a time like good wine;w_ah_n ae_t ah t_ay_m l_ay_k g_uh_d w_ay_n
g;17;to a different time or place;t_ah ey d_ih_f_r_ah_n_t t_ay_m er p_l_ey_s
a;6;i climbed this magic ladder;ay k_l_ay_m_d dh_ah_s m_ae_jh_ih_k l_ae_d_er
b;7;i saw the hands of God tied in a knot;ay s_ao dh_iy hh_ae_n_d_z ah_v g_aa_d t_ay_d ih_n_ch ey n_aa_t
