Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;35;and OH OH OH OH OH OH;ah_n_d ow ow ow ow ow ow
d;10;oh OH OH OH OH OH;ow ow ow ow ow ow
d;33;oh OH OH OH OH OH;ow ow ow ow ow ow
l;8;guess you got that affect on me;g_eh_s y_uw g_aa_t dh_ae_t ah_f_eh_k_t aa_n m_iy
d;11;OH OH OH OH OH OH;ow ow ow ow ow ow
c;27;its makes me want to scream;ah_t_s m_ey_k_s m_iy w_aa_n_t t_ah s_k_r_iy_m
f;19;i hope your not playing games;ay hh_ow_p y_ao_r n_ax_t p_l_ey_ih_ng g_ey_m_z
g;0;oh that last kiss;ow dh_ah_t l_ae_s k_ih_s
d;12;and OH OH OH OH OH OH;ah_n_d ow ow ow ow ow ow
a;1;oh how I love to ((rem)-anise);ow hh_aw ay l_ah_v t_ah r_eh_m_ae_n_ah_s
e;13;its like you got me under your spell;ih_t_s l_ay_k y_uw g_aa_t m_iy ah_n_d_er y_ao_r s_p_eh_l
c;25;i never fell so easily;ay n_eh_v_er f_eh_l s_ow iy_z_ah_l_iy
d;34;OH OH OH OH OH OH;ow ow ow ow ow ow
c;9;its makes me want to scream;ih_t_s m_ey_k_s m_iy w_aa_n_t t_uw s_k_r_iy_m
b;4;oh Got dammit I miss staring into your big brown eyes;ow g_aa_t d_ae_m_ih_t ay m_ih_s s_t_eh_r_ih_ng ih_n_t_uw y_ao_r b_ih_g b_r_aw_n ay_z
b;2;on how that kiss felt just like the first time;aa_n hh_aw dh_ah_t k_ih_s f_eh_l_t jh_ah_s_t l_ay_k dh_ah f_er_s_t t_ay_m
d;29;OH OH OH OH OH OH;ow ow ow ow ow ow
d;16;OH OH OH OH OH OH;ow ow ow ow ow ow
c;7;i never fell so easily;ay n_eh_v_er f_eh_l s_ow iy_z_ah_l_iy
f;20;i pray to god you feel the same;ay p_r_ey t_uw g_aa_d y_uw f_iy_l dh_ah s_ey_m
a;22;im not interested in no other man;ih_m n_ax_t ih_n_t_r_ax_s_t_ih_d ih_n n_ow ah_dh_er m_ae_n
a;21;baby I hope you understand;b_ey_b_iy ay hh_ow_p y_uw ah_n_d_er_s_t_ae_n_d
i;5;any time spent away from you breaks my heart in two;eh_n_iy t_ay_m s_p_eh_n_t ah_w_ey f_r_ah_m y_uw b_r_ey_k_s m_ay hh_aa_r_t ih_n t_uw
g;26;guess you got that affect on me;g_eh_s y_uw g_aa_t dh_ah_t ah_f_eh_k_t aa_n m_iy
e;14;oh I don-t care baby what the hell;ow ay d_ow_n_t k_eh_r b_ey_b_iy w_ah_t dh_ah hh_eh_l
e;32;oh I don-t care baby what the hell;ow ay d_ow_n k_eh_r b_ey_b_iy hh_w_ah_t dh_iy hh_eh_l
d;28;oh OH OH OH OH OH;ow ow ow ow ow ow
d;15;oh OH OH OH OH OH;ow ow ow ow ow ow
h;3;oh how quickly I got butterflies;ow hh_aw k_w_ih_k_l_iy ay g_aa_t b_ah_t_er_f_l_ay_z
d;17;and OH OH OH OH OH OH;ah_n_d ow ow ow ow ow ow
b;23;you got me tied I ain-t gonna lie;y_uw g_aa_t m_iy t_ay_d ay ey_n_t g_aa_n_ah l_ay
e;31;its like you got me under your spell;ah_t_s l_ay_k y_uw g_aa_t m_iy ah_n_d_er y_uh_r s_p_eh_l
d;30;and OH OH OH OH OH OH;ah_n_d ow ow ow ow ow ow
