Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
i;12;and now Im on my own and Im off to New Jersey to sing it;ah_n_d n_aw ay_m aa_n m_ay ow_n ah_n_d ay_m ao_f t_uw n_uw jh_er_z_iy t_uw s_ih_ng ih_t
d;2;and if I had the guts to save you;ah_n_d ah_f ay hh_ae_d dh_ah g_ah_t_s t_uw s_ey_v y_uw
i;15;don-t hold your breath cause you know I wanna see it;d_ow_n_t hh_ow_l_d y_ao_r b_r_eh_th k_aa_z y_uw n_ow ay w_aa_n_ah s_iy ih_t
h;33;its kinda funny how its all I got and;ih_t_s k_ih_n_d_ah f_ah_n_iy hh_aw ih_t_s ao_l ay g_aa_t ah_n_d
c;40;i guess it makes less sense when were trying hard to get to the start;ay g_eh_s ih_t m_ey_k_s l_eh_s s_eh_n_s w_eh_n w_iy_r t_r_ay_ih_ng hh_aa_r_d t_uw g_eh_t t_uw dh_ah s_t_aa_r_t
d;4;and these conversations that take a little bit from you;ah_n_d dh_iy_z k_aa_n_v_er_s_ey_sh_ah_n_z dh_ae_t t_ey_k ah l_ih_t_ah_l b_ih_t f_r_ah_m y_uw
b;18;i guess were passing time but Id be better off dead;ay g_eh_s w_iy_r p_ae_s_ih_ng t_ay_m b_ah_t ay_d b_iy b_eh_t_er ao_f d_eh_d
a;34;i never realized that your shoulder could get so cold;ay n_eh_v_er r_ia_l_ay_z_d dh_ae_t y_ao_r sh_ow_l_d_er k_uh_d g_eh_t s_ow k_ow_l_d
m;39;just breath out and ill breath you in;jh_ah_s_t b_r_eh_th aw_t ah_n_d ih_l b_r_eh_th y_uw ih_n
a;11;i never realized that your shoulder could get so cold;ay n_eh_v_er r_ia_l_ay_z_d dh_ae_t y_ao_r sh_ow_l_d_er k_uh_d g_eh_t s_ow k_ow_l_d
d;3;would you have the poise and grace to;w_uh_d y_uw hh_ae_v dh_ah p_oy_z ah_n_d g_r_ey_s t_uw
c;27;a simple thought and reaction Ill tear you apart;ah s_ih_m_p_ah_l th_ao_t ah_n_d r_iy_ae_k_sh_ah_n ay_l t_eh_r y_uw ah_p_aa_r_t
d;1;calculate manipulate you;k_ae_l_k_y_ah_l_ey_t m_ah_n_ih_p_y_ah_l_ey_t y_uw
i;28;i said it you get it;ay s_eh_d ih_t y_uw g_eh_t ih_t
b;38;my frantic breath it fills the air;m_ay f_r_ae_n_t_ih_k b_r_eh_th ah_t f_ih_l_z dh_ah eh_r
i;26;you said it I get it;y_uw s_eh_d ih_t ay g_eh_t ih_t
f;7;wrong;r_ao_ng
g;9;all I wanted;ao_l ay w_oh_n_t_ih_d
i;35;and now Im on my own and Im off to New Jersey to sing it;ah_n_d n_aw ay_m aa_n m_ay ow_n ah_n_d ay_m ao_f t_uw n_uw jh_er_z_iy t_uw s_ih_ng ih_t
i;25;whats the point if you don-t have to try it;w_ah_t_s dh_ah p_oy_n_t ah_f y_uw d_ow_n_t hh_ae_v t_uw t_r_ay ih_t
a;6;theres no debating when your friends think that they know me but theyre so;dh_eh_r_s n_ow d_ah_b_ey_t_ih_ng hh_w_ih_n y_uh_r f_r_eh_n_d_z th_ih_ng_k dh_ah_t dh_ey n_ow m_iy b_ah_t dh_ey_r s_ow
d;0;i wish I could devastate you;ay w_ih_sh ay k_uh_d d_eh_v_ah_s_t_ey_t y_uw
d;41;but know Im on my own and Im off to New Jersey to sing it;b_ah_t n_ow ay_m aa_n m_ay ow_n ah_n_d ay_m ao_f t_uw n_uw jh_er_z_iy t_uw s_ih_ng ih_t
g;20;all I wanted;ao_l ay w_oh_n_t_ih_d
b;37;this cold night I caught it again;dh_ih_s k_ow_l_d n_ay_t ay k_aa_t ih_t ah_g_eh_n
i;23;and now Im on my own and Im off to New Jersey to sing it;ah_n_d n_aw ay_m aa_n m_ay ow_n ah_n_d ay_m ao_f t_uw n_uw jh_er_z_iy t_uw s_ih_ng ih_t
h;10;its kinda funny how its all I got and;ih_t_s k_ih_n_d_ah f_ah_n_iy hh_aw ih_t_s ao_l ay g_aa_t ah_n_d
l;30;so don-t make me;s_ow d_ow_n_t m_ey_k m_iy
e;5;and a lot from me your right;ah_n_d ah l_aa_t f_r_ah_m m_iy y_ao_r r_ay_t
g;32;all I wanted;ao_l ay w_oh_n_t_ih_d
b;17;im sure he loved every line you swear you never fed;ay_m sh_uh_r hh_iy l_ah_v_d eh_v_er_iy l_ay_n y_uw s_w_eh_r y_uw n_eh_v_er f_eh_d
i;16;ill hold you to this you know ill do it;ay_l hh_ow_l_d y_uw t_uw dh_ih_s y_uw n_ow ih_l d_uw ih_t
i;14;don-t take it back cause you know I wanna say it;d_ow_n_t t_ey_k ah_t b_ae_k k_aa_z y_uw n_ow ay w_aa_n_ah s_ey ih_t
h;21;its kinda funny how its all I got and;ih_t_s k_ih_n_d_ah f_ah_n_iy hh_aw ih_t_s ao_l ay g_aa_t ah_n_d
a;22;i never realized that your shoulder could get so cold;ay n_eh_v_er r_ia_l_ay_z_d dh_ae_t y_ao_r sh_ow_l_d_er k_uh_d g_eh_t s_ow k_ow_l_d
