Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;18;jump jump jump;jh_ah_m_p jh_ah_m_p jh_ah_m_p
e;7;jump jump jump DJ;jh_ah_m_p jh_ah_m_p jh_ah_m_p 
a;1;jump jump jump;jh_ah_m_p jh_ah_m_p jh_ah_m_p
a;17;jump jump jump;jh_ah_m_p jh_ah_m_p jh_ah_m_p
h;16;jump jump jump DJ;jh_ah_m_p jh_ah_m_p jh_ah_m_p 
f;23;we are we are we are;w_iy er w_iy er w_iy er
d;6;jump jump jump DJ;jh_ah_m_p jh_ah_m_p jh_ah_m_p 
b;2;jump jump jump DJ;jh_ah_m_p jh_ah_m_p jh_ah_m_p 
m;21;jump jump jump DJ;jh_ah_m_p jh_ah_m_p jh_ah_m_p 
b;25;we are we are we are;w_iy er w_iy er w_iy er
a;4;jump jump jump;jh_ah_m_p jh_ah_m_p jh_ah_m_p
f;11;we are we are we are;w_iy er w_iy er w_iy er
a;15;jump jump jump;jh_ah_m_p jh_ah_m_p jh_ah_m_p
a;14;jump jump jump;jh_ah_m_p jh_ah_m_p jh_ah_m_p
l;20;jump jump jump DJ;jh_ah_m_p jh_ah_m_p jh_ah_m_p 
c;5;jump jump jump DJ;jh_ah_m_p jh_ah_m_p jh_ah_m_p 
i;19;jump jump jump DJ;jh_ah_m_p jh_ah_m_p jh_ah_m_p 
f;9;we are we are we are;w_iy er w_iy er w_iy er
a;3;jump jump jump;jh_ah_m_p jh_ah_m_p jh_ah_m_p
g;12;its FUCKING ZOMBOY;ih_t_s f_ah_k_ih_ng 
a;0;jump jump jump;jh_ah_m_p jh_ah_m_p jh_ah_m_p
