Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
g;2;infrared;ih_n_f_r_er_eh_d
e;21;this for all my hustlin niggas stuck in them spots;dh_ah_s f_r_er ao_l m_ay hh_ah_s_t_l_ih_n n_ih_g_ae_s s_t_ah_k ih_n_ch dh_ah_m s_p_aa_t_s
b;25;all Glocks up life ain-t just glitters and gold;ao_l G_l_oh_k_k_s ah_p l_ay_f ey_n_t jh_ah_s_t g_l_ih_t_er_z ah_n_d g_ow_l_d
b;4;huh huh huh yea eh yo;hh_ah hh_ah hh_ah y_ey eh y_ow
b;26;when We pop up y-all niggas get the jitters and fold;w_eh_n w_iy p_aa_p ah_p y_ao_l n_ih_g_ae_s g_eh_t dh_ah jh_ih_t_er_z ah_n_d f_ow_l_d
d;9;my niggas go round for round with the clubs or the pound;m_ay n_ih_g_ae_s g_ow r_aw_n_d f_ao_r r_aw_n_d w_ih_dh dh_ah k_l_ah_b_z ao_r dh_ah p_aw_n_d
f;28;they clock nine pull more shots then wine;dh_ey k_l_aa_k n_ay_n p_uh_l m_ao_r sh_aa_t_s dh_eh_n w_ay_n
d;8;if you the king prepare to get down for your crown;ah_f y_uw dh_ah k_ih_ng p_r_iy_p_eh_r t_uw g_eh_t d_aw_n f_ao_r y_ao_r k_r_aw_n
d;12;but the Blaquesmiths got that shit make me zone out;b_ah_t dh_ah  g_aa_t dh_ae_t sh_iy_t m_ey_k m_iy z_ow_n aw_t
c;10;yea and you know talk (is) cheap when you walk these streets;y_ey ah_n_d y_uw n_ow t_ao_k ih_z ch_iy_p w_eh_n y_uw w_ao_k dh_iy_z s_t_r_iy_t_s
e;20;cuz When me copblock your block we have you thuggin your drops;k_ah_z w_eh_n m_iy k_aa_p_b_l_aa1_k_k y_uh_r b_l_aa_k w_iy hh_ae_v y_uw th_ah_g_jh_ih_n y_uh_r d_r_aa_p_s
a;0;(*) from the forthcoming The Drama Begins;ah_ae f_r_ah_m dh_ah f_ao_r_th_k_ah_m_ih_ng dh_ah d_r_aa_m_ah b_ih_g_ih_n_z
a;17;we straight up thoroughbred hard head niggas that don-t listen;w_iy s_t_r_ey_t ah_p th_er_ow_b_r_eh_d hh_aa_r_d hh_eh_d n_ih_g_ae_s dh_ae_t d_ow_n_t l_ih_s_ah_n
c;11;you just get caught by the beast and caught up in beef;y_uw jh_ah_s_t g_eh_t k_aa_t b_ay dh_ah b_iy_s_t ah_n_d k_aa_t ah_p ih_n b_iy_f
e;19;you better off snitchin fuckin with the cop;y_uw b_eh_t_er ao_f s_n_ih_ch_iy_n f_ah_k_iy_n w_ah_dh dh_iy k_aa_p
e;24;let me tell y-all one thing we comin for y-all spot;l_eh_t m_iy t_eh_l y_ao_l hh_w_ah_n th_ih_ng w_iy k_ow_m_ah_n f_r_er y_ao_l s_p_aa_t
f;27;we hold your block up You can-t stop mine;w_iy hh_ow_l_d y_ao_r b_l_aa_k ah_p y_uw k_ae_n_t s_t_aa_p m_ay_n
a;7;sellin to untrue Fiends to get C R E A M (is) how we do things;s_eh_l_ih_n t_uw ah_n_t_r_uw f_iy_n_d_z t_uw g_eh_t s_iy aa_r iy ah eh_m ih_z hh_aw w_iy d_uw th_ih_ng_z
i;23;to All y-all niggas think y-all the shit when y-all not;t_ah ao_l y_ao_l n_ih_g_ae_s th_ih_ng_k y_ao_l dh_iy sh_iy_t hh_w_ih_n y_ao_l n_ax_t
b;14;then again That-S all that I know I-M guaranteed to blow;dh_eh_n ah_g_eh_n dh_ae_t_s ao_l dh_ae_t ay n_ow ay_m g_eh_r_ah_n_t_iy_d t_ah b_l_ow
f;29;its our time to shine;ih_t_s aw_r t_ay_m t_uw sh_ay_n
b;16;infrared Ruthless That-S all you need to know;ih_n_f_r_er_eh_d r_uw_th_l_ah_s dh_ae_t_s ao_l y_uw n_iy_d t_uw n_ow
a;18;we comin for yo (po-sition) with the fo spittin;w_iy k_ow_m_ah_n f_ao_r y_ow p_aa_s_ih_t_ay_ah_n w_ih_dh dh_ah eh_f_ae s_p_ih_t_t_ih_n
e;22;and all my strugglin niggas livin the hard knock;ah_n_d ao_l m_ay s_t_r_ah_g_ah_iy_n n_ih_g_ae_s l_ih_v_iy_n dh_iy hh_aa_r_d n_aa_k
h;3;uh-huh yea yea uh-huh huh huh huh;ah_hh_ah y_ey y_ey ah_hh_ah hh_ah hh_ah hh_ah
a;31;blizzard;b_l_ih_z_er_d
c;6;i went from hoop schemes to loop dreams;ay w_eh_n_t f_r_ah_m hh_uw_p s_k_iy_m_z t_uw l_uw_p d_r_iy_m_z
d;13;pull the chrome out blow your bones out;p_uh_l dh_ah k_r_ow_m aw_t b_l_ow y_ao_r b_ow_n_z aw_t
b;15;cop a phat lab with acres so my weed could grow;k_aa_p ey p_iy_ey_ch_ae_t l_ae_b w_ah_dh ey_k_er_z s_ow m_ay w_iy_d k_uh_d g_r_ow
