Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;48;we form like Voltron and connect at the shoulders;w_iy f_ao_r_m l_ay_k V_oh_l_t_r_ax_n ah_n_d k_ah_n_eh_k_t ae_t dh_ah sh_ow_l_d_er_z
f;29;murder We Wrote;m_er_d_er w_iy r_ow_t
i;38;got your fuckin guns off the Christ Stop it;g_aa_t y_uh_r f_ah_k_iy_n g_ah_n_z ao_f dh_iy k_r_ay_s_t s_t_aa_p ah_t
h;53;(*) gun shots (*);ah_ae g_ah_n sh_aa_t_s ah_ae
f;47;hold up this shit ain-t over until I represent my soldiers;hh_ow_l_d ah_p dh_ih_s sh_iy_t ey_n_t ow_v_er ah_n_t_ih_l ay r_eh_p_r_ah_z_eh_n_t m_ay s_ow_l_jh_er_z
c;44;a military thats ready to break down the prison;ah m_ih_l_ah_t_eh_r_iy dh_ae_t_s r_eh_d_iy t_uw b_r_ey_k d_aw_n dh_ah p_r_ih_z_ah_n
a;1;frontin;f_r_ah_n_t_iy_n
m;22;i don-t get down with these clowns cuz they don-t know me;ay d_ow_n_t g_eh_t d_aw_n w_ih_dh dh_iy_z k_l_aw_n_z k_ah_z dh_ey d_ow_n_t n_ow m_iy
a;51;and matter of fact dunn yo Truck load up the (Mac-one);ah_n_d m_ae_t_er ah_v f_ae_k_t d_ah_n y_ow t_r_ah_k l_ow_d ah_p dh_ah w_ah_n
f;25;its Murder We Wrote;ih_t_s m_er_d_er w_iy r_ow_t
b;7;trust me son Ruthless you don-t wanna battle;t_r_ah_s_t m_iy s_ah_n r_uw_th_l_ah_s y_uw d_ow_n_t w_aa_n_ah b_ae_t_ah_l
b;41;and not the average we still tryin to live lavish;ah_n_d n_ax_t dh_ah ae_v_ax_r_ih_jh w_iy s_t_ih_l t_r_ay_iy_n t_uw l_ay_v l_ae_v_ih_sh
n;23;just hold me down and watch me bust em down just like a stoggy;jh_ah_s_t hh_ow_l_d m_iy d_aw_n ah_n_d w_aa_ch m_iy b_ah_s_t eh_m d_aw_n jh_ah_s_t l_ay_k ah s_t_r_iy_t_oh_g_g_y
b;42;ruthless Bastards a deep mob bringin havoc;r_uw_th_l_ah_s b_ae_s_t_er_d_z ah d_iy_p m_aa_b b_r_ih_ng_iy_n hh_ae_v_ah_k
b;11;avoidin snakes that rattle;ah_v_oy_d_iy_n s_n_ey_k_s dh_ae_t r_ae_t_ah_l
e;19;who you be;hh_uw y_uw b_iy
i;14;now heres the plan clear the block its like that;n_aw hh_ih_r_s dh_ah p_l_ae_n k_l_ih_r dh_ah b_l_aa_k ih_t_s l_ay_k dh_ah_t
d;17;the crews in Timbs I knock you all down like roller blades;dh_ah k_r_uw_z ih_n t_ih_m_z ay n_aa_k y_uw ao_l d_aw_n l_ay_k r_ow_l_er b_l_ey_d_z
c;40;the fifth;dh_ah f_ih_f_th
b;55;bring it My whole crews blastin;b_r_ih_ng ih_t m_ay hh_ow_l k_r_uw_z b_l_ae_s_t_iy_n
b;36;laced in fatique fashion;l_ey_s_t ih_n_ch f_ah_t_ih_q_uw_ax f_ae_sh_ah_n
b;4;you don-t know the half like the mothafuckin fraction;y_uw d_ow_n_t n_ow dh_ah hh_ae_f l_ay_k dh_ah m_ao_th_ah_f_uw_k_k_ax_n f_r_ae_k_sh_ah_n
f;58;its always over;ih_t_s ao_l_w_ey_z ow_v_er
f;27;murder We Wrote;m_er_d_er w_iy r_ow_t
d;56;you want somethin baby;y_uw w_aa_n_t s_ah_m_th_iy_n b_ey_b_iy
a;39;you don-t want its Inf the first blunted;y_uw d_ow_n w_aa_n_t ih_t_s  dh_ah f_er_s_t b_l_ah_n_t_ah_d
b;35;i see life flashin and techs cashin;ay s_iy l_ay_f f_l_ae_sh_iy_n ah_n_d t_eh_k_s k_ae_sh_ih_n
f;50;take your trip across the boat and washed up like soap;t_ey_k y_ao_r t_r_ih_p ah_k_r_ao_s dh_ah b_ow_t ah_n_d w_aa_sh_t ah_p l_ay_k s_ow_p
c;57;fuck one time nigga;f_ah_k w_ah_n t_ay_m n_ih_g_ae
g;37;smashin anythin in sight for the right price quick to pull a heist;s_m_ae_sh_iy_n eh_n_iy_th_iy_n ih_n_ch s_ay_t f_r_er dh_iy r_ay_t p_r_ay_s k_w_ih_k t_ah p_uh_l ey hh_ay_s_t
c;16;i hear that procrastinate or retaliate youll never win;ay hh_ih_r dh_ah_t p_r_ah_k_r_ae_s_t_ah_n_ey_t er r_iy_t_ae_l_iy_ey_t y_uw_l n_eh_v_er w_ih_n
f;28;murder We Wrote;m_er_d_er w_iy r_ow_t
l;20;no doubt put your best man up I kick his ass too;n_ow d_aw_t p_uh_t y_uh_r b_eh_s_t m_ae_n ah_p ay k_ih_k hh_ih_z ae_s t_uw
e;45;to set all my people free so we could live equally;t_uw s_eh_t ao_l m_ay p_iy_p_ah_l f_r_iy s_ow w_iy k_uh_d l_ay_v iy_k_w_ah_l_iy
b;12;paranoid gettin ice grilled by the double barrel;p_eh_r_ah_n_oy_d s_eh_t_iy_n ay_s g_r_ih_l_d b_ay dh_ah d_ah_b_ah_l b_ae_r_ah_l
b;9;the heat (is) guarentee to seat you like a saddle;dh_ah hh_iy_t ih_z  t_uw s_iy_t y_uw l_ay_k ah s_ae_d_ah_l
b;6;fatigue gear blood on my boots no more fashion;f_ah_t_iy_g g_ih_r b_l_ah_d aa_n m_ay b_uw_t_s n_ow m_ao_r f_ae_sh_ah_n
c;5;tough actin like Tinactin breakin backs in;t_ah_f ae_k_t_ah_n l_ay_k T_ih_n_ah_k_t_iy_n b_r_ey_k_iy_n b_ae_k_s ih_n
f;49;guns we tote weed we smoke Murder We Wrote;g_ah_n_z w_iy t_ow_t w_iy_d w_iy s_m_ow_k m_er_d_er w_iy r_ow_t
h;0;apocalips;ah_p_ao_k_a_l_iy_p_s
b;3;my crew be livin like Kings but we ain-t Latin;m_ay k_r_uw b_iy l_ih_v_iy_n l_ay_k k_ih_ng_z b_ah_t w_iy ey_n_t l_ae_t_ah_n
e;34;we all locked down in the streets grab the heat and sad to release;w_iy ao_l l_aa_k_t d_aw_n ih_n_ch dh_iy s_t_r_iy_t_s g_r_ae_b dh_iy hh_iy_t ah_n_d s_ae_d t_ah r_iy_l_iy_s
