Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
l;14;she just trynna get a fix dog;sh_iy jh_ah_s_t t_r_iy_n_ax g_ih_t ey f_ih_k_s d_ah_g
m;20;fuck when your beauty-s gone youll turn to a trife;f_ah_k w_eh_n y_ao_r b_y_uw_t_iy_z g_ao_n y_uw_l t_er_n t_uw ah t_f_er
d;11;i ain-t talkin bout the skin tone;ay ey_n_t t_aa_k_ah_n b_aw_t dh_ah s_k_ih_n t_ow_n
d;8;now she-s got a leaky nose;n_aw s_hh_iy_z g_aa_t ah l_iy_k_iy n_ow_z
b;3;he knocked my ass out mixed em up with purple sprite;hh_iy n_aa_k_t m_ay ae_s aw_t m_ih_k_s_t eh_m ah_p w_ah_dh p_er_p_ah_l s_p_r_ay_t
b;17;but the food was despised;b_ah_t dh_iy f_uw_d w_ah_z d_ih_s_p_ay_z_d
a;33;i wish I could erase you from my memory;ay w_ih_sh ay k_uh_d ih_r_ey_s_ah y_uw f_r_ah_m m_ay m_eh_m_ax_r_iy
h;6;go to bathrooms by the 2;g_ow t_ah b_ae_th_r_uw_m_z b_ay dh_iy ah_ae
p;32;when I think your name I need the strongest antihistamine;w_eh_n ay th_ih_ng_k y_ao_r n_ey_m ay n_iy_d dh_ah s_t_r_ao_ng_g_ah_s_t ae_n_t_iy_hh_ih_s_t_ah_m_ah_n
c;5;college taught me why these older bitches always sneeze;k_aa_l_ih_jh t_ao_t m_iy hh_w_ay dh_iy_z ow_l_d_er b_ih_ch_ah_z ao_l_w_iy_z s_n_iy_z
i;7;powder me Ill powder you;p_aw_d_er m_iy ay_l p_aw_d_er y_uw
f;12;been gone sniffing sin salt through a thin straw;b_ih_n g_ao_n s_n_ih_f_ih_ng s_ih_n s_ao_l_t th_r_uw ah th_ih_n s_t_r_ao
a;26;and then you quickly turn into the enemy;ah_n_d dh_eh_n y_uw k_w_ih_k_l_iy t_er_n ih_n_t_uw dh_ah eh_n_ah_m_iy
e;24;if youre headed down that path I suggest you flip a bitch;ah_f y_uw_r hh_eh_d_ah_d d_aw_n dh_ae_t p_ae_th ay s_ah_g_jh_eh_s_t y_uw f_l_ih_p ah b_ih_ch
e;27;when I speak your name I get an urge to gargle listerine;w_eh_n ay s_p_iy_k y_ao_r n_ey_m ay g_eh_t ae_n er_jh t_uw g_aa_l_er l_ih_s_t_er_iy_n
b;2;late last night me and jack had a fight;l_ey_t l_ae_s_t n_ay_t m_iy ah_n_d jh_ae_k hh_ae_d ey f_ay_t
g;34;but I am no computer you have no clue what you did to me;b_ah_t ay ae_m n_ow k_ah_m_p_y_uw_t_er y_uw hh_ae_v n_ow k_l_uw w_ah_t y_uw d_ih_d t_uw m_iy
b;19;found a substance that could make her think she-s living the life;f_aw_n_d ey s_ah_b_s_t_ah_n_s dh_ah_t k_uh_d m_ey_k hh_er th_ih_ng_k s_hh_iy_z l_ih_v_ih_ng dh_ah l_ay_f
b;18;in all honesty I believed her truth was a lie;ih_n_ch ao_l aa_n_ah_s_t_iy ay b_ah_l_iy_v_d hh_er t_r_uw_th w_ah_z ey l_ay
e;10;2 hyper white bitches;ah_ae hh_ay_p_er w_ay_t b_ih_ch_ah_z
a;31;and then you quickly turned into the enemy;ah_n_d dh_eh_n y_uw k_w_ih_k_l_iy t_er_n_d ih_n_t_uw dh_ah eh_n_ah_m_iy
g;0;uh back to the basics realities no Matrix;ah b_ae_k t_ah dh_iy b_ey_s_ih_k_s r_iy_ae_l_ah_t_iy_z n_ow m_ey_t_r_ih_k_s
b;22;im just quoting real life alright;ay_m jh_ah_s_t k_w_ow_t_ih_ng r_iy_l l_ay_f ao_l_r_ay_t
f;13;withdraws make her clench jaw now she pissed off;w_ah_dh_d_r_ao_z m_ey_k hh_er k_l_eh_n_ch jh_ao n_aw sh_iy p_ih_s_t ao_f
e;21;and Im not trynna be malicious;ah_n_d ay_m n_ax_t t_r_iy_n_ax b_iy m_ah_l_ih_sh_ah_s
n;28;i wish I could erase you from my history;ay w_ih_sh ay k_uh_d ih_r_ey_s_ah y_uw f_r_ah_m m_ay hh_ih_s_t_r_ih
c;4;gulp gulp no pulp in my oj please;g_ah_l_p g_ah_l_p n_ow p_ah_l_p ih_n_ch m_ay ow_jh_ey p_l_iy_z
a;1;so wake the fuck up kids before you miss your breakfast;s_ow w_ey_k dh_iy f_ah_k ah_p k_ih_d_z b_iy_f_ao_r y_uw m_ih_s y_uh_r b_r_eh_k_f_ah_s_t
b;15;you could tell by the look in her eyes;y_uw k_uh_d t_eh_l b_ay dh_iy l_uh_k ih_n_ch hh_er ay_z
a;16;she loved to be at fancy restaurants;sh_iy l_ah_v_d t_ah b_iy ae_t f_ae_n_s_iy r_eh_s_t_er_aa_n_t_s
o;29;but I am no computer you have no clue what you do to me;b_ah_t ay ae_m n_ow k_ah_m_p_y_uw_t_er y_uw hh_ae_v n_ow k_l_uw w_ah_t y_uw d_uw t_uw m_iy
e;23;and thats the story of a basic chick;ah_n_d dh_ae_t_s dh_ah s_t_ao_r_iy ah_v ah b_ey_s_ih_k ch_ih_k
