Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
n;24;now dollar bills yell at me fuck (is) you sellin me;n_aw d_aa_l_er b_ih_l_z y_eh_l ae_t m_iy f_ah_k ih_z y_uw s_eh_l_ih_n m_iy
g;37;don-t forget to quote me Z E;d_ow_n_t f_ax_g_eh_t t_uw k_w_ow_t m_iy z_iy iy
b;50;weve been meaning to talk;w_iy_v b_ih_n m_iy_n_ih_ng t_uw t_ao_k
b;41;real shit lets talk more money less talk;r_iy_l sh_iy_t l_eh_t_s t_ao_k m_ao_r m_ah_n_iy l_eh_s t_ao_k
g;28;stick to my guns Im risking possession thats 3 years in prison at least;s_t_ih_k t_uw m_ay g_ah_n_z ay_m r_ih_s_k_ih_ng p_ah_z_eh_sh_ah_n dh_ae_t_s ah_ae y_ih_r_z ih_n p_r_ih_z_ah_n ae_t l_iy_s_t
u;63;seh because we ah older generation;s_eh b_ih_k_ao_z w_iy aa ow_l_d_er jh_eh_n_er_ey_sh_ah_n
g;39;the minor league speak doesn-t peak my intrigue;dh_ah m_ay_n_er l_iy_g s_p_iy_k d_ah_z_n_t p_iy_k m_ay ih_n_t_r_iy_g
f;38;theres levels to this shit this isn-t entry;dh_eh_r_s l_eh_v_ah_l_z t_uw dh_ih_s sh_iy_t dh_ih_s ih_z_n_t eh_n_t_r_iy
e;31;interlude;ih_n_t_er_l_uw_d
t;62;if you mess with drugs like your Granny ah nuh go bail you;ah_f y_uw m_eh_s w_ih_dh d_r_ah_g_z l_ay_k y_ao_r g_r_ae_n_iy aa n_uw_ae g_ow b_ey_l y_uw
d;5;show;sh_ow
e;20;they wishin I was here sayin it isn-t;dh_ey w_ih_sh_iy_n ay w_ah_z hh_ih_r s_ey_iy_n ih_t ih_z_n_t
e;12;a wedding ring;ah w_eh_d_ih_ng r_ih_ng
f;13;smoking on some good shit in the neighborhood peddling;s_m_ow_k_ih_ng aa_n s_ah_m g_uh_d sh_iy_t ih_n dh_ah n_ey_b_er_hh_uh_d p_eh_d_ah_l_ih_ng
n;27;telling me;t_eh_l_ih_ng m_iy
e;33;slip the sandman half a mil just to make a visit;s_l_ih_p dh_ah s_ae_n_d_m_ae_n hh_ae_f ah m_ih_l jh_ah_s_t t_uw m_ey_k ah v_ih_z_ah_t
g;57;shit;sh_iy_t
f;21;bout a dollar Denzel;b_aw_t ah d_aa_l_er d_eh_n_z_ah_l
d;8;do I see evil No do I hear evil No;d_uw ay s_iy iy_v_ah_l n_ow d_uw ay hh_ih_r iy_v_ah_l n_ow
i;64;say (as) I say but don-t do (as) I do;s_ey ae_z ay s_ey b_ah_t d_ow_n_t d_uw ae_z ay d_uw
l;34;rushing yards these bars lemme kick it;r_ah_sh_ih_ng y_aa_r_d_z dh_iy_z b_aa_r_z l_eh_m_ah k_ih_k ih_t
p;44;livin that Hartlyfe they can-t tell if;l_ih_v_iy_n dh_ae_t H_ah_r_t_l_iy_f_ax dh_ey k_ae_n_t t_eh_l ah_f
a;42;why you think I got dressed up;w_ay y_uw th_ih_ng_k ay g_aa_t d_r_eh_s_t ah_p
d;51;with no reasonable doubt I don-t see nothing but sows;w_ih_dh n_ow r_iy_z_n_ax_b_l d_aw_t ay d_ow_n_t s_iy n_ah_th_ih_ng b_ah_t s_ow_z
a;35;but the crown two more points all of us;b_ah_t dh_ah k_r_aw_n t_uw m_ao_r p_oy_n_t_s ao_l ah_v ah_s
a;1;giddy Up semi tucked;g_ih_d_iy ah_p s_eh_m_iy t_ah_k_t
