Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
q;34;today we ain-t taking suggestions;t_ah_d_ey w_iy ey_n_t t_ey_k_ih_ng s_ah_g_jh_eh_s_ch_ah_n_z
g;66;put the gun down pick a book up and read;p_uh_t dh_ah g_ah_n d_aw_n p_ih_k ah b_uh_k ah_p ah_n_d r_iy_d
f;50;no not today no not today not today;n_ow n_ax_t t_ah_d_ey n_ow n_ax_t t_ah_d_ey n_ax_t t_ah_d_ey
c;37;cause these people can be so negative;k_aa_z dh_iy_z p_iy_p_ah_l k_ah_n b_iy s_ow n_eh_g_ah_t_ih_v
c;2;i just wanna make music for your stereo;ay jh_ah_s_t w_aa_n_ah m_ey_k m_y_uw_z_ih_k f_ao_r y_ao_r s_t_eh_r_iy_ow
d;10;were not the same you can-t stop my shine;w_iy_r n_ax_t dh_ah s_ey_m y_uw k_ae_n_t s_t_aa_p m_ay sh_ay_n
d;5;they hate to see you smile have a good time;dh_ey hh_ey_t t_uw s_iy y_uw s_m_ay_l hh_ae_v ah g_uh_d t_ay_m
s;41;no wonder the bouncer didn-t let you in boy;n_ow w_ah_n_d_er dh_ah b_aw_n_s_er d_ih_d_n_t l_eh_t y_uw ih_n b_oy
d;43;they hate to see you smile have a good time;dh_ey hh_ey_t t_uw s_iy y_uw s_m_ay_l hh_ae_v ah g_uh_d t_ay_m
g;21;who I don-t even know who made these;hh_uw ay d_ow_n_t iy_v_ah_n n_ow hh_uw m_ey_d dh_iy_z
d;93;the fact that Im here right now (is) a miracle aye;dh_ah f_ae_k_t dh_ae_t ay_m hh_ih_r r_ay_t n_aw ih_z ah m_ih_r_ah_k_ah_l ay
l;38;i pay the bills with these Ted talks;ay p_ey dh_ah b_ih_l_z w_ih_dh dh_iy_z t_eh_d t_ao_k_s
c;84;im too busy taking selfies;ay_m t_uw b_ih_z_iy t_ey_k_ih_ng s_eh_l_f_er_s
