Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
s;61;watch the shermheads;w_aa_ch dh_ah sh_eh_r_m_hh_er_ax_d_s
q;20;clip so long I could lean on it;k_l_ih_p s_ow l_ao_ng ay k_uh_d l_iy_n aa_n ih_t
m;4;word on the street Im a suspect;w_er_d aa_n dh_iy s_t_r_iy_t ay_m ah s_ax_s_p_eh_k_t
r;58;hatin on ya heart cuz you rockin Hermes;hh_ae_t_iy_n aa_n y_aa hh_aa_r_t k_ah_z y_uw r_aa_k_iy_n hh_er_m_iy_z
c;11;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
c;52;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
i;67;dope boys in the hood workin with the Hispanics;d_ow_p b_oy_z ih_n dh_ah hh_uh_d w_er_k_iy_n w_ih_dh dh_ah hh_ah_s_p_ae_n_ih_k_s
c;60;Ray Ray-ll sell it all gotta;r_ey R_l_ae s_eh_l ih_t ao_l g_aa_t_ah
l;43;shooters on the roof with a scope;sh_uw_t_er_z aa_n dh_ah r_uw_f w_ih_dh ah s_k_ow_p
e;59;especially if ya money long guarantee you turn heads;ah_s_p_eh_sh_l_iy ah_f y_aa m_ah_n_iy l_ao_ng g_eh_r_ah_n_t_iy y_uw t_er_n hh_eh_d_z
i;41;lurkin for the cash searchin for the bag;l_er_k_iy_n f_ao_r dh_ah k_ae_sh s_er_ch_iy_n f_ao_r dh_ah b_ae_g
c;32;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
i;42;young nigga (wildin-) throwin up flags;y_ah_ng n_ih_g_ae w_ay_l_d_iy_n_eh th_r_ow_iy_n ah_p f_l_ae_g_z
c;53;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
h;38;ain-t made a mil yet but its still nigga rich;ey_n_t m_ey_d ah m_ih_l y_eh_t b_ah_t ih_t_s s_t_ih_l n_ih_g_ae r_ih_ch
d;63;these niggas snakes wanna know what ya make;dh_iy_z n_ih_g_ae_s s_n_ey_k_s w_aa_n_ah n_ow w_ah_t y_aa m_ey_k
c;76;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
n;49;hangin with the killers in the projects;hh_ae_ng_iy_n w_ih_dh dh_ah k_ih_l_er_z ih_n dh_iy p_r_oh_jh_eh_k_t_s
e;18;fuck it fuck it nigga keep (sippin-);f_ah_k ah_t f_ah_k ah_t n_ih_g_ae k_iy_p s_ih_p_iy_n_eh
e;40;how ya want it nigga Full or the semi;hh_aw y_aa w_aa_n_t ih_t n_ih_g_ae f_uh_l ao_r dh_ah s_eh_m_ay
m;70;word on the street Im a suspect;w_er_d aa_n dh_ah s_t_r_iy_t ay_m ah s_ax_s_p_eh_k_t
f;46;nigga hit it with the fork;n_ih_g_ae hh_ih_t ih_t w_ih_dh dh_ah f_ao_r_k
b;29;catch a nigga slippin from behind;k_ae_ch ey n_ih_g_ae s_l_ih_p_p_ih_n f_er_m b_ah_hh_ay_n_d
d;14;choppa start bustin make the house shake;ch_aa_p_ae s_t_aa_r_t b_ah_s_t_ih_n m_ey_k dh_ah hh_aw_s sh_ey_k
d;16;get your eyes on your chin better watch what your mouth say;g_ih_t y_uh_r ay_z aa_n y_uh_r ch_ih_n b_eh_t_er w_aa_ch hh_w_ah_t y_uh_r m_aw_th s_ey
n;5;hangin with the killers in the projects;hh_ae_ng_iy_n w_ih_dh dh_ah k_ih_l_er_z ih_n dh_ah p_r_oh_jh_eh_k_t_s
c;75;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
i;66;never let a nigga see ya panic;n_eh_v_er l_eh_t ah n_ih_g_ae s_iy y_aa p_ae_n_ih_k
l;44;money make em treat ya like the pope;m_ah_n_iy m_ey_k eh_m t_r_iy_t y_aa l_ay_k dh_ah p_ow_p
b;73;catch a nigga slippin from behind;k_ae_ch ah n_ih_g_ae s_l_ih_p_p_ih_n f_r_ah_m b_ah_hh_ay_n_d
c;22;moved a hundred pounds before a lawyer beat the charge;m_uw_v_d ah hh_ah_n_d_r_ah_d p_aw_n_d_z b_ah_f_ao_r ah l_ao_y_ax_r b_iy_t dh_ah ch_aa_r_jh
c;31;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
e;57;its the niggas that you trust thatll prolly turn feds;ih_t_s dh_ah n_ih_g_ae_s dh_ae_t y_uw t_r_ah_s_t dh_ae_t_l p_r_ow_l_y t_er_n f_eh_d_z
a;2;you are now listening to a Bobby Johnson Beat;y_uw er n_aw l_ih_s_n_ih_ng t_ah ey b_aa_b_iy jh_aa_n_s_ah_n b_iy_t
f;23;pack touchdown run it back like Marshall Faulk;p_ae_k t_ah_ch_d_aw_n r_ah_n ih_t b_ae_k l_ay_k m_aa_r_sh_ah_l f_ao_k
e;17;lean with the footballs got a nigga (trippin-);l_iy_n w_ah_dh dh_iy f_uh_t_b_ao_l_z g_aa_t ey n_ih_g_ae t_r_ih_p_iy_n_eh
l;45;work the block like Dikembe in the post;w_er_k dh_ah b_l_aa_k l_ay_k D_ih_k_er_m_b_ax ih_n dh_ah p_ow_s_t
i;68;on the phone with the plug nigga speakin Spanish;aa_n dh_ah f_ow_n w_ih_dh dh_ah p_l_ah_g n_ih_g_ae s_p_iy_k_iy_n s_p_ae_n_ih_sh
m;71;hangin with the killers in the projects;hh_ae_ng_iy_n w_ih_dh dh_ah k_ih_l_er_z ih_n dh_ah p_r_oh_jh_eh_k_t_s
c;30;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
g;36;throw it up throw it up nigga where ya from;th_r_ow ih_t ah_p th_r_ow ih_t ah_p n_ih_g_ae w_eh_r y_aa f_r_ah_m
b;72;potato on the barrel keep quiet;p_ah_t_ey_t_ow aa_n dh_ah b_ae_r_ah_l k_iy_p k_w_ay_ah_t
e;39;stick em up stick em up stick em;s_t_ih_k eh_m ah_p s_t_ih_k eh_m ah_p s_t_ih_k eh_m
p;19;dirty AK with the beam on it;d_er_t_iy  w_ah_dh dh_iy b_iy_m aa_n ah_t
g;26;word on the street Im a suspect;w_er_d aa_n dh_ah s_t_r_iy_t ay_m ey s_ah_s_p_eh_k_t
c;33;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
b;50;potato on the barrel keep quiet;p_ah_t_ey_t_ow aa_n dh_ah b_ae_r_ah_l k_iy_p k_w_ay_ah_t
b;28;potato on the barrel keep quiet;p_ah_t_ey_t_ow aa_n dh_iy b_ae_r_ah_l k_iy_p k_w_ay_ah_t
g;35;hundred bands on your head get the job done;hh_ah_n_d_er_d b_ae_n_d_z aa_n y_uh_r hh_eh_d g_ih_t dh_iy jh_aa_b d_ah_n
c;21;free my niggas locked behind bars;f_r_iy m_ay n_ih_g_ae_s l_aa_k_t b_ah_hh_ay_n_d b_aa_r_z
d;64;grimy ass ho do ya like Larenz Tate;g_r_ay_m_iy ae_s hh_ow d_uw y_aa l_ay_k L_ae_r_ax_n_z t_ey_t
m;48;word on the street Im a suspect;w_er_d aa_n dh_ah s_t_r_iy_t ay_m ah s_ax_s_p_eh_k_t
c;55;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
c;77;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
b;7;catch a nigga slippin from behind;k_ae_ch ah n_ih_g_ae s_l_ih_p_p_ih_n f_r_ah_m b_ah_hh_ay_n_d
b;6;potato on the barrel keep quiet;p_ah_t_ey_t_ow aa_n dh_ah b_ae_r_ah_l k_iy_p k_w_ay_ah_t
b;51;catch a nigga slippin from behind;k_ae_ch ah n_ih_g_ae s_l_ih_p_p_ih_n f_r_ah_m b_ah_hh_ay_n_d
h;37;whole hood hot cause ya nigga hittin licks;hh_ow_l hh_uh_d hh_aa_t k_aa_z y_aa n_ih_g_ae hh_ih_t_iy_n l_ih_k_s
o;13;wipe a nigga out like an outbreak;w_ay_p ah n_ih_g_ae aw_t l_ay_k ae_n aw_t_b_r_ey_k
c;8;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
c;74;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
a;0;produced by Bobby Johnson Beats;p_r_ah_d_uw_s_t b_ay b_aa_b_iy jh_aa_n_s_ah_n b_iy_t_s
c;27;hangin with the killers in the projects;hh_ae_ng_iy_n w_ah_dh dh_iy k_ih_l_er_z ih_n_ch dh_iy p_r_aa_jh_eh_k_t_s
d;62;hate hate hate jealousy (is) a bitch nigga trait;hh_ey_t hh_ey_t hh_ey_t jh_eh_l_ah_s_iy ih_z ah b_ih_ch n_ih_g_ae t_r_ey_t
c;9;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
c;54;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
c;10;o G Bobby Johnson;ow jh_iy b_aa_b_iy jh_aa_n_s_ah_n
f;24;if a nigga try to rob fuck it hit em wit the hawk;ah_f ah n_ih_g_ae t_r_ay t_uw r_aa_b f_ah_k ih_t hh_ih_t eh_m w_ih_t dh_ah hh_ao_k
i;65;young nigga runnin with the cannon;y_ah_ng n_ih_g_ae r_ah_iy_n w_ih_dh dh_ah k_ae_n_ah_n
d;15;fuck niggas sweeter than a pound cake;f_ah_k n_ih_g_ae_s s_w_iy_t_er dh_ae_n ah p_aw_n_d k_ey_k
