Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;77;vibe Kill;v_ay_b k_ih_l
g;20;but Im posted asking God why am I so vain;b_ah_t ay_m p_ow_s_t_ah_d ae_s_k_ih_ng g_aa_d w_ay ae_m ay s_ow v_ey_n
o;74;i don-t need no haters cut em off like lawn weeds;ay d_ow_n_t n_iy_d n_ow hh_ey_t_er_z k_ah_t eh_m ao_f l_ay_k l_ao_n w_iy_d_z
f;23;i do what I want and its something like the purge;ay d_uw w_ah_t ay w_aa_n_t ah_n_d ih_t_s s_ah_m_th_ih_ng l_ay_k dh_ah p_er_jh
d;34;got her begging for some more like her ass tiny tim;g_aa_t hh_er b_eh_g_ih_ng f_ao_r s_ah_m m_ao_r l_ay_k hh_er ae_s t_ay_n_iy t_ih_m
e;13;get a gat and light em up like a Bon fire;g_eh_t ah g_ae_t ah_n_d l_ay_t eh_m ah_p l_ay_k ah b_aa_n f_ay_er
h;58;i will never change cause I don-t live down a well;ay w_ah_l n_eh_v_er ch_ey_n_jh k_aa_z ay d_ow_n_t l_ay_v d_aw_n ey w_eh_l
f;16;boy I got the recipe it got me feeling like the colonel;b_oy ay g_aa_t dh_ah r_eh_s_ah_p_iy ih_t g_aa_t m_iy f_iy_l_ih_ng l_ay_k dh_ah k_er_n_ah_l
g;50;i got to much drive so you better stay outa my lane;ay g_aa_t t_uw m_ah_ch d_r_ay_v s_ow y_uw b_eh_t_er s_t_ey ow_t_ah m_ay l_ey_n
b;61;i gotta protect my paper like I got it laminated;ay g_aa_t_ah p_r_ax_t_eh_k_t m_ay p_ey_p_er l_ay_k ay g_aa_t ih_t l_ae_m_ah_n_ey_t_ah_d
d;35;i am not from this earth feeling like invader zim;ay ae_m n_ax_t f_r_ah_m dh_ih_s er_th f_iy_l_ih_ng l_ay_k ih_n_v_ey_d_er z_ih_m
d;66;cocaine livin Got these fuck niggas sniffin;k_ow_k_ey_n l_ih_v_iy_n g_aa_t dh_iy_z f_ah_k n_ih_g_ae_s s_n_ih_f_iy_n
d;36;and I could knock your lights out you couldn-t make my lights dim;ah_n_d ay k_uh_d n_aa_k y_ao_r l_ay_t_s aw_t y_uw k_uh_d_n_t m_ey_k m_ay l_ay_t_s d_ih_m
g;62;and if you were a fish then consider yourself baited;ah_n_d ah_f y_uw w_er ah f_ih_sh dh_eh_n k_ah_n_s_ih_d_er y_er_s_eh_l_f b_ey_t_ah_d
h;21;boy my side chick asian call it foreign affairs;b_oy m_ay s_ay_d ch_ih_k ey_zh_ah_n k_ao_l ih_t f_ao_r_ah_n ah_f_eh_r_z
d;27;dolphins in the ocean gators in the swamp killa;d_aa_l_f_ah_n_z ih_n dh_ah ow_sh_ah_n g_ey_t_er_z ih_n dh_ah s_w_aa_m_p k_ih_l_ae
b;2;ha-ha ha-ha;hh_ax_ae hh_ax_ae
l;38;got that bitch shakin her ass she pop it slow motion;g_aa_t dh_ae_t b_ih_ch sh_aa_k_ih_n hh_er ae_s sh_iy p_aa_p ih_t s_l_ow m_ow_sh_ah_n
h;39;and boy I stay workin I ain-t never got no time to rest;ah_n_d b_oy ay s_t_ey w_er_k_iy_n ay ey_n_t n_eh_v_er g_aa_t n_ow t_ay_m t_uw r_eh_s_t
n;46;wit a right and a left thats a tick and a tock;w_ih_t ah r_ay_t ah_n_d ah l_eh_f_t dh_ae_t_s ah t_ih_k ah_n_d ey t_aa_k
t;67;because these niggas act more clowny than jadaveon;b_ih_k_ao_z dh_iy_z n_ih_g_ae_s ae_k_t m_ao_r k_l_aw_n_iy dh_ae_n j_ah_d_ah_v_er_ax_n
h;22;got her sitting on my face she got a tongue on her chair;g_aa_t hh_er s_ih_t_ih_ng aa_n m_ay f_ey_s sh_iy g_aa_t ah t_ah_ng aa_n hh_er ch_eh_r
i;30;i wear red on purpose cause I wish a nigga would;ay w_eh_r r_eh_d aa_n p_er_p_ah_s k_aa_z ay w_ih_sh ah n_ih_g_ae w_uh_d
o;52;your now in tuned to philosopher dreams;y_ao_r n_aw ih_n t_uw_n_d t_uw f_ah_l_aa_s_ah_f_er d_r_iy_m_z
b;31;yeah I wish a nigga would boy meet me in the trap;y_ae ay w_ih_sh ah n_ih_g_ae w_uh_d b_oy m_iy_t m_iy ih_n dh_ah t_r_ae_p
n;44;even if I had a thermostat I couldn-t get any hotter;iy_v_ah_n ah_f ay hh_ae_d ah th_er_m_ah_s_t_ae_t ay k_uh_d_n_t g_eh_t eh_n_iy hh_aa_t_er
a;9;you need to get your shit together where the hells the pooper scooper;y_uw n_iy_d t_uw g_eh_t y_ao_r sh_iy_t t_ah_g_eh_dh_er w_eh_r dh_ah hh_eh_l_z dh_iy p_uw_p_er s_k_uw_p_er
h;57;go against me you won-t check out like a roach motel;g_ow ah_g_eh_n_s_t m_iy y_uw w_ow_n_t ch_eh_k aw_t l_ay_k ah r_ow_ch m_ow_t_eh_l
