Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;21;im watchin Pornhub all night all day;ay_m w_aa_ch_iy_n P_oh_r_n_hh_ax_b ao_l n_ay_t ao_l d_ey
d;7;fetish Fisting Babes Striptease;f_eh_t_ih_sh F_iy_s_t_ax_ng b_ey_b_z s_t_r_ih_p_t_iy_z
d;28;got some time to kill Rub one off right quick;g_aa_t s_ah_m t_ay_m t_uw k_ih_l r_ah_b w_ah_n ao_f r_ay_t k_w_ih_k
n;43;im watchin Pornhub;ay_m w_aa_ch_iy_n P_oh_r_n_hh_ax_b
f;46;but on a serious note it provides a safe place;b_ah_t aa_n ah s_ih_r_iy_ah_s n_ow_t ih_t p_r_ah_v_ay_d_z ah s_ey_f p_l_ey_s
e;8;from Bondage to Creampies Big Dicks and Orgies;f_r_ah_m b_aa_n_d_ih_jh t_uw  b_ih_g d_ih_k_s ah_n_d ao_r_jh_iy_z
g;19;that shit gets me crazy like seeing a mirage;dh_ae_t sh_iy_t g_eh_t_s m_iy k_r_ey_z_iy l_ay_k s_iy_ih_ng ah m_er_aa_zh
i;54;and its a beautiful thing more people should understand;ah_n_d ih_t_s ah b_y_uw_t_ah_f_ah_l th_ih_ng m_ao_r p_iy_p_ah_l sh_uh_d ah_n_d_er_s_t_ae_n_d
f;47;to explore the depths of this great sex space;t_uw ih_k_s_p_l_ao_r dh_ah d_eh_p_th_s ah_v dh_ih_s g_r_ey_t s_eh_k_s s_p_ey_s
i;34;too busy spending my nights with all of these actresses;t_uw b_ih_z_iy s_p_eh_n_d_ih_ng m_ay n_ay_t_s w_ih_dh ao_l ah_v dh_iy_z ae_k_t_r_ah_s_ah_z
a;29;all these great big asses and great big titties;ao_l dh_iy_z g_r_ey_t b_ih_g ae_s_ah_z ah_n_d g_r_ey_t b_ih_g t_ih_t_t_ay_s
d;30;plus you can meet hot locals in your city;p_l_ah_s y_uw k_ah_n m_iy_t hh_aa_t l_ow_k_ah_l_z ih_n y_ao_r s_ih_t_iy
f;17;ive even strayed over to Pornhub Gay;ay_v iy_v_ah_n s_t_r_ey_d ow_v_er t_uw P_oh_r_n_hh_ax_b g_ey
f;40;im watchin Pornhub all night all day;ay_m w_aa_ch_iy_n P_oh_r_n_hh_ax_b ao_l n_ay_t ao_l d_ey
o;49;you can safely explore your own sexuality;y_uw k_ah_n s_ey_f_l_iy ih_k_s_p_l_ao_r y_ao_r ow_n s_eh_k_sh_uw_ae_l_ah_t_iy
i;48;what I mean (is) if you feel a certain fantasy;w_ah_t ay m_iy_n ih_z ah_f y_uw f_iy_l ah s_er_t_ah_n f_ae_n_t_ah_s_iy
c;35;dani Daniels Celeste Starr Shyla Jennings;d_aa_n_iy d_ae_n_y_ah_l_z s_ah_l_eh_s_t s_t_aa_r S_hh_iy_l_ax jh_eh_n_ih_ng_z
a;1;where you can cum and leave full of delight;hh_w_eh_r y_uw k_ae_n k_ah_m ah_n_d l_iy_v f_uh_l ah_v d_ah_l_ay_t
m;15;theyve got Twinks and Hunks and romantic stuff too;dh_ey_v g_aa_t T_w_iy_n_k_s ah_n_d hh_ah_ng_k_s ah_n_d r_ow_m_ae_n_t_ih_k s_t_ah_f t_uw
c;6;lesbian and HD Anal and Ebony;l_eh_z_b_iy_ah_n ah_n_d  ey_n_ah_l ah_n_d eh_b_ah_n_iy
n;24;im watchin Pornhub;ay_m w_aa_ch_iy_n P_oh_r_n_hh_ax_b
a;3;but its all right theres Kleenex in sight;b_ah_t ih_t_s ao_l r_ay_t dh_eh_r_s k_l_iy_n_ah_k_s ih_n_ch s_ay_t
c;13;so go on and do your thing girl outlast the men;s_ow g_ow aa_n ah_n_d d_uw y_ao_r th_ih_ng g_er_l aw_t_l_ae_s_t dh_ah m_eh_n
m;14;and gays I didn-t forget about you;ah_n_d g_ey_z ay d_ih_d_n_t f_ax_g_eh_t ah_b_aw_t y_uw
f;22;cause I know a pretty lady ain-t comin my way;k_aa_z ay n_ow ah p_r_ih_t_iy l_ey_d_iy ey_n_t k_ow_m_ah_n m_ay w_ey
g;18;but my main forte (is) Lesbian Massage;b_ah_t m_ay m_ey_n f_ao_r_t_ey ih_z l_eh_z_b_iy_ah_n m_ah_s_aa_zh
i;55;it goes a lot deeper than just using your hand;ih_t g_ow_z ah l_aa_t d_iy_p_er dh_ae_n jh_ah_s_t y_uw_z_ih_ng y_ao_r hh_ae_n_d
c;50;because of this no risk of pregnancy;b_ih_k_ao_z ah_v dh_ih_s n_ow r_ih_s_k ah_v p_r_eh_g_n_ah_n_s_iy
