Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
g;18;would I wait for you forever try me;w_uh_d ay w_ey_t f_ao_r y_uw f_er_eh_v_er t_r_ay m_iy
f;8;closer than the arms I wrapped around you;k_l_ow_s_ax_r dh_ae_n dh_ah aa_r_m_z ay r_ae_p_t er_aw_n_d y_uw
b;26;happen to be the one that I love;hh_ae_p_ah_n t_uw b_iy dh_ah w_ah_n dh_ae_t ay l_ah_v
a;23;an let the lovin in;ae_n l_eh_t dh_ah l_ow_v_ih_n ih_n
b;28;happen to be the hand to my glove;hh_ae_p_ah_n t_uw b_iy dh_ah hh_ae_n_d t_uw m_ay g_l_ah_v
f;5;just a kid in rags when I first met you;jh_ah_s_t ey k_ih_d ih_n_ch r_ae_g_z hh_w_ih_n ay f_er_s_t m_eh_t y_uw
b;3;happen to be the hand to my glove;hh_ae_p_ah_n t_ah b_iy dh_iy hh_ae_n_d t_ah m_ay g_l_ah_v
i;22;take my hand take my heart;t_ey_k m_ay hh_ae_n_d t_ey_k m_ay hh_aa_r_t
c;30;i was such an (all-time) loser;ay w_ah_z s_ah_ch ae_n ao_l_t_ay_m l_uw_z_er
g;6;everything and nothing to me;eh_v_r_iy_th_ih_ng ah_n_d n_ah_th_ih_ng t_uw m_iy
a;27;and you purely by coincidence;ah_n_d y_uw p_y_uh_r_l_iy b_ay k_ow_ih_n_s_ah_d_ah_n_s
g;19;only once I wanna hear you sayin fly me;ow_n_l_iy w_ah_n_s ay w_aa_n_ah hh_ih_r y_uw s_ey_iy_n f_l_ay m_iy
e;36;like they say in all the love songs;l_ay_k dh_ey s_ey ih_n ao_l dh_ah l_ah_v s_ao_ng_z
a;15;and you purely by coincidence;ah_n_d y_uw p_y_uh_r_l_iy b_ay k_ow_ih_n_s_ah_d_ah_n_s
a;21;faster than the wind;f_ae_s_t_er dh_ae_n dh_ah w_ih_n_d
a;0;hey you purely by coincidence;hh_ey y_uw p_y_uh_r_l_iy b_ay k_ow_ih_n_s_ah_d_ah_n_s
g;20;higher than the clouds that you see;hh_ay_er dh_ae_n dh_ah k_l_aw_d_z dh_ae_t y_uw s_iy
g;10;open up your heart for me;ow_p_ah_n ah_p y_ao_r hh_aa_r_t f_ao_r m_iy
f;33;if I find my winning streak with you;ih_f ay f_ay_n_d m_ay w_ih_n_ih_ng s_t_r_iy_k w_ah_dh y_uw
b;40;happen to be the one that I love;hh_ae_p_ah_n t_uw b_iy dh_ah w_ah_n dh_ae_t ay l_ah_v
d;31;never tried to make it all come true yeh yeh yeh;n_eh_v_er t_r_ay_d t_uw m_ey_k ih_t ao_l k_ah_m t_r_uw y_eh y_eh y_eh
a;41;and you purely by coincidence;ah_n_d y_uw p_y_uh_r_l_iy b_ay k_ow_ih_n_s_ah_d_ah_n_s
a;13;hey you purely by coincidence;hh_ey y_uw p_y_uh_r_l_iy b_ay k_ow_ih_n_s_ah_d_ah_n_s
e;34;youre the princess in my story;y_uw_r dh_ah p_r_ih_n_s_eh_s ih_n m_ay s_t_ao_r_iy
a;39;hey you purely by coincidence;hh_ey y_uw p_y_uh_r_l_iy b_ay k_ow_ih_n_s_ah_d_ah_n_s
d;37;youre my everything;y_uw_r m_ay eh_v_r_iy_th_ih_ng
a;2;and you purely by coincidence;ah_n_d y_uw p_y_uh_r_l_iy b_ay k_ow_ih_n_s_ah_d_ah_n_s
b;1;happen to be the one that I love;hh_ae_p_ah_n t_ah b_iy dh_iy hh_w_ah_n dh_ah_t ay l_ah_v
f;7;so I set my heart to get you;s_ow ay s_eh_t m_ay hh_aa_r_t t_uw g_eh_t y_uw
a;25;hey you purely by coincidence;hh_ey y_uw p_y_uh_r_l_iy b_ay k_ow_ih_n_s_ah_d_ah_n_s
a;35;im your king;ay_m y_ao_r k_ih_ng
h;11;its time our love begun;ih_t_s t_ay_m aw_r l_ah_v b_ih_g_ah_n
b;42;happen to be the hand to my glove;hh_ae_p_ah_n t_uw b_iy dh_ah hh_ae_n_d t_uw m_ay g_l_ah_v
c;32;but I won-t stay an (all-time) loser;b_ah_t ay w_ow_n_t s_t_ey ah_n ao_l_t_ay_m l_uw_z_er
b;9;safer than the sun;s_ey_f_er dh_ae_n dh_ah s_ah_n
b;16;happen to be the hand to my glove;hh_ae_p_ah_n t_uw b_iy dh_ah hh_ae_n_d t_uw m_ay g_l_ah_v
b;14;happen to be the one that I love;hh_ae_p_ah_n t_uw b_iy dh_ah w_ah_n dh_ae_t ay l_ah_v
