Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;10;taking your life then after you die I come back and start stabbing your soul;t_ey_k_ih_ng y_ao_r l_ay_f dh_eh_n ae_f_t_er y_uw d_ay ay k_ah_m b_ae_k ah_n_d s_t_aa_r_t s_t_ae_b_ih_ng y_ao_r s_ow_l
b;3;homie It-s crunch time;hh_ao_m_iy_ax ih_t_s k_r_ah_n_ch t_ay_m
c;15;she gives Superdome;sh_iy g_ih_v_z s_uw_p_er_d_ow_m
c;9;its only right that I be grabbing this gold;ih_t_s ow_n_l_iy r_ay_t dh_ae_t ay b_iy g_r_ae_b_ih_ng dh_ih_s g_ow_l_d
b;20;youre not borrowing you biting;y_uw_r n_ax_t b_aa_r_ow_ih_ng y_uw b_ay_t_ih_ng
b;5;cause all I do (is) punch lines;k_aa_z ao_l ay d_uw ih_z p_ah_n_ch l_ay_n_z
b;6;these rhymes that I write can cause barbarian fights;dh_iy_z r_ay_m_z dh_ae_t ay r_ay_t k_ah_n k_aa_z b_aa_r_b_eh_r_iy_ah_n f_ay_t_s
a;14;your bitch sucked my dick at last Mardi Gras;y_ao_r b_ih_ch s_ah_k_t m_ay d_ih_k ae_t l_ae_s_t m_aa_r_d_iy g_r_ae_s
h;7;youre looking at batman in the stars;y_uw_r l_uh_k_ih_ng ae_t b_ae_t_m_ae_n ih_n dh_ah s_t_aa_r_z
g;4;yo Im a boxer fighting a stick figure;y_ow ay_m ah b_aa_k_s_er f_ay_t_ih_ng ah s_t_ih_k f_ih_g_y_er
f;23;everything you eat comes out (as) shit;eh_v_r_iy_th_ih_ng y_uw iy_t k_ah_m_z aw_t ae_z sh_iy_t
e;16;these poems I show you are so evil and crude;dh_iy_z p_ow_ah_m_z ay sh_ow y_uw aa_r s_ow iy_v_ah_l ah_n_d k_r_uw_d
a;2;you hear that;y_uw hh_ih_r dh_ae_t
e;19;yo Tunes;y_ow t_uw_n_z
i;22;remember this piece of advice it goes like this;r_ih_m_eh_m_b_ax dh_ih_s p_iy_s ah_v ax_d_v_ay_s ih_t g_ow_z l_ay_k dh_ah_s
f;0;vita Et Mors;v_ay_t_ah eh_t M_oh_r_s
b;21;so next time you find yourself chewing while writing;s_ow n_eh_k_s_t t_ay_m y_uw f_ay_n_d y_er_s_eh_l_f ch_uw_ih_ng w_ay_l r_ay_t_ih_ng
d;11;yo these voices scream in my head keep getting louder;y_ow dh_iy_z v_oy_s_ah_z s_k_r_iy_m ih_n m_ay hh_eh_d k_iy_p g_eh_t_ih_ng l_aw_d_er
e;17;theyll leave you confused;dh_ey_l l_iy_v y_uw k_ah_n_f_y_uw_z_d
c;13;i need more respect homie my name should be truly known;ay n_iy_d m_ao_r r_ih_s_p_eh_k_t hh_ao_m_iy_ax m_ay n_ey_m sh_uh_d b_iy t_r_uw_l_iy n_ow_n
d;12;ill dead you rip out your organs crush your bones and snort the powder;ay_l d_eh_d y_uw r_ih_p aw_t y_ao_r ao_r_g_ah_n_z k_r_ah_sh y_ao_r b_ow_n_z ah_n_d s_n_ao_r_t dh_ah p_aw_d_er
e;18;youll need more than a rap genius my dude;y_uw_l n_iy_d m_ao_r dh_ae_n ah r_ae_p jh_iy_n_y_ah_s m_ay d_uw_d
b;8;homie youre staring at a Dark Knight;hh_ao_m_iy_ax y_uw_r s_t_eh_r_ih_ng ae_t ah d_aa_r_k n_ay_t
