Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;3;na na na;n_aa n_aa n_aa
l;51;redeem some rights some wrongs and write my songs to feed the;r_ah_d_iy_m s_ah_m r_ay_t_s s_ah_m r_ao_ng_z ah_n_d r_ay_t m_ay s_ao_ng_z t_uw f_iy_d dh_ah
c;21;and disconnected isn-t entered from the infinite;ah_n_d d_ih_s_k_ah_n_eh_k_t_ah_d ih_z_n_t eh_n_t_ax_d f_r_ah_m dh_ah ih_n_f_ah_n_ah_t
f;43;plenty of tape maybe youll drown turn the radio down;p_l_eh_n_t_iy ah_v t_ey_p m_ey_b_iy y_uw_l d_r_aw_n t_er_n dh_ah r_ey_d_iy_ow d_aw_n
h;42;mmm without radio play your sales may be Okay maybe youll stay afloat Maybe;m_ah_d_ae_m_m w_ih_th_aw_t r_ey_d_iy_ow p_l_ey y_ao_r s_ey_l_z m_ey b_iy ow_k_ey m_ey_b_iy y_uw_l s_t_ey ah_f_l_ow_t m_ey_b_iy
a;4;na na na;n_aa n_aa n_aa
e;24;trim the speech the beat since the truth We speak;t_r_ih_m dh_ah s_p_iy_ch dh_ah b_iy_t s_ih_n_s dh_ah t_r_uw_th w_iy s_p_iy_k
a;8;were gon na break the mold and shake the whole thing So surely theyll fall;w_iy_r g_aa_n n_aa b_r_ey_k dh_iy m_ow_l_d ah_n_d sh_ey_k dh_iy hh_ow_l th_ih_ng s_ow sh_uh_r_l_iy dh_ey_l f_aa_l
f;44;whos that Sweatshop and we shaking your ground;hh_uw_s dh_ae_t s_w_eh_t_sh_aa_p ah_n_d w_iy sh_ey_k_ih_ng y_ao_r g_r_aw_n_d
d;35;pretend to like spot hype and well be alright;p_r_iy_t_eh_n_d t_uw l_ay_k s_p_aa_t hh_ay_p ah_n_d w_iy_l b_iy ao_l_r_ay_t
m;32;and if theyre driven to spin it;ah_n_d ah_f dh_ey_r d_r_ih_v_ah_n t_uw s_p_ih_n ih_t
c;19;because It-S just the way You-Re thinking itll keep our ship sinking;b_ih_k_ao_z ih_t_s jh_ah_s_t dh_ah w_ey y_uh_r th_ih_ng_k_ah_ng ih_t_l k_iy_p aw_r sh_ih_p s_ih_ng_k_ih_ng
b;10;so everybody move over No sir don-t worry at all;s_ow eh_v_r_iy_b_aa_d_iy m_uw_v ow_v_er n_ow s_er d_ow_n_t w_er_iy ae_t ao_l
d;16;and MCs If you decide to push your views aside;ah_n_d  ah_f y_uw d_ah_s_ay_d t_uw p_uh_sh y_ao_r v_y_uw_z ah_s_ay_d
d;52;and industry pythons;ah_n_d ih_n_d_ah_s_t_r_iy p_ay_th_aa_n_z
