Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;7;when were used like a tool and masta was so cruel;w_eh_n w_iy_r y_uw_z_d l_ay_k ah t_uw_l ah_n_d m_ae_s_t_ae w_ah_z s_ow k_r_uw_ah_l
g;18;all of us shinning;ao_l ah_v ah_s sh_ih_n_ih_ng
c;6;i guess we still waiting for our acres and a mule;ay g_eh_s w_iy s_t_ih_l w_ey_t_ih_ng f_ao_r aw_r ey_k_er_z ah_n_d ah m_y_uw_l
b;4;lets tour all the clocks back lets reminisce our past;w_iy_s t_uh_r ao_l dh_ah k_l_aa_k_s b_ae_k w_iy_s r_eh_m_ah_n_ih_s aw_r p_ae_s_t
a;2;modern Utopia a White Utopia;m_aa_d_er_n y_uw_t_ow_p_iy_ah ey w_ay_t y_uw_t_ow_p_iy_ah
e;16;everything shining;eh_v_r_iy_th_ih_ng sh_ay_n_ih_ng
g;14;funny ironic Ive been waking up and living like a king;f_ah_n_iy ay_r_aa_n_ih_k ay_v b_ih_n w_ey_k_ih_ng ah_p ah_n_d l_ih_v_ih_ng l_ay_k ah k_ih_ng
a;3;but the darker your skin youre considered a phobia;b_ah_t dh_iy d_aa_r_k_er y_uh_r s_k_ih_n y_uw_r k_ah_n_s_ih_d_er_d ah f_ow_b_iy_ah
f;21;Martin Luther King Jr-s I Have a Dream Speech;m_aa_r_t_ah_n l_uw_th_er k_ih_ng jh_uw_n_y_er_z ay hh_ae_v ah d_r_iy_m s_p_iy_ch
d;9;just remember each day youre the dream of a slave;jh_ah_s_t r_ih_m_eh_m_b_ax iy_ch d_ey y_uw_r dh_ah d_r_iy_m ah_v ah s_l_ey_v
g;19;black kings;b_l_ae_k k_ih_ng_z
f;15;everything diamond Everything ego;eh_v_r_iy_th_ih_ng d_ay_m_ah_n_d eh_v_r_iy_th_ih_ng iy_g_ow
d;8;our shackles still live they live past the grave;aw_r sh_ae_k_ah_l_z s_t_ih_l l_ay_v dh_ey l_ay_v p_ae_s_t dh_ah g_r_ey_v
g;17;black Kings;b_l_ae_k k_ih_ng_z
b;5;if we turn far enough I bet we have a scarred back;ah_f w_iy t_er_n f_aa_r ah_n_ah_f ay b_eh_t w_iy hh_ae_v ah s_k_aa_r_d b_ae_k
i;13;my mind on perfect;m_ay m_ay_n_d aa_n p_er_f_ih_k_t
e;11;highway Riding Picking up mileage;hh_ay_w_ey r_ay_d_ih_ng p_ih_k_ih_ng ah_p m_ay_l_ah_jh
h;0;produced by THEMPEOPLE and LZ;p_r_ah_d_uw_s_t b_ay  ah_n_d 
f;12;speeding post 9 11 dreams;s_p_iy_d_ih_ng p_ow_s_t ah_ae  d_r_iy_m_z
