Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;8;changing every second fueled by curiosity;ch_ey_n_jh_ih_ng eh_v_er_iy s_eh_k_ah_n_d f_y_uw_ah_l_d b_ay k_y_uh_r_iy_aa_s_ah_t_iy
a;3;changing how we think we about the world today;ch_ey_n_jh_ih_ng hh_aw w_iy th_ih_ng_k w_iy ah_b_aw_t dh_iy w_er_l_d t_uw_d_ey
e;14;learn to walk why even crawl;l_er_n t_uw w_ao_k w_ay iy_v_ah_n k_r_ao_l
c;7;what impresses me the most (is) the speed of technology;w_ah_t ih_m_p_r_eh_s_ah_z m_iy dh_ah m_ow_s_t ih_z dh_ah s_p_iy_d ah_v t_eh_k_n_aa_l_ih_jh_iy
d;10;fight (as) hard (as) you can to realize your dream;f_ay_t ae_z hh_aa_r_d eh_z y_uw k_ah_n t_uw r_ia_l_ay_z y_ao_r d_r_iy_m
d;9;whether youre starting alone or working with a team;w_eh_dh_er y_uw_r s_t_aa_r_t_ih_ng ah_l_ow_n ao_r w_er_k_ih_ng w_ih_dh ah t_iy_m
a;12;each and everyone of us has a role to play;iy_ch ah_n_d eh_v_r_iy_w_ah_n ah_v ah_s hh_ah_z ah r_ow_l t_uw p_l_ey
a;13;theres no time to waste you must start right away;dh_eh_r_s n_ow t_ay_m t_uw w_ey_s_t y_uw m_ah_s_t s_t_aa_r_t r_ay_t ah_w_ey
b;4;in the middle of the desert or deep in the tropic;ih_n_ch dh_iy m_ih_d_ah_l ah_v dh_iy d_ax_z_er_t er d_iy_p ih_n_ch dh_iy t_r_aa_p_ih_k
e;15;act on your ideas no matter how big or small;ae_k_t aa_n y_ao_r ay_d_iy_ah_z n_ow m_ae_t_er hh_aw b_ih_g ao_r s_m_ao_l
b;5;its amazing to think that Startup (is) a topic;ih_t_s ah_m_ey_z_ih_ng t_uw th_ih_ng_k dh_ae_t s_t_aa_r_t_ah_p ih_z ah t_aa_p_ih_k
a;2;all around the globe people pave the way;ao_l er_aw_n dh_iy g_l_ow_b p_iy_p_ah_l p_ey_v dh_iy w_ey
f;0;red Russak;r_eh_d r_ah_s_ah_k
