Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;72;end;eh_n_d
l;31;don-t worry about me Don-T worry about me;d_ow_n_t w_er_iy ah_b_aw_t m_iy d_ow_n_t w_er_iy ah_b_aw_t m_iy
h;46;nothing To say that means theres nothing to do;n_ah_th_ih_ng t_uw s_ey dh_ae_t m_iy_n_z dh_eh_r_z n_ah_th_ih_ng t_uw d_uw
b;17;thats the start to the nightmare;dh_ae_t_s dh_ah s_t_aa_r_t t_uw dh_ah n_ay_t_m_eh_r
a;65;im a renegade;ay_m ah r_eh_n_ah_g_ey_d
c;12;no time for the past In an unwritten saga;n_ow t_ay_m f_ao_r dh_ah p_ae_s_t ih_n ae_n ah_n_r_ih_t_ah_n s_aa_g_ah
o;34;put Grime on a stage near you;p_uh_t g_r_ay_m aa_n ah s_t_ey_jh n_ih_r y_uw
n;69;im Maxsta search it on Google;ay_m M_ae_x_s_t_ax s_er_ch ih_t aa_n 
n;79;im Maxsta search it on Google;ay_m M_ae_x_s_t_ax s_er_ch ih_t aa_n 
l;80;put Grime on a stage near you;p_uh_t g_r_ay_m aa_n ah s_t_ey_jh n_ih_r y_uw
h;78;i Don-T do rules Im like that That-S cool;ay d_ow_n_t d_uw r_uw_l_z ay_m l_ay_k dh_ae_t dh_ae_t_s k_uw_l
e;56;eyes shut tight All you do (is) listen;ay_z sh_ah_t t_ay_t ao_l y_uw d_uw ih_z l_ih_s_ah_n
l;67;don-t worry about me Don-T worry about me;d_ow_n_t w_er_iy ah_b_aw_t m_iy d_ow_n_t w_er_iy ah_b_aw_t m_iy
a;0;im a renegade Im a rebel;ay_m ah r_eh_n_ah_g_ey_d ay_m ah r_eh_b_ah_l
a;81;im a renegade;ay_m ah r_eh_n_ah_g_ey_d
a;76;im a renegade Im a rebel;ay_m ah r_eh_n_ah_g_ey_d ay_m ah r_eh_b_ah_l
o;70;put Grime on a stage near you;p_uh_t g_r_ay_m aa_n ah s_t_ey_jh n_ih_r y_uw
d;62;cos There ain-t one drop getting left in the glass;k_ao_s dh_eh_r ey_n_t w_ah_n d_r_aa_p g_eh_t_ih_ng l_eh_f_t ih_n dh_ah g_l_ae_s
m;16;resist the easy life don-t break the seal;r_ah_z_ih_s_t dh_ah iy_z_iy l_ay_f d_ow_n_t b_r_ey_k dh_ah s_iy_l
l;3;don-t worry about me Don-T worry about me;d_ow_n_t w_er_iy ah_b_aw_t m_iy d_ow_n_t w_er_iy ah_b_aw_t m_iy
a;74;im a renegade x9;ay_m ah r_eh_n_ah_g_ey_d eh_k_s_ae
a;18;life passes by but its always right there;l_ay_f p_ae_s_ah_z b_ay b_ah_t ih_t_s ao_l_w_ey_z r_ay_t dh_eh_r
b;20;live life like a rebel cos This ain-t no timeshare;l_ay_v l_ay_f l_ay_k ah r_eh_b_ah_l k_ao_s dh_ih_s ey_n_t n_ow t_ay_m_sh_eh_r
