Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;38;yo Turbo its on you whatchu wanna do;y_ow t_er_b_ow ih_t_s aa_n y_uw w_ah_t_ch_uw w_aa_n_ah d_uw
d;17;this (is) lifestyle;dh_ih_s ih_z l_ay_f_s_t_ay_l
m;15;always got some weed (as) long (as) I got some pants on;ao_l_w_ey_z g_aa_t s_ah_m w_iy_d ae_z l_ao_ng ae_z ay g_aa_t s_ah_m p_ae_n_t_s aa_n
b;8;i got these problems pressing to my head like chrome;ay g_aa_t dh_iy_z p_r_aa_b_l_ah_m_z p_r_eh_s_ih_ng t_uw m_ay hh_eh_d l_ay_k k_r_ow_m
h;59;i stay with eating Hawks like Alonzo;ay s_t_ey w_ih_dh iy_t_ih_ng hh_ao_k_s l_ay_k ah_l_aa_n_z_ow
l;13;i step in the stu and then I transform;ay s_t_eh_p ih_n dh_ah s_t_uw ah_n_d dh_eh_n ay t_r_ae_n_s_f_ao_m
f;33;on the fast track homie pass that;aa_n dh_ah f_ae_s_t t_r_ae_k hh_ao_m_iy_ax p_ae_s dh_ae_t
f;65;no defense I always attack;n_ow d_ah_f_eh_n_s ay ao_l_w_ey_z ah_t_ae_k
a;4;whatever party-s over tell the rest of the crew;w_ah_t_eh_v_er p_aa_r_t_iy_z ow_v_er t_eh_l dh_ah r_eh_s_t ah_v dh_ah k_r_uw
p;47;underrated but your overhyped;ah_n_d_er_r_ey_t_ah_d b_ah_t y_ao_r ow_v_er_ha_hh_ay_p_t
e;22;i need a rap I need a voucher;ay n_iy_d ah r_ae_p ay n_iy_d ah v_aw_ch_er
a;0;whatever party-s over tell the rest of the crew;hh_w_ah_t_eh_v_er p_aa_r_t_iy_z ow_v_er t_eh_l dh_iy r_eh_s_t ah_v dh_iy k_r_uw
a;40;ayo Thought man its on you whatchu wanna do;ey_ow th_ao_t m_ae_n ih_t_s aa_n y_uw w_ah_t_ch_uw w_aa_n_ah d_uw
c;10;im a youngin on the streets in rare form;ay_m ah y_ah_n_jh_ih_n aa_n dh_ah s_t_r_iy_t_s ih_n r_eh_r f_ao_r_m
a;1;yo Turbo its on you whatchu wanna do;y_ow t_er_b_ow ih_t_s aa_n y_uw w_ah_t_ch_uw w_aa_n_ah d_uw
h;56;hear that 808 bongo;hh_ih_r dh_ae_t  b_aa_ng_g_ow
e;31;getting payment by the hour;g_eh_t_ih_ng p_ey_m_ah_n_t b_ay dh_ah aw_er
m;14;im hands on;ay_m hh_ae_n_d_z aa_n
e;25;light it up and hit the powder;l_ay_t ih_t ah_p ah_n_d hh_ih_t dh_ah p_aw_d_er
e;23;turbo turn my music louder;t_er_b_ow t_er_n m_ay m_y_uw_z_ih_k l_aw_d_er
b;53;no John though;n_ow jh_aa_n dh_ow
e;32;stepping out in Eddie Bauer;s_t_eh_p_ih_ng aw_t ih_n eh_d_iy b_aw_er
b;7;just when I thought I was alone;jh_ah_s_t w_eh_n ay th_ao_t ay w_ah_z ah_l_ow_n
o;34;we making them classics until we get where the cash at;w_iy m_ey_k_ih_ng dh_eh_m k_l_ae_s_ih_k_s ah_n_t_ih_l w_iy g_eh_t w_eh_r dh_ah k_ae_sh ae_t
a;3;yo Spiz its on you whatchu wanna do;y_ow S_p_iy_z ih_t_s aa_n y_uw w_ah_t_ch_uw w_aa_n_ah d_uw
b;9;ain-t no use in going home;ey_n_t n_ow y_uw_s ih_n g_ow_ih_ng hh_ow_m
g;46;leave you with a limp and a overbite;l_iy_v y_uw w_ih_dh ah l_ih_m_p ah_n_d ah ow_v_er_b_ay_t
a;41;whatever party-s over tell the rest of the crew;w_ah_t_eh_v_er p_aa_r_t_iy_z ow_v_er t_eh_l dh_ah r_eh_s_t ah_v dh_ah k_r_uw
e;28;im filthy bitch I need a shower;ay_m f_ih_l_th_iy b_ih_ch ay n_iy_d ah sh_aw_er
a;37;whatever party-s over tell the rest of the crew;w_ah_t_eh_v_er p_aa_r_t_iy_z ow_v_er t_eh_l dh_ah r_eh_s_t ah_v dh_ah k_r_uw
e;27;ill grab your face with my hand like Im Dwight Howard;ay_l g_r_ae_b y_ao_r f_ey_s w_ih_dh m_ay hh_ae_n_d l_ay_k ay_m d_w_ay_t hh_aw_er_d
d;19;look at the kid and I might smile;l_uh_k ae_t dh_ah k_ih_d ah_n_d ay m_ay_t s_m_ay_l
e;30;and when I need an escape I hit the flowers;ah_n_d w_eh_n ay n_iy_d ae_n ah_s_k_ey_p ay hh_ih_t dh_ah f_l_aw_er_z
f;66;but even your shadow leaves your back when its black;b_ah_t iy_v_ah_n y_ao_r sh_ae_d_ow l_iy_v_z y_ao_r b_ae_k w_eh_n ih_t_s b_l_ae_k
b;55;no Vuitton though;n_ow v_uw_t_ah_n dh_ow
g;48;all gold but I didn-t make it overnight;ao_l g_ow_l_d b_ah_t ay d_ih_d_n_t m_ey_k ih_t ow_v_er_n_ay_t
o;45;can-t feel your fingertips not even in the sunlight;k_ae_n_t f_iy_l y_ao_r f_ih_ng_g_er_t_ih_p_s n_ax_t iy_v_ah_n ih_n dh_ah s_ah_n_l_ay_t
c;16;ain-t another sad song;ey_n_t ah_n_ah_dh_er s_ae_d s_ao_ng
a;12;from now on Im staying hot no more lukewarm;f_r_ah_m n_aw aa_n ay_m s_t_ey_ih_ng hh_aa_t n_ow m_ao_r l_uw_k_w_ao_r_m
f;52;i missed my exit I realized after;ay m_ih_s_t m_ay eh_g_z_ah_t ay r_ia_l_ay_z_d ae_f_t_er
n;20;they say you got a grin about you;dh_ey s_ey y_uw g_aa_t ah g_r_ih_n ah_b_aw_t y_uw
f;69;they always clap and thats that;dh_ey ao_l_w_ey_z k_l_ae_p ah_n_d dh_ae_t_s dh_ae_t
h;60;got your girl paying rent on my condo;g_aa_t y_ao_r g_er_l p_ey_ih_ng r_eh_n_t aa_n m_ay k_aa_n_d_ow
i;62;hit them with all types of nouns and verbs;hh_ih_t dh_eh_m w_ih_dh ao_l t_ay_p_s ah_v n_aw_n_z ah_n_d v_er_b_z
i;63;i use twice the words;ay y_uw_s t_w_ay_s dh_ah w_er_d_z
a;71;whatever party-s over tell the rest of the crew;w_ah_t_eh_v_er p_aa_r_t_iy_z ow_v_er t_eh_l dh_ah r_eh_s_t ah_v dh_ah k_r_uw
e;26;im just kidding but Im not a coward;ay_m jh_ah_s_t k_ih_d_ih_ng b_ah_t ay_m n_ax_t ah k_aw_er_d
