Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;1;youre gonna start seeing some shit;y_uw_r g_aa_n_ah s_t_aa_r_t s_iy_ih_ng s_ah_m sh_iy_t
c;6;youre in my mind like Im back to school;y_uw_r ih_n_ch m_ay m_ay_n_d l_ay_k ay_m b_ae_k t_uw s_k_uw_l
d;12;playing with you (is) like playing with a gun;p_l_ey_ih_ng w_ih_dh y_uw ih_z l_ay_k p_l_ey_ih_ng w_ah_dh ah g_ah_n
f;31;nothing else could make me feel like this;n_ah_th_ih_ng eh_l_s k_uh_d m_ey_k m_iy f_iy_l l_ay_k dh_ih_s
i;35;you and I were chosen through fate;y_uw ah_n_d ay w_er ch_ow_z_ah_n th_r_uw f_ey_t
h;27;to be with you makes my whole life drawn;t_uw b_iy w_ih_dh y_uw m_ey_k_s m_ay hh_ow_l l_ay_f d_r_ao_n
i;34;the right time mood and I picked the place;dh_ah r_ay_t t_ay_m m_uw_d ah_n_d ay p_ih_k_t dh_ah p_l_ey_s
h;26;but its nature baby like dusk and dawn;b_ah_t ih_t_s n_ey_ch_er b_ey_b_iy l_ay_k d_ah_s_k ah_n_d d_ao_n
b;2;just let it happen;jh_ah_s_t l_eh_t ih_t hh_ae_p_ah_n
e;19;you and me forever Im hoping;y_uw ah_n_d m_iy f_er_eh_v_er ay_m hh_ow_p_ih_ng
g;21;nothing could ever keep us apart;n_ah_th_ih_ng k_uh_d eh_v_er k_iy_p ah_s ah_p_aa_r_t
n;10;went to level five then went back to one;w_eh_n_t t_uw l_eh_v_ah_l f_ay_v dh_eh_n w_eh_n_t b_ae_k t_uw w_ah_n
o;18;you can drive destination you control it;y_uw k_ah_n d_r_ay_v d_eh_s_t_ah_n_ey_sh_ah_n y_uw k_ah_n_t_r_ow_l ih_t
m;8;ive known ya for life but only once Ive met you;ay_v n_ow_n y_aa f_ao_r l_ay_f b_ah_t ow_n_l_iy w_ah_n_s ay_v m_eh_t y_uw
g;24;guide me baby you are now my North Star;g_ay_d m_iy b_ey_b_iy y_uw aa_r n_aw m_ay n_ao_r_th s_t_aa_r
i;33;for us Ive planned a special date;f_ao_r ah_s ay_v p_l_ae_n_d ah s_p_eh_sh_ah_l d_ey_t
c;7;learnin bout you (is) nothing new;l_er_n_iy_n b_aw_t y_uw ih_z n_ah_th_ih_ng n_y_uw
g;23;you make my world full of color and art;y_uw m_ey_k m_ay w_er_l_d f_uh_l ah_v k_ah_l_er ah_n_d aa_r_t
a;0;yo eat these;y_ow iy_t dh_iy_z
d;37;uhn;ah_n
d;11;square one ya raid my brain for fun;s_k_w_eh_r w_ah_n y_aa r_ey_d m_ay b_r_ey_n f_ao_r f_ah_n
b;3;just let it happen;jh_ah_s_t l_eh_t ih_t hh_ae_p_ah_n
e;13;when I got you the world I control;w_eh_n ay g_aa_t y_uw dh_ah w_er_l_d ay k_ah_n_t_r_ow_l
f;29;i got you in my sights and I start to trip;ay g_aa_t y_uw ih_n m_ay s_ay_t_s ah_n_d ay s_t_aa_r_t t_uw t_r_ih_p
g;25;to be with you means to break the law;t_uw b_iy w_ih_dh y_uw m_iy_n_z t_uw b_r_ey_k dh_ah l_aa
d;9;its crazy how weve only met once;ih_t_s k_r_ey_z_iy hh_aw w_iy_v ow_n_l_iy m_eh_t w_ah_n_s
h;28;lets run away girl tonight we gone;w_iy_s r_ah_n ah_w_ey g_er_l t_ah_n_ay_t w_iy g_ao_n
f;17;hop in my trap we can make a road trip;hh_aa_p ih_n m_ay t_r_ae_p w_iy k_ah_n m_ey_k ah r_ow_d t_r_ih_p
c;36;i even see you when I hallucinate;ay iy_v_ah_n s_iy y_uw w_eh_n ay hh_ah_l_uw_s_ah_n_ey_t
g;22;youre meant me for me girl I feel it in my heart;y_uw_r m_eh_n_t m_iy f_ao_r m_iy g_er_l ay f_iy_l ih_t ih_n m_ay hh_aa_r_t
e;20;whenever you come back Ive got arms wide open;w_eh_n_eh_v_er y_uw k_ah_m b_ae_k ay_v g_aa_t aa_r_m_z w_ay_d ow_p_ah_n
e;15;your presence simply makes time slow;y_ao_r p_r_eh_z_ah_n_s s_ih_m_p_l_iy m_ey_k_s t_ay_m s_l_ow
l;5;wassup baby girl youre all natural;w_ah_s_uw_p b_ey_b_iy g_er_l y_uw_r ao_l n_ae_ch_r_ax_l
e;14;living with you I am God mode;l_ih_v_ih_ng w_ih_dh y_uw ay ae_m g_aa_d m_ow_d
e;16;i honestly hope our relationship grows;ay aa_n_ah_s_t_l_iy hh_ow_p aw_r r_iy_l_ey_sh_ah_n_sh_ih_p g_r_ow_z
p;30;you are so gorgeous that ya make me nervous;y_uw aa_r s_ow g_ao_r_jh_ah_s dh_ae_t y_aa m_ey_k m_iy n_er_v_ah_s
f;32;youre one of a breed thats hard to miss;y_uw_r w_ah_n ah_v ah b_r_iy_d dh_ae_t_s hh_aa_r_d t_uw m_ih_s
