Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
i;48;my young bitch here fine like;m_ay y_ah_ng b_ih_ch hh_ih_r f_ay_n l_ay_k
f;52;cause if they don-t somebody get shot;k_aa_z ah_f dh_ey d_ow_n_t s_ah_m_b_aa_d_iy g_eh_t sh_aa_t
f;46;often Im smoking coughing;ao_f_ah_n ay_m s_m_ow_k_ih_ng k_aa_f_ih_ng
b;14;under your bed Im here growling;ah_n_d_er y_ao_r b_eh_d ay_m hh_ih_r g_r_ow_l_ih_ng
f;62;or a nun in a cum shot;er ey n_ah_n ih_n_ch ey k_ah_m sh_aa_t
a;59;in a urn or the dirt get tossed in;ih_n_ch ey er_n er dh_iy d_er_t g_eh_t t_ao_s_t ih_n_ch
l;67;you failed it seems the world can-t be saved;y_uw f_ey_l_d ih_t s_iy_m_z dh_ah w_er_l_d k_ae_n_t b_iy s_ey_v_d
l;37;and the crowd chants Get that paper;ah_n_d dh_iy k_r_aw_d ch_ae_n_t_s g_eh_t dh_ah_t p_ey_p_er
f;9;we got beat that weak shit you got;w_iy g_aa_t b_iy_t dh_ah_t w_iy_k sh_iy_t y_uw g_aa_t
e;8;i don-t wanna be unfair but the pair;ay d_ow_n w_aa_n_ah b_iy ao_n_f_eh_r b_ah_t dh_iy p_eh_r
i;20;we often smile at sights of violence;w_iy ao_f_ah_n s_m_ay_l ae_t s_ay_t_s ah_v v_ay_ah_l_ah_n_s
f;10;blew up the spot with that new bop;b_l_uw ah_p dh_iy s_p_aa_t w_ah_dh dh_ah_t n_y_uw b_aa_p
c;69;that starve for the week so they after the weak;dh_ae_t s_t_aa_r_v f_ao_r dh_ah w_iy_k s_ow dh_ey ae_f_t_er dh_ah w_iy_k
f;64;big beast in a cage with a heart;b_ih_g b_iy_s_t ih_n_ch ey k_ey_jh w_ah_dh ey hh_aa_r_t
g;31;i put the pistol on that poodle;ay p_uh_t dh_ah p_ih_s_t_ah_l aa_n dh_ae_t p_uw_d_ah_l
p;51;ay Jackie Brown just stay up off me;ey jh_ae_k_iy b_r_aw_n jh_ah_s_t s_t_ey ah_p ao_f m_iy
f;60;with a grin or a smirk get accosted;w_ah_dh ey g_r_ih_n er ey s_m_er_k g_eh_t ah_k_aa_s_t_ah_d
d;7;it (is) out of my control you are shit out of luck;ih_t ih_z aw_t ah_v m_ay k_ah_n_t_r_ow_l y_uw aa_r sh_iy_t aw_t ah_v l_ah_k
h;13;sounds I make are the sounds of the hounds that are howling;s_aw_n_d_z ay m_ey_k aa_r dh_ah s_aw_n_d_z ah_v dh_ah hh_aw_n_d_z dh_ae_t aa_r hh_aw_l_ih_ng
b;1;these motherfuckers all thorn no rose;dh_iy_z m_ao_th_eh_r_f_uw_k_k_ax_r_s ao_l th_ao_r_n n_ow r_ow_z
c;30;and I won-t give up shit;ah_n_d ay w_ow_n_t g_ih_v ah_p sh_iy_t
n;70;in a land full of lambs I am;ih_n ah l_ae_n_d f_uh_l ah_v l_ae_m_z ay ae_m
f;56;get a crowd to they feet and a soul to its options;g_eh_t ah k_r_aw_d t_uw dh_ey f_iy_t ah_n_d ah s_ow_l t_uw ih_t_s aa_p_sh_ah_n_z
m;58;to be loud while these other cats drowning in softness;t_ah b_iy l_aw_d w_ay_l dh_iy_z ah_dh_er k_ae_t_s d_r_aw_n_ih_ng ih_n_ch s_ao_f_t_n_ah_s
l;55;with the pull of a pin a grenade;w_ih_dh dh_ah p_uh_l ah_v ah p_ih_n ah g_r_ah_n_ey_d
c;2;egads what a bad dream better not sleep;er_g_a_d_s hh_w_ah_t ey b_ae_d d_r_iy_m b_eh_t_er n_ax_t s_l_iy_p
l;41;get a tin foil hat for the raining;g_eh_t ah t_ih_n f_oy_l hh_ae_t f_ao_r dh_ah r_ey_n_ih_ng
g;11;crew drops do up ya squad without nuance;k_r_uw d_r_aa_p_s d_uw ah_p y_aa s_k_w_aa_d w_ih_th_aw_t n_uw_aa_n_s
g;34;run the jewels;r_ah_n dh_ah jh_uw_ah_l_z
g;23;so when we say run the jewels;s_ow w_eh_n w_iy s_ey r_ah_n dh_ah jh_uw_ah_l_z
t;49;pam Grier when she made that movie Coffy;p_ae_m g_r_ay_er w_eh_n sh_iy m_ey_d dh_ae_t m_uw_v_iy C_oh_f_ax
n;12;i don-t wanna sound unkind but the;ay d_ow_n_t w_aa_n_ah s_aw_n_d ah_n_k_ay_n_d b_ah_t dh_ah
q;29;she clutched the pearls said What in the world;sh_iy k_l_ah_ch_t dh_ah p_er_l_z s_eh_d w_ah_t ih_n dh_ah w_er_l_d
d;5;its alive and its hungry (as) fuck;ih_t_s ah_l_ay_v ah_n_d ih_t_s hh_ah_ng_g_r_iy ae_z f_ah_k
l;42;hot water from the roof to the basement;hh_aa_t w_ao_t_er f_r_ah_m dh_ah r_uw_f t_uw dh_ah b_ey_s_m_ah_n_t
i;18;concrete showers in Rikers Island;k_ah_n_k_r_iy_t sh_aw_er_z ih_n r_ay_k_er_z ay_l_ah_n_d
