Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;2;leave the rest of my remains stuffed in side of a fridge my mind (is) just;l_iy_v dh_ah r_eh_s_t ah_v m_ay r_ih_m_ey_n_z s_t_ah_f_t ih_n s_ay_d ah_v ah f_r_ih_jh m_ay m_ay_n_d ih_z jh_ah_s_t
e;5;set still cut my limbs off you should donate them to charidy apparently I;s_eh_t s_t_ih_l k_ah_t m_ay l_ih_m_z ao_f y_uw sh_uh_d d_ow_n_ey_t dh_eh_m t_uw ch_aa_r_iy_d_y ah_p_eh_r_ah_n_t_l_iy ay
e;30;require lacin Fuck hospitalization if your tonsils get pulled until it pop I;r_ih_k_w_ay_ax l_ae_k_iy_n f_ah_k hh_aa_s_p_ah_t_ah_l_ah_z_ey_sh_ah_n ah_f y_ao_r t_aa_n_s_ah_l_z g_eh_t p_uh_l_d ah_n_t_ih_l ih_t p_aa_p ay
b;7;inside of my face I know I might be insane but you should light me in;ih_n_s_ay_d ah_v m_ay f_ey_s ay n_ow ay m_ay_t b_iy ih_n_s_ey_n b_ah_t y_uw sh_uh_d l_ay_t m_iy ih_n
d;36;stupid hating on my rapid regeneration I have a twin in this mutant nation;s_t_uw_p_ah_d hh_ey_t_ih_ng aa_n m_ay r_ae_p_ah_d r_iy_jh_eh_n_er_ey_sh_ah_n ay hh_ae_v ah t_w_ih_n ih_n dh_ih_s m_y_uw_t_ah_n_t n_ey_sh_ah_n
a;27;incineration erase Pluto off our planet-s nations can it like 6 packs get;ih_n_s_ih_n_er_ey_sh_ah_n ih_r_ey_s_ah p_l_uw_t_ow ao_f aw_r p_l_ae_n_ah_t_s n_ey_sh_ah_n_z k_ah_n ih_t l_ay_k ah_ae p_ae_k_s g_eh_t
o;19;the wickedness and viciousness (is) infinite Im insignificant Im;dh_ah w_ih_k_ah_d_n_ah_s ah_n_d v_ih_sh_ah_s_n_ah_s ih_z ih_n_f_ah_n_ah_t ay_m ih_n_s_ih_g_n_y_ih_f_ih_k_ah_n_t ay_m
e;33;concentration Ima winner of a product creation control time (as) my soul fly I;k_aa_n_s_ah_n_t_r_ey_sh_ah_n I_m_ae w_ih_n_er ah_v ah p_r_aa_d_ah_k_t k_r_iy_ey_sh_ah_n k_ah_n_t_r_ow_l t_ay_m ae_z m_ay s_ow_l f_l_ay ay
n;17;yard wickedness has taken my heart afraid of my shadow Im afraid of the;y_aa_r_d w_ih_k_ah_d_n_ah_s hh_ah_z t_ey_k_ah_n m_ay hh_aa_r_t ah_f_r_ey_d ah_v m_ay sh_ae_d_ow ay_m ah_f_r_ey_d ah_v dh_ah
d;12;self mutilation I seen though the ages But though the hard times I prevailed;s_eh_l_f m_y_uw_t_ah_l_ey_sh_ah_n ay s_iy_n dh_ow dh_ah ey_jh_ah_z b_ah_t dh_ow dh_iy hh_aa_r_d t_ay_m_z ay p_r_ih_v_ey_l_d
b;26;ruthless its proven inflation (is) place where your final trace face this;r_uw_th_l_ah_s ih_t_s p_r_uw_v_ah_n ih_n_f_l_ey_sh_ah_n ah_z p_l_ey_s w_eh_r y_ao_r f_ay_n_ah_l t_r_ey_s f_ey_s dh_ih_s
q;34;swing nunchucks like the matrix in own mind Lets librate ima gorilla with;s_w_ih_ng n_ah_n_ch_ah_k_s l_ay_k dh_ah m_ey_t_r_ih_k_s ih_n ow_n m_ay_n_d l_eh_t_s l_ih_b_r_ey_t ih_m_ah g_er_ih_l_ah w_ih_dh
p;29;and vanish masons this knife I will slit back your neck hit splat and;ah_n_d v_ae_n_ih_sh m_ey_s_ah_n_z dh_ih_s n_ay_f ay w_ah_l s_l_ih_t b_ae_k y_ao_r n_eh_k hh_ih_t s_p_l_ae_t ah_n_d
b;18;dark you better listen to every word I say in these bars my wig (is) split;d_aa_r_k y_uw b_eh_t_er l_ih_s_ah_n t_uw eh_v_er_iy w_er_d ay s_ey ih_n dh_iy_z b_aa_r_z m_ay w_ih_g ih_z s_p_l_ih_t
m;14;take it;t_ey_k ih_t
a;3;sick Im bout to stick a knife in my ribs Im (likin-) thinkin murder death;s_ih_k ay_m b_aw_t t_uw s_t_ih_k ah n_ay_f ih_n m_ay r_ih_b_z ay_m l_ih_k_ih_n_eh th_ih_ng_k_ah_n m_er_d_er d_eh_th
n;16;when this grenades gonna spark my bodies mutilated apart (as) it lays in the;w_eh_n dh_ih_s g_r_ah_n_ey_d_z g_aa_n_ah s_p_aa_r_k m_ay b_aa_d_iy_z m_y_uw_t_ah_l_ey_t_ah_d ah_p_aa_r_t ae_z ih_t l_ey_z ih_n dh_ah
d;22;self mutilation I seen though the ages But though the hard times I prevailed;s_eh_l_f m_y_uw_t_ah_l_ey_sh_ah_n ay s_iy_n dh_ow dh_ah ey_jh_ah_z b_ah_t dh_ow dh_ah hh_aa_r_d t_ay_m_z ay p_r_ih_v_ey_l_d
l;9;bad with my knife attached I want my spine to crack (as) this whole amount of;b_ae_d w_ih_dh m_ay n_ay_f ah_t_ae_ch_t ay w_aa_n_t m_ay s_p_ay_n t_uw k_r_ae_k ae_z dh_ih_s hh_ow_l ah_m_aw_n_t ah_v
g;4;kill poppin percocet pills never never been normal or ever had the urge to;k_ih_l p_aa_p_ih_n p_eh_r_k_o_s_e_t p_ih_l_z n_eh_v_er n_eh_v_er b_ih_n n_ao_r_m_ah_l ao_r eh_v_er hh_ae_d dh_ah er_jh t_uw
i;8;flames Im dyin fast you can see the giant gash inside side of my eye its;f_l_ey_m_z ay_m d_ay_iy_n f_ae_s_t y_uw k_ah_n s_iy dh_ah jh_ay_ah_n_t g_ae_sh ih_n_s_ay_d s_ay_d ah_v m_ay ay ih_t_s
m;24;take it;t_ey_k ih_t
e;0;slicin my wrist I wanna die in a ditch I wish I don-t exist I wanna lie;s_l_ay_iy_n m_ay r_ih_s_t ay w_aa_n_ah d_ay ih_n_ch ey d_ih_ch ay w_ih_sh ay d_ow_n ih_g_z_ih_s_t ay w_aa_n_ah l_ay
h;6;need therapy this (is) scarin me I wanna bite a grenade and stuff it down;n_iy_d th_eh_r_ah_p_iy dh_ih_s ih_z s_k_ae_r_ih_n m_iy ay w_aa_n_ah b_ay_t ah g_r_ah_n_ey_d ah_n_d s_t_ah_f ih_t d_aw_n
b;20;(dismemberin-) at the end of this;d_ih_s_m_eh_m_b_er_iy_n_eh ae_t dh_ah eh_n_d ah_v dh_ih_s
e;37;for this self multination;f_ao_r dh_ih_s s_eh_l_f m_ah_l_t_iy_n_ey_sh_ah_n
g;35;killer traits let my style escalate invading your fucking state You;k_ih_l_er t_r_ey_t_s l_eh_t m_ay s_t_ay_l eh_s_k_ah_l_ey_t ih_n_v_ey_d_ih_ng y_ao_r f_ah_k_ih_ng s_t_ey_t y_uw
c;28;smack mis match wit raps I spit crack to damage Jason With that I rip tracks;s_m_ae_k m_ih_s m_ae_ch w_ih_t r_ae_p_s ay s_p_ih_t k_r_ae_k t_uw d_ae_m_ah_jh jh_ey_s_ah_n w_ih_dh dh_ae_t ay r_ih_p t_r_ae_k_s
a;1;with the fish and whenever the timing (is) quick Ill be grinded to bits then;w_ah_dh dh_iy f_ih_sh ah_n_d hh_w_eh_n_eh_v_er dh_iy t_ay_m_ih_ng ah_z k_w_ih_k ay_l b_iy g_r_ih_n_d_b t_uw b_ih_t_s dh_eh_n
n;31;will drop your top like a low rider configuration Now my demonstrations (is) a;w_ah_l d_r_aa_p y_ao_r t_aa_p l_ay_k ah l_ow r_ay_d_er k_ah_n_f_ih_g_y_er_ey_sh_ah_n n_aw m_ay d_eh_m_ah_n_s_t_r_ey_sh_ah_n_z ih_z ah
b;32;process of bomb threats from terrorists inflicting terror on your inner;p_r_aa_s_eh_s ah_v b_aa_m th_r_eh_t_s f_r_ah_m t_eh_r_ax_r_ih_s_t_s ih_n_f_l_ih_k_t_ih_ng t_eh_r_er aa_n y_ao_r ih_n_er
c;10;time has passed;t_ay_m hh_ah_z p_ae_s_t
g;13;to the greatness It made me the greatest But you all thought I was crazy to;t_uw dh_ah g_r_ey_t_n_ah_s ih_t m_ey_d m_iy dh_ah g_r_ey_t_ah_s_t b_ah_t y_uw ao_l th_ao_t ay w_ah_z k_r_ey_z_iy t_uw
g;23;to the greatness It made me the greatest But you all thought I was crazy to;t_uw dh_ah g_r_ey_t_n_ah_s ih_t m_ey_d m_iy dh_ah g_r_ey_t_ah_s_t b_ah_t y_uw ao_l th_ao_t ay w_ah_z k_r_ey_z_iy t_uw
