Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;18;alright;ao_l_r_ay_t
i;12;open up your mouth where you want to go;ow_p_ah_n ah_p y_ao_r m_aw_th w_eh_r y_uw w_aa_n_t t_uw g_ow
e;0;i saw it;ay s_ao ah_t
l;17;slip down open over such smallity;s_l_ih_p d_aw_n ow_p_ah_n ow_v_er s_ah_ch s_m_ao_l_iy_t_y
f;2;but no one;b_ah_t n_ow w_ah_n
a;6;nature walking racket wall of guns sent straight out;n_ey_ch_er w_ao_k_ih_ng r_ae_k_ah_t w_ao_l ah_v g_ah_n_z s_eh_n_t s_t_r_ey_t aw_t
a;3;was around;w_ah_z er_aw_n_d
a;1;hit the ground;hh_ih_t dh_iy g_r_aw_n_d
g;7;(as) you;ae_z y_uw
b;10;important to the soil to make ladders;ih_m_p_ao_r_t_ah_n_t t_uw dh_ah s_oy_l t_uw m_ey_k l_ae_d_er_z
b;9;there were ticking bloody watches in our hands;dh_eh_r w_er t_ih_k_ih_ng b_l_ah_d_iy w_aa_ch_ah_z ih_n aw_r hh_ae_n_d_z
c;13;i can hardly recognize the shapes;ay k_ah_n hh_aa_r_d_l_iy r_eh_k_ah_g_n_ay_z dh_ah sh_ey_p_s
c;14;the shapes;dh_ah sh_ey_p_s
g;4;can you even tell me that no one (is) the same (as) you;k_ah_n y_uw iy_v_ah_n t_eh_l m_iy dh_ae_t n_ow w_ah_n ih_z dh_ah s_ey_m ae_z y_uw
g;5;same (as) you;s_ey_m ae_z y_uw
d;15;wandering through Chinatown once times every artificial need;w_aa_n_d_er_ih_ng th_r_uw ch_ay_n_ah_t_aw_n w_ah_n_s t_ay_m_z eh_v_er_iy aa_r_t_ah_f_ih_sh_ah_l n_iy_d
h;11;have another heart attack before the marked chairs;hh_ae_v ah_n_ah_dh_er hh_aa_r_t ah_t_ae_k b_ah_f_ao_r dh_ah m_aa_r_k_t ch_eh_r_z
d;16;artificial need;aa_r_t_ah_f_ih_sh_ah_l n_iy_d
g;8;(as) you;ae_z y_uw
