Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;22;some folks float some are buried alive;s_ah_m f_ow_k_s f_l_ow_t s_ah_m aa_r b_eh_r_iy_d ah_l_ay_v
a;6;some ghosts sink some will get called to the light;s_ah_m g_ow_s_t_s s_ih_ng_k s_ah_m w_ah_l g_eh_t k_ao_l_d t_uw dh_ah l_ay_t
a;18;theyre waiting for something thatll never arrive;dh_ey_r w_ey_t_ih_ng f_ao_r s_ah_m_th_ih_ng dh_ae_t_l n_eh_v_er er_ay_v
b;4;there (is) an awful sound this haunted town;dh_eh_r ih_z ae_n aa_f_ah_l s_aw_n_d dh_ih_s hh_ao_n_ah_d t_aw_n
a;25;where were chain chain chain chain chained to the light;w_eh_r w_iy_r ch_ey_n ch_ey_n ch_ey_n ch_ey_n ch_ey_n_d t_uw dh_ah l_ay_t
a;0;i keep my head up tight I make my plans at night;ay k_iy_p m_ay hh_eh_d ah_p t_ay_t ay m_ey_k m_ay p_l_ae_n_z ae_t n_ay_t
c;28;you know our hearts beat time out very slowly;y_uw n_ow aw_r hh_aa_r_t_s b_iy_t t_ay_m aw_t v_eh_r_iy s_l_ow_l_iy
a;21;and I don-t sleep I don-t sleep I don-t sleep til its light;ah_n_d ay d_ow_n_t s_l_iy_p ay d_ow_n_t s_l_iy_p ay d_ow_n_t s_l_iy_p t_ih_l ih_t_s l_ay_t
a;26;thats fine our blood (is) alive;dh_ae_t_s f_ay_n aw_r b_l_ah_d ih_z ah_l_ay_v
a;30;theyre waiting for something thatll never arrive;dh_ey_r w_ey_t_ih_ng f_ao_r s_ah_m_th_ih_ng dh_ae_t_l n_eh_v_er er_ay_v
a;13;and Im content Im content Im content to be quiet;ah_n_d ay_m k_ax_n_t_eh_n ay_m k_ax_n_t_eh_n ay_m k_ax_n_t_eh_n t_uw b_iy k_w_ay_ah_t
a;17;you know our hearts beat time;y_uw n_ow aw_r hh_aa_r_t_s b_iy_t t_ay_m
a;20;i keep my head up tight I make my plans at night;ay k_iy_p m_ay hh_eh_d ah_p t_ay_t ay m_ey_k m_ay p_l_ae_n_z ae_t n_ay_t
a;10;and thats fine Im barely alive;ah_n_d dh_ae_t_s f_ay_n ay_m b_eh_r_l_iy ah_l_ay_v
a;2;some folks float some are buried alive;s_ah_m f_ow_k_s f_l_ow_t s_ah_m aa_r b_eh_r_iy_d ah_l_ay_v
a;1;and I don-t sleep I don-t sleep I don-t sleep til its light;ah_n_d ay d_ow_n s_l_iy_p ay d_ow_n s_l_iy_p ay d_ow_n s_l_iy_p t_ih_l ih_t_s l_ay_t
c;16;you know our hearts beat time out very slowly;y_uw n_ow aw_r hh_aa_r_t_s b_iy_t t_ay_m aw_t v_eh_r_iy s_l_ow_l_iy
a;29;you know our hearts beat time;y_uw n_ow aa_r hh_aa_r_t_s b_iy_t t_ay_m
d;24;with our little boots we built another world;w_ih_dh aw_r l_ih_t_ah_l b_uw_t_s w_iy b_ih_l_t ah_n_ah_dh_er w_er_l_d
a;5;it will not it will not it will not just be quiet;ih_t w_ah_l n_ax_t ih_t w_ah_l n_ax_t ih_t w_ah_l n_ax_t jh_ah_s_t b_iy k_w_ay_ah_t
a;12;its just a matter of time no one gets out alive;ih_t_s jh_ah_s_t ah m_ae_t_er ah_v t_ay_m n_ow w_ah_n g_eh_t_s aw_t ah_l_ay_v
a;14;some will sink some will get called to the light;s_ah_m w_ah_l s_ih_ng_k s_ah_m w_ah_l g_eh_t k_ao_l_d t_uw dh_ah l_ay_t
b;8;i spend boring hours in the office tower;ay s_p_eh_n_d b_ao_r_ih_ng aw_er_z ih_n dh_ah ao_f_ah_s t_aw_er
d;9;in a bus on a bus back home to you;ih_n ah b_ah_s aa_n ah b_ah_s b_ae_k hh_ow_m t_uw y_uw
