Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
m;16;but I feel it;b_ah_t ay f_iy_l ah_t
m;30;under the moonlight;ah_n_d_er dh_ah m_uw_n_l_ay_t
c;21;we were scarred hearts;w_iy w_er s_k_aa_r_d hh_aa_r_t_s
l;9;in a moment;ih_n_ch ey m_ow_m_ah_n_t
n;20;behind closed doors;b_ah_hh_ay_n_d k_l_ow_z_d d_ao_r_z
m;18;we would play out;w_iy w_uh_d p_l_ey aw_t
h;8;bad;b_ae_d
c;22;always watching;ao_l_w_ey_z w_aa_ch_ih_ng
h;14;and shatter all inside;ah_n_d sh_ae_t_er ao_l ih_n_s_ay_d
b;3;your love;y_uh_r l_ah_v
e;31;i pray for your;ay p_r_ey f_ao_r y_ao_r
a;24;shoot a bullet;sh_uw_t ah b_uh_l_ah_t
b;19;love sharade but;l_ah_v sh_aa_d_er b_ah_t
o;27;you conceale it;y_uw k_ah_n_s_iy_l ih_t
i;6;we;w_iy
d;29;all the time;ao_l dh_iy t_ay_m
c;23;love depart;l_ah_v d_ah_p_aa_r_t
b;10;give it up;g_ih_v ah_t ah_p
b;7;would touch;w_uh_d t_ah_ch
e;1;keep me waiting;k_iy_p m_iy w_ey_t_ih_ng
f;2;for;f_r_er
g;4;and;ah_n_d
d;17;all the time;ao_l dh_ah t_ay_m
a;0;shoot the Bullet;sh_uw_t dh_iy b_uh_l_ah_t
o;28;but I feel it;b_ah_t ay f_iy_l ih_t
a;12;shoot a bullet;sh_uw_t ey b_uh_l_ah_t
h;5;syncopated;s_ih_ng_k_ah_p_ey_t_ah_d
d;26;shatter all inside;sh_ae_t_er ao_l ih_n_s_ay_d
b;11;and run;ah_n_d r_ah_n
g;25;through my heart and;th_r_uw m_ay hh_aa_r_t ah_n_d
c;13;through my heart;th_r_uw m_ay hh_aa_r_t
m;15;you conceale it;y_uw k_ah_n_s_iy_l ah_t
