Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;3;always the same old noise;ao_l_w_iy_z dh_iy s_ey_m ow_l_d n_oy_z
i;19;foot on the gas hearts beating fast;f_uh_t aa_n dh_iy g_ae_s hh_aa_r_t_s b_iy_t_ih_ng f_ae_s_t
a;7;and the DJ got it right;ah_n_d dh_ah  g_aa_t ih_t r_ay_t
c;9;and we sang just skipping through the words that we didn-t know;ah_n_d w_iy s_ae_ng jh_ah_s_t s_k_ih_p_ih_ng th_r_uw dh_ah w_er_d_z dh_ae_t w_iy d_ih_d_n_t n_ow
c;31;we danced in the middle of the night just letting go;w_iy d_ae_n_s_t ih_n dh_ah m_ih_d_ah_l ah_v dh_ah n_ay_t jh_ah_s_t l_eh_t_ih_ng g_ow
a;2;nothing new cutting through those neon lights;n_ah_th_ih_ng n_uw k_ah_t_ih_ng th_r_uw dh_ow_z n_iy_aa_n l_ay_t_s
c;22;every line every single note;eh_v_er_iy l_ay_n eh_v_er_iy s_ih_ng_g_ah_l n_ow_t
m;25;we danced and the way you were moving was turning me on;w_iy d_ae_n_s_t ah_n_d dh_ah w_ey y_uw w_er m_uw_v_ih_ng w_ah_z t_er_n_ih_ng m_iy aa_n
a;0;just another typical saturday night;jh_ah_s_t ah_n_ah_dh_er t_ih_p_ah_k_ah_l s_ae_t_ih_d_ey n_ay_t
a;21;well its almost like they had us in mind;w_eh_l ih_t_s ao_l_m_ow_s_t l_ay_k dh_ey hh_ae_d ah_s ih_n m_ay_n_d
e;36;yeah the songs that said it all;y_ae dh_ah s_ao_ng_z dh_ae_t s_eh_d ih_t ao_l
g;6;you were dancing with your friends when I cut in;y_uw w_er d_ae_n_s_ih_ng w_ih_dh y_ao_r f_r_eh_n_d_z w_eh_n ay k_ah_t ih_n
c;30;we sang just skipping through the words that we didn-t know;w_iy s_ae_ng jh_ah_s_t s_k_ih_p_ih_ng th_r_uw dh_ah w_er_d_z dh_ae_t w_iy d_ih_d_n_t n_ow
e;13;we sang sang along to the songs that said it all;w_iy s_ae_ng s_ae_ng ah_l_ao_ng t_uw dh_ah s_ao_ng_z dh_ae_t s_eh_d ih_t ao_l
f;4;just about the time I was looking to leave;jh_ah_s_t ah_b_aw_t dh_ah t_ay_m ay w_ah_z l_uh_k_ih_ng t_uw l_iy_v
d;12;so I left it up to the melody;s_ow ay l_eh_f_t ah_t ah_p t_uw dh_ah m_eh_l_ah_d_iy
e;37;the songs that said it all;dh_ah s_ao_ng_z dh_ae_t s_eh_d ih_t ao_l
c;18;let me drive you home;l_eh_t m_iy d_r_ay_v y_uw hh_ow_m
e;28;we sang sang along to the songs that said it all;w_iy s_ae_ng s_ae_ng ah_l_ao_ng t_uw dh_ah s_ao_ng_z dh_ae_t s_eh_d ih_t ao_l
a;5;i caught that look in your eye;ay k_aa_t dh_ae_t l_uh_k ih_n y_ao_r ay
e;34;we sang sang along to the songs that said it all;w_iy s_ae_ng s_ae_ng ah_l_ao_ng t_uw dh_ah s_ao_ng_z dh_ae_t s_eh_d ih_t ao_l
d;27;so I left it up to the melody;s_ow ay l_eh_f_t ih_t ah_p t_uw dh_ah m_eh_l_ah_d_iy
d;33;so I left it up to the melody;s_ow ay l_eh_f_t ih_t ah_p t_uw dh_ah m_eh_l_ah_d_iy
h;11;and I couldn-t say what you were doing to me;ah_n_d ay k_uh_d_n_t s_ey hh_w_ah_t y_uw w_er d_uw_ih_ng t_ah m_iy
h;26;and I couldn-t say what you were doing to me;ah_n_d ay k_uh_d_n_t s_ey w_ah_t y_uw w_er d_uw_ih_ng t_uw m_iy
f;32;i couldn-t say what you were doing to me;ay k_uh_d_n_t s_ey w_ah_t y_uw w_er d_uw_ih_ng t_uw m_iy
b;1;hanging out with the boys;hh_ae_ng_g_ih_ng aw_t w_ah_dh dh_iy b_oy_z
e;15;well the lights came on after that last song;w_eh_l dh_ah l_ay_t_s k_ey_m aa_n ae_f_t_er dh_ae_t l_ae_s_t s_ao_ng
c;10;we danced in the middle of the room like we were all alone;w_iy d_ae_n_s_t ih_n dh_ah m_ih_d_ah_l ah_v dh_ah r_uw_m l_ay_k w_iy w_er ao_l ah_l_ow_n
l;20;to the sound of the radio;t_ah dh_iy s_aw_n_d ah_v dh_iy r_ey_d_iy_ow
c;24;and we sang just skipping through the words that we didn-t know;ah_n_d w_iy s_ae_ng jh_ah_s_t s_k_ih_p_ih_ng th_r_uw dh_ah w_er_d_z dh_ae_t w_iy d_ih_d_n_t n_ow
c;16;but we weren-t ready to go;b_ah_t w_iy w_er_n_t r_eh_d_iy t_ah g_ow
a;17;putting off good night and hoping you might;p_uh_t_ih_ng ao_f g_ah_d n_ay_t ah_n_d hh_ow_p_ih_ng y_uw m_ay_t
