Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;24;its like a big brass lantern;ih_t_s l_ay_k ah b_ih_g b_r_ae_s l_ae_n_t_er_n
c;18;the light was out;dh_ah l_ay_t w_ah_z aw_t
c;14;i slipped out;ay s_l_ih_p_t aw_t
b;20;you wouldn-t talk to me no more;y_uw w_uh_d_ah_n_t t_ao_k t_uw m_iy n_ow m_ao_r
b;2;i knew I was wrong;ay n_y_uw ay w_ah_z r_ao_ng
c;4;couldn-t settle down;k_uh_d_n_t s_eh_t_ah_l d_aw_n
e;30;she likes to burn;sh_iy l_ay_k_s t_uw b_er_n
d;22;but when she comes;b_ah_t w_eh_n sh_iy k_ah_m_z
c;26;blowing her out;b_l_ow_ih_ng hh_er aw_t
b;16;i went to your door;ay w_eh_n_t t_uw y_ao_r d_ao_r
d;12;your mind-s made up;y_ao_r m_ay_n_d_z m_ey_d ah_p
a;0;such a brat;s_ah_ch ey b_r_ae_t
b;6;maybe ill just take a walk;m_ey_b_iy ay_l jh_ah_s_t t_ey_k ah w_ao_k
f;28;but like a light;b_ah_t l_ay_k ah l_ay_t
e;10;your mouth (is) closed;y_ao_r m_aw_th ih_z k_l_ow_z_d
d;8;why don-t you just shut the fuck up;w_ay d_ow_n_t y_uw jh_ah_s_t sh_ah_t dh_ah f_ah_k ah_p
